hour,lambda_system,system_net_injection_residual_mw
1,67.1500005984103,2.0876933315929476e-15
2,67.15000057859798,4.317871218983462e-14
3,67.15000058111225,-3.669533923110461e-14
4,67.1500005811171,-3.911781424196471e-14
5,67.1500004800479,4.177008874547569e-14
6,67.15000060294642,2.4196366199974597e-15
7,67.15000064303464,-2.9433084583587314e-14
8,67.1500006454663,-4.973937660059912e-14
9,67.15000062806536,6.098190512259937e-14
10,60.000152272053626,-7.015004376946286e-15
11,60.000000597543384,-2.3464790897627322e-14
12,60.0000005897292,-1.5274712797420795e-14
13,60.00000058413967,-4.4356716690105754e-15
14,60.0000005849184,-3.4751809897974e-14
15,60.00000058516855,-3.1932456875067684e-14
16,60.000000583136554,-1.412987586405032e-14
17,60.00000061421152,-3.685450652067523e-14
18,67.15000062028635,3.838607638539218e-14
19,67.15000054919743,4.836505241540666e-14
20,67.14997650381001,2.0419916567808304e-13
21,67.15000076236626,6.951483305302305e-14
22,67.15000064978919,-1.1224673643189838e-14
23,67.15000063483018,2.8720040446375664e-14
24,67.15000062497265,-4.659399161311317e-14
