hour,generator,dispatch_mw,capacity_mw,marginal_cost_eur_per_mwh,nu_gen_dual
1,G_IEEE1,270.00000269296044,270.0,60.0,-7.150000514431953
1,G_IEEE3,81.98999708278504,290.0,67.15,0.0
1,RES_Wind_N1,94.50000088033826,94.5,0.0,-67.15000093548632
1,RES_PV_N6,0.0,0.0,0.0,
1,RES_PV_N8,0.0,0.0,0.0,
1,G_PEAKER_N5,0.0,200.0,95.0,0.0
2,G_IEEE1,270.00000269296044,270.0,60.0,-7.150000564863782
2,G_IEEE3,57.75749704341022,290.0,67.15,0.0
2,RES_Wind_N1,98.43750091971327,98.4375,0.0,-67.1500009897083
2,RES_PV_N6,0.0,0.0,0.0,
2,RES_PV_N8,0.0,0.0,0.0,
2,G_PEAKER_N5,0.0,200.0,95.0,0.0
3,G_IEEE1,270.00000269296044,270.0,60.0,-7.150000602254807
3,G_IEEE3,40.28999700401881,290.0,67.15,0.0
3,RES_Wind_N1,102.37500095908827,102.375,0.0,-67.15000103088951
3,RES_PV_N6,0.0,0.0,0.0,
3,RES_PV_N8,0.0,0.0,0.0,
3,G_PEAKER_N5,0.0,200.0,95.0,0.0
4,G_IEEE1,270.00000269296044,270.0,60.0,-7.15000062286889
4,G_IEEE3,30.899996977784824,290.0,67.15,0.0
4,RES_Wind_N1,105.00000098533826,105.0,0.0,-67.1500010540304
4,RES_PV_N6,0.0,0.0,0.0,
4,RES_PV_N8,0.0,0.0,0.0,
4,G_PEAKER_N5,0.0,200.0,95.0,0.0
5,G_IEEE1,270.00000269296044,270.0,60.0,-7.150000589176242
5,G_IEEE3,47.054997004034995,290.0,67.15,0.0
5,RES_Wind_N1,102.37500095908827,102.375,0.0,-67.15000101781095
5,RES_PV_N6,0.0,0.0,0.0,
5,RES_PV_N8,0.0,0.0,0.0,
5,G_PEAKER_N5,0.0,200.0,95.0,0.0
6,G_IEEE1,270.00000269296044,270.0,60.0,-7.1500004884275095
6,G_IEEE3,95.51999708278515,290.0,67.15,0.0
6,RES_Wind_N1,94.50000088033826,94.5,0.0,-67.15000090948188
6,RES_PV_N6,0.0,0.0,0.0,
6,RES_PV_N8,0.0,0.0,0.0,
6,G_PEAKER_N5,0.0,200.0,95.0,0.0
7,G_IEEE1,270.00000269296044,270.0,60.0,-7.150000354572621
7,G_IEEE3,158.47563863613215,290.0,67.15,0.0
7,RES_Wind_N1,81.37500074908827,81.375,0.0,-67.1500007629935
7,RES_PV_N6,4.795874983280579,4.795875,0.0,-67.15000031424229
7,RES_PV_N8,8.90662502440451,8.906625,0.0,-67.15000031737515
7,G_PEAKER_N5,0.0,200.0,95.0,0.0
8,G_IEEE1,270.00000269296044,270.0,60.0,-7.150000422423345
8,G_IEEE3,111.17911134473253,290.0,67.15,0.0
8,RES_Wind_N1,68.25000061783827,68.25,0.0,-67.15000081821147
8,RES_PV_N6,23.979375175132013,23.979375,0.0,-67.15000042630453
8,RES_PV_N8,44.53312538066951,44.533125,0.0,-67.15000052013006
8,G_PEAKER_N5,0.0,200.0,95.0,0.0
9,G_IEEE1,223.04412856684723,270.0,60.0,0.0
9,G_IEEE3,0.0,290.0,67.15,0.0
9,RES_Wind_N1,55.12500049346956,55.125,0.0,-60.000000418406614
9,RES_PV_N6,67.14225061364206,67.14225,0.0,-60.000000178413956
9,RES_PV_N8,124.69275118914706,124.69275,0.0,-60.00000032064143
9,G_PEAKER_N5,0.0,200.0,95.0,0.0
10,G_IEEE1,270.0000026941156,270.0,60.0,-5.91623224650262
10,G_IEEE3,0.0,290.0,67.15,0.0
10,RES_Wind_N1,45.9375003959007,45.9375,0.0,-65.9162326206528
10,RES_PV_N6,115.10100108753569,115.101,0.0,-65.91623244708745
10,RES_PV_N8,213.75900207411567,213.759,0.0,-65.91623263184505
10,G_PEAKER_N5,0.0,200.0,95.0,0.0
11,G_IEEE1,112.88593163937898,270.0,60.0,0.0
11,G_IEEE3,0.0,290.0,67.15,0.0
11,RES_Wind_N1,39.37500033596956,39.375,0.0,-60.00000050917791
11,RES_PV_N6,163.05975157281708,163.05975,0.0,-60.00000059271231
11,RES_PV_N8,302.82525297047204,302.82525,0.0,-60.00000084002026
11,G_PEAKER_N5,0.0,200.0,95.0,0.0
12,G_IEEE1,53.836093764520676,270.0,60.0,0.0
12,G_IEEE3,0.0,290.0,67.15,0.0
12,RES_Wind_N1,36.75000030971956,36.75,0.0,-60.00000056680786
12,RES_PV_N6,203.82468948046645,203.8246875,0.0,-60.000000789158186
12,RES_PV_N8,378.5315662275353,378.5315625,0.0,-60.000001082406975
12,G_PEAKER_N5,0.0,200.0,95.0,0.0
13,G_IEEE1,33.870712583467125,270.0,60.0,0.0
13,G_IEEE3,0.0,290.0,67.15,0.0
13,RES_Wind_N1,39.37500033596956,39.375,0.0,-60.000000593383646
13,RES_PV_N6,227.8040647202602,227.8040625,0.0,-60.00000088188474
13,RES_PV_N8,423.0646916728665,423.0646875,0.0,-60.00000115286306
13,G_PEAKER_N5,0.0,200.0,95.0,0.0
14,G_IEEE1,31.159105595320444,270.0,60.0,0.0
14,G_IEEE3,0.0,290.0,67.15,0.0
14,RES_Wind_N1,44.62500038846956,44.625,0.0,-60.00000059298462
14,RES_PV_N6,234.99787729219832,234.997875,0.0,-59.999998842702546
14,RES_PV_N8,436.4246293064659,436.424625,0.0,-59.999993139433684
14,G_PEAKER_N5,0.0,200.0,95.0,0.0
15,G_IEEE1,3.9037583272949594,270.0,60.0,0.0
15,G_IEEE3,0.0,290.0,67.15,0.0
15,RES_Wind_N1,52.50000046721956,52.5,0.0,-60.00000061519469
15,RES_PV_N6,215.81437710036334,215.814375,0.0,-60.000000866710735
15,RES_PV_N8,400.7981289502009,400.798125,0.0,-60.00000113617617
15,G_PEAKER_N5,0.0,200.0,95.0,0.0
16,G_IEEE1,62.61392290983627,270.0,60.0,0.0
16,G_IEEE3,0.0,290.0,67.15,0.0
16,RES_Wind_N1,60.37500054596956,60.375,0.0,-60.000000577850216
16,RES_PV_N6,172.65150166873457,172.6515,0.0,-59.99999996714126
16,RES_PV_N8,320.63850314860457,320.6385,0.0,-59.999998090744114
16,G_PEAKER_N5,0.0,200.0,95.0,0.0
17,G_IEEE1,210.39748103856084,270.0,60.0,0.0
17,G_IEEE3,0.0,290.0,67.15,0.0
17,RES_Wind_N1,68.25000062471956,68.25,0.0,-60.00000044321214
17,RES_PV_N6,119.8968761411883,119.896875,0.0,-60.00000029381501
17,RES_PV_N8,222.66562716887583,222.665625,0.0,-60.00000048650878
17,G_PEAKER_N5,0.0,200.0,95.0,0.0
18,G_IEEE1,270.00000269464516,270.0,60.0,-5.345153752990483
18,G_IEEE3,0.0,290.0,67.15,0.0
18,RES_Wind_N1,76.12500069832532,76.125,0.0,-65.34515415634768
18,RES_PV_N6,67.14225060849782,67.14225,0.0,-65.34515383032043
18,RES_PV_N8,124.69275118400282,124.69275,0.0,-65.34515393573123
18,G_PEAKER_N5,0.0,200.0,95.0,0.0
19,G_IEEE1,270.00000269296044,270.0,60.0,-7.150000342301311
19,G_IEEE3,164.8266461706989,290.0,67.15,0.0
19,RES_Wind_N1,81.37500074908827,81.375,0.0,-67.1500007507222
19,RES_PV_N6,19.18350012717326,19.1835,0.0,-67.15000031914053
19,RES_PV_N8,35.62650029160326,35.6265,0.0,-67.1500004412957
19,G_PEAKER_N5,0.0,200.0,95.0,0.0
20,G_IEEE1,270.00000269296044,270.0,60.0,-7.150000203475406
20,G_IEEE3,234.55590585933706,290.0,67.15,0.0
20,RES_Wind_N1,86.62500080158827,86.625,0.0,-67.15000061694961
20,RES_PV_N6,2.39793745931064,2.3979375,0.0,-67.15000014389825
20,RES_PV_N8,4.453312479883291,4.4533125,0.0,-67.1500002015124
20,G_PEAKER_N5,0.0,200.0,95.0,0.0
21,G_IEEE1,270.00000269296044,270.0,60.0,-7.150000132694688
21,G_IEEE3,277.6319209659313,290.0,67.15,0.0
21,RES_Wind_N1,89.25000082783826,89.25,0.0,-67.15000054869559
21,RES_PV_N6,0.0,0.0,0.0,
21,RES_PV_N8,0.0,0.0,0.0,
21,G_PEAKER_N5,0.0,200.0,95.0,0.0
22,G_IEEE1,270.00000269296044,270.0,60.0,-7.150000259398085
22,G_IEEE3,213.14999710905067,290.0,67.15,0.0
22,RES_Wind_N1,91.87500085408827,91.875,0.0,-67.15000067792572
22,RES_PV_N6,0.0,0.0,0.0,
22,RES_PV_N8,0.0,0.0,0.0,
