hour,line,flow_mw,limit_mw,abs_utilization,mu_upper_dual,mu_lower_dual
1,L14,364.5000034437979,400.0,0.9112500086094947,0.0,0.0
1,L45,319.26429337270406,400.0,0.7981607334317602,0.0,0.0
1,L46,45.23571000639521,200.0,0.22617855003197604,0.0,0.0
1,L69,9.595709941696743,200.0,0.04797854970848372,0.0,0.0
1,L57,-51.98570670196503,400.0,0.12996426675491257,0.0,0.0
1,L93,-81.98999701909345,400.0,0.20497499254773363,0.0,0.0
1,L72,6.47352818845928e-08,400.0,1.61838204711482e-10,0.0,0.0
1,L98,91.58570689609269,200.0,0.45792853448046344,0.0,0.0
1,L78,-51.98570683139626,200.0,0.2599285341569813,0.0,0.0
2,L14,368.437503483173,400.0,0.9210937587079324,0.0,0.0
2,L45,312.6437146569524,400.0,0.7816092866423809,0.0,0.0
2,L46,55.79378876152195,200.0,0.2789689438076098,0.0,0.0
2,L69,21.77378869682348,200.0,0.10886894348411741,0.0,0.0
2,L57,-41.731285417716705,400.0,0.10432821354429177,0.0,0.0
2,L93,-57.75749697971827,400.0,0.14439374244929568,0.0,0.0
2,L72,6.47350310347235e-08,400.0,1.6183757758680875e-10,0.0,0.0
2,L98,79.53128561184425,200.0,0.39765642805922125,0.0,0.0
2,L78,-41.73128554714798,200.0,0.20865642773573992,0.0,0.0
3,L14,372.37500352254796,400.0,0.9309375088063699,0.0,0.0
3,L45,308.7350998072406,400.0,0.7718377495181015,0.0,0.0
3,L46,63.63990365060873,200.0,0.31819951825304366,0.0,0.0
3,L69,30.69990358591027,200.0,0.15349951792955135,0.0,0.0
3,L57,-34.38990026742852,400.0,0.08597475066857131,0.0,0.0
3,L93,-40.28999694034308,400.0,0.1007249923508577,0.0,0.0
3,L72,6.473484073727685e-08,400.0,1.6183710184319212e-10,0.0,0.0
3,L98,70.98990046155569,200.0,0.35494950230777844,0.0,0.0
3,L78,-34.3899003968597,200.0,0.1719495019842985,0.0,0.0
4,L14,375.00000354879796,400.0,0.9375000088719949,0.0,0.0
4,L45,307.0333445294461,400.0,0.7675833613236152,0.0,0.0
4,L46,67.96665895465323,200.0,0.3398332947732661,0.0,0.0
4,L69,35.566658889954766,200.0,0.17783329444977383,0.0,0.0
4,L57,-30.46665554522301,400.0,0.07616663886305752,0.0,0.0
4,L93,-30.899996914093336,400.0,0.07724999228523334,0.0,0.0
4,L72,6.473469044134451e-08,400.0,1.6183672610336127e-10,0.0,0.0
4,L98,66.4666557393504,200.0,0.332333278696752,0.0,0.0
4,L78,-30.466655674653996,200.0,0.15233327837327,0.0,0.0
5,L14,372.37500352254796,400.0,0.9309375088063699,0.0,0.0
5,L45,311.4470636732805,400.0,0.7786176591832014,0.0,0.0
5,L46,60.927939784568785,200.0,0.3046396989228439,0.0,0.0
5,L69,27.44793971987032,200.0,0.1372396985993516,0.0,0.0
5,L57,-37.302936401388564,400.0,0.09325734100347141,0.0,0.0
5,L93,-47.05499694034329,400.0,0.11763749235085821,0.0,0.0
5,L72,6.473457132135358e-08,400.0,1.6183642830338393e-10,0.0,0.0
5,L98,74.50293659551592,200.0,0.3725146829775796,0.0,0.0
5,L78,-37.302936530819466,200.0,0.18651468265409732,0.0,0.0
6,L14,364.5000034437979,400.0,0.9112500086094947,0.0,0.0
6,L45,324.68822110478374,400.0,0.8117205527619593,0.0,0.0
6,L46,39.811782274315476,200.0,0.19905891137157739,0.0,0.0
6,L69,3.091782209617009,200.0,0.015458911048085045,0.0,0.0
6,L57,-57.8117789698853,400.0,0.14452944742471327,0.0,0.0
6,L93,-95.5199970190928,400.0,0.238799992547732,0.0,0.0
6,L72,6.473444891708158e-08,400.0,1.6183612229270394e-10,0.0,0.0
6,L98,98.61177916401212,200.0,0.49305889582006057,0.0,0.0
6,L78,-57.811779099316034,200.0,0.28905889549658015,0.0,0.0
7,L14,351.3750033125479,400.0,0.8784375082813698,0.0,0.0
7,L45,352.05957966868993,400.0,0.8801489491717248,0.0,0.0
7,L46,-0.6845764208407282,200.0,0.0034228821042036413,0.0,0.0
7,L69,-39.08870150233309,200.0,0.19544350751166545,0.0,0.0
7,L57,-97.9404204059791,400.0,0.24485105101494775,0.0,0.0
7,L93,-158.4756385727137,400.0,0.39618909643178424,0.0,0.0
7,L72,6.473425585435661e-08,400.0,1.618356396358915e-10,0.0,0.0
7,L98,137.0337955757966,200.0,0.685168977878983,0.0,0.0
7,L78,-97.94042053541236,200.0,0.48970210267706177,0.0,0.0
8,L14,338.25000318129787,400.0,0.8456250079532447,0.0,0.0
