hour,lambda_system,system_net_injection_residual_mw
1,67.15000066020681,-5.170983388370964e-15
2,67.15000065982376,1.3417827380980943e-14
3,67.15000065934,-2.4760219706070854e-14
4,67.15000065890574,-6.5452604494975154e-15
5,67.15000065948558,-2.255272218372436e-14
6,67.15000066030728,3.4520630613467453e-14
7,67.15000066099529,4.075959558850977e-14
8,67.15000066090607,4.2563498832709794e-14
9,60.00000059065953,-9.527435061045843e-14
10,65.93260651116417,-4.702285655386303e-15
11,60.00000058989821,3.1404871061569784e-14
12,60.000000589439374,2.4021102060056118e-14
13,60.00000058908904,1.249036001631053e-14
14,60.000000589133016,7.568093641110687e-15
15,60.000000582574614,3.0398857124016784e-14
16,60.000000589596105,-4.3227325799575155e-14
17,60.00000059044617,-1.0825615358411219e-13
18,65.36152748410737,-5.874656585516489e-14
19,67.15000066012523,-4.934163034090448e-14
20,67.1500006581931,3.0657067562519543e-15
21,92.70622301881266,-9.271519641439185e-14
22,67.15000066110383,4.674274595195038e-14
23,67.15000066060593,-2.854600653744065e-14
24,67.1500006601907,1.8584181668120713e-14
