hour,node,lambda_joint_eur_per_mwh
1,N1,59.999999997136754
1,N2,59.999999996010565
1,N3,59.99999999715508
1,N4,59.99999999729003
1,N5,59.99999999737225
1,N6,59.99999999725255
1,N7,59.99999999678979
1,N8,59.999999997073786
1,N9,59.999999997155115
2,N1,59.99999998901872
2,N2,59.99999998784108
2,N3,59.999999989005445
2,N4,59.9999999891489
2,N5,59.999999989202784
2,N6,59.999999989106875
2,N7,59.9999999886203
2,N8,59.999999988917196
2,N9,59.999999989005474
3,N1,59.99999993714317
3,N2,59.9999999359619
3,N3,59.99999993715918
3,N4,59.99999993726966
3,N5,59.99999993731198
3,N6,59.99999993725402
3,N7,59.99999993674112
3,N8,59.99999993706718
3,N9,59.99999993715921
4,N1,59.99999896298175
4,N2,59.99999896180758
4,N3,59.99999896302782
4,N4,59.99999896311002
4,N5,59.999998963148585
4,N6,59.99999896311697
4,N7,59.999998962586794
4,N8,59.9999989629347
4,N9,59.99999896302785
5,N1,59.999999968714135
5,N2,59.999999967535324
5,N3,59.99999996871648
5,N4,59.99999996884263
5,N5,59.99999996889085
5,N6,59.99999996881416
5,N7,59.99999996831455
5,N8,59.999999968626284
5,N9,59.999999968716516
6,N1,59.99999999778073
6,N2,59.99999999667432
6,N3,59.999999997796664
6,N4,59.99999999794422
6,N5,59.99999999804273
6,N6,59.99999999789544
6,N7,59.999999997453536
6,N8,59.999999997719755
6,N9,59.9999999977967
7,N1,59.999999999792905
7,N2,59.99999999891634
7,N3,59.99999999995737
7,N4,60.000000000069235
7,N5,60.00000000030587
7,N6,60.000000000035634
7,N7,59.999999999695554
7,N8,59.999999999901235
7,N9,59.99999999995741
8,N1,59.999999999972644
8,N2,59.99999999904298
8,N3,59.999999999950234
8,N4,60.00000000025356
8,N5,60.000000000573095
8,N6,60.000000000063025
8,N7,59.9999999998222
8,N8,59.999999999878156
8,N9,59.99999999995029
9,N1,59.99999999537753
9,N2,59.99999999333764
9,N3,59.999999993941636
9,N4,59.99999999546366
9,N5,59.99999999554445
9,N6,59.99999999411911
9,N7,59.99999999411686
9,N8,59.99999999384274
9,N9,59.99999999394172
10,N1,52.2000000030946
10,N2,52.200000000990094
10,N3,52.20000000063835
10,N4,52.2000000031475
10,N5,52.20000000303183
10,N6,52.20000000044083
10,N7,52.200000001394535
10,N8,52.200000000700186
10,N9,52.20000000063835
11,N1,59.99999999598849
11,N2,52.19999999908504
11,N3,46.72097560795215
11,N4,59.999999996058236
11,N5,57.30487804636025
11,N6,41.33073170811886
11,N7,52.199999999166394
11,N8,49.91707316733534
11,N9,46.72097560795215
12,N1,59.99998651424917
12,N2,52.19999999877902
12,N3,35.29894252312892
12,N4,59.999986514291294
12,N5,57.30486922278614
12,N6,29.908707939997193
12,N7,52.19999999884513
12,N8,38.49503455817705
12,N9,35.298942523128744
13,N1,59.999999388751064
13,N2,52.199999998238376
13,N3,35.29893720573034
13,N4,59.99999938879642
13,N5,57.3048776485727
13,N6,29.908693724995906
13,N7,52.19999999828778
13,N8,38.49503451643212
13,N9,35.298937205730155
14,N1,59.99998486538817
14,N2,52.19999999752011
14,N3,35.29894007907071
14,N4,59.99998486543952
14,N5,57.30486814319142
14,N6,29.908706634191336
14,N7,52.19999999755699
14,N8,38.49503143912086
14,N9,35.29894007907053
15,N1,59.99998645585763
15,N2,52.19999999659919
15,N3,35.298942507190894
15,N4,59.99998645591834
15,N5,57.304869183800264
15,N6,29.908707962487362
15,N7,52.199999996626985
15,N8,38.49503451943094
15,N9,35.298942507190716
16,N1,59.99999992316075
16,N2,52.19999999691131
16,N3,35.298951983562986
16,N4,59.99999992323239
16,N5,57.30487799790715
16,N6,29.90870813242283
16,N7,52.199999996941635
16,N8,38.495049514076
16,N9,35.2989519835629
17,N1,52.200000001824016
17,N2,52.20000000036083
17,N3,52.19999999985419
17,N4,52.200000001903895
17,N5,52.20000000192121
17,N6,52.1999999997142
17,N7,52.200000000642625
17,N8,52.19999999988439
17,N9,52.19999999985419
18,N1,59.99999999319173
18,N2,59.999999991313764
18,N3,59.99999999197566
18,N4,59.99999999329783
18,N5,59.99999999342997
18,N6,59.99999999217196
18,N7,59.99999999209299
