unit,hour,node,p_charge_mw,p_discharge_mw,net_injection_mw,lambda_joint_eur_per_mwh,spot_revenue_eur
I1,1,N1,0.0,0.0,0.0,59.99999999788284,0.0
I1,1,N2,0.0,0.0,0.0,59.99999999677804,0.0
I1,1,N3,0.0,0.0,0.0,59.99999999791502,0.0
I1,1,N4,0.0,0.0,0.0,59.99999999804713,0.0
I1,1,N5,0.0,0.0,0.0,59.99999999813305,0.0
I1,1,N6,0.0,0.0,0.0,59.99999999804954,0.0
I1,1,N7,0.0,0.0,0.0,59.99999999755726,0.0
I1,1,N8,0.0,0.0,0.0,59.99999999784827,0.0
I1,1,N9,0.0,0.0,0.0,59.9999999979254,0.0
I1,2,N1,0.0,0.0,0.0,59.999999997133855,0.0
I1,2,N2,0.0,0.0,0.0,59.999999996030915,0.0
I1,2,N3,0.0,0.0,0.0,59.999999997243705,0.0
I1,2,N4,0.0,0.0,0.0,59.99999999729311,0.0
I1,2,N5,0.0,0.0,0.0,59.99999999736335,0.0
I1,2,N6,0.0,0.0,0.0,59.999999997322526,0.0
I1,2,N7,0.0,0.0,0.0,59.99999999681014,0.0
I1,2,N8,0.0,0.0,0.0,59.999999997158554,0.0
I1,2,N9,0.0,0.0,0.0,59.999999997243705,0.0
I1,3,N1,0.0,0.0,0.0,59.99999999154419,0.0
I1,3,N2,0.0,0.0,0.0,59.99999999039532,0.0
I1,3,N3,0.0,0.0,0.0,59.99999999165425,0.0
I1,3,N4,0.0,0.0,0.0,59.999999991683254,0.0
I1,3,N5,0.0,0.0,0.0,59.9999999917326,0.0
I1,3,N6,0.0,0.0,0.0,59.999999991699625,0.0
I1,3,N7,0.0,0.0,0.0,59.99999999117454,0.0
I1,3,N8,0.0,0.0,0.0,59.9999999915244,0.0
I1,3,N9,0.0,0.0,0.0,59.99999999161457,0.0
I1,4,N1,0.0,0.0,0.0,59.99999989935413,0.0
I1,4,N2,0.0,0.0,0.0,59.99999989818289,0.0
I1,4,N3,0.0,0.0,0.0,59.999999899405296,0.0
I1,4,N4,0.0,0.0,0.0,59.99999989948355,0.0
I1,4,N5,0.0,0.0,0.0,59.99999989952274,0.0
I1,4,N6,0.0,0.0,0.0,59.99999989949341,0.0
I1,4,N7,0.0,0.0,0.0,59.999999898962116,0.0
I1,4,N8,0.0,0.0,0.0,59.999999899312215,0.0
I1,4,N9,0.0,0.0,0.0,59.999999899405296,0.0
I1,5,N1,0.0,0.0,0.0,59.99999999503477,0.0
I1,5,N2,0.0,0.0,0.0,59.999999993908276,0.0
I1,5,N3,0.0,0.0,0.0,59.99999999512423,0.0
I1,5,N4,0.0,0.0,0.0,59.99999999518364,0.0
I1,5,N5,0.0,0.0,0.0,59.99999999524325,0.0
I1,5,N6,0.0,0.0,0.0,59.99999999520634,0.0
I1,5,N7,0.0,0.0,0.0,59.99999999468749,0.0
I1,5,N8,0.0,0.0,0.0,59.99999999503623,0.0
I1,5,N9,0.0,0.0,0.0,59.99999999512415,0.0
I1,6,N1,0.0,0.0,0.0,59.99999999840195,0.0
I1,6,N2,0.0,0.0,0.0,59.99999999735676,0.0
I1,6,N3,0.0,0.0,0.0,59.99999999850558,0.0
I1,6,N4,0.0,0.0,0.0,59.99999999858163,0.0
I1,6,N5,0.0,0.0,0.0,59.99999999869723,0.0
I1,6,N6,0.0,0.0,0.0,59.999999998545185,0.0
I1,6,N7,0.0,0.0,0.0,59.99999999813598,0.0
I1,6,N8,0.0,0.0,0.0,59.999999998454086,0.0
I1,6,N9,0.0,0.0,0.0,59.99999999850558,0.0
I1,7,N1,0.0,0.0,0.0,59.9999999985579,0.0
I1,7,N2,0.0,0.0,0.0,59.99999999739676,0.0
I1,7,N3,0.0,0.0,0.0,59.99999999825968,0.0
I1,7,N4,0.0,0.0,0.0,59.99999999872211,0.0
I1,7,N5,0.0,0.0,0.0,59.999999998892505,0.0
I1,7,N6,0.0,0.0,0.0,59.99999999841009,0.0
I1,7,N7,0.0,0.0,0.0,59.99999999817598,0.0
I1,7,N8,0.0,0.0,0.0,59.99999999827716,0.0
I1,7,N9,0.0,0.0,0.0,59.99999999827301,0.0
I1,8,N1,0.0,0.0,0.0,59.99999999910873,0.0
I1,8,N2,0.0,0.0,0.0,59.99999999783176,0.0
I1,8,N3,0.0,0.0,0.0,59.99999999852917,0.0
I1,8,N4,0.0,0.0,0.0,59.99999999928005,0.0
I1,8,N5,0.0,0.0,0.0,59.99999999951086,0.0
I1,8,N6,0.0,0.0,0.0,59.99999999873209,0.0
I1,8,N7,0.0,0.0,0.0,59.999999998609574,0.0
I1,8,N8,0.0,0.0,0.0,59.999999998569564,0.0
I1,8,N9,0.0,0.0,0.0,59.999999998548994,0.0
I1,9,N1,0.0,0.0,0.0,59.99999999925037,0.0
I1,9,N2,0.0,0.0,0.0,59.999999997807656,0.0
I1,9,N3,0.0,0.0,0.0,59.99999999861863,0.0
I1,9,N4,0.0,0.0,0.0,59.999999999411244,0.0
I1,9,N5,0.0,0.0,0.0,59.99999999963369,0.0
I1,9,N6,0.0,0.0,0.0,59.99999999878748,0.0
I1,9,N7,0.0,0.0,0.0,59.99999999858687,0.0
I1,9,N8,0.0,0.0,0.0,59.9999999984674,0.0
I1,9,N9,0.0,0.0,0.0,59.99999999861857,0.0
I1,10,N1,0.0,0.0,0.0,52.200000003094736,0.0
I1,10,N2,0.0,0.0,0.0,52.2000000009901,0.0
I1,10,N3,0.0,0.0,0.0,52.200000000638475,0.0
I1,10,N4,0.0,0.0,0.0,52.20000000314756,0.0
I1,10,N5,0.0,0.0,0.0,52.200000003031825,0.0
I1,10,N6,0.0,0.0,0.0,52.200000000440824,0.0
I1,10,N7,0.0,0.0,0.0,52.200000001394685,0.0
I1,10,N8,0.0,0.0,0.0,52.20000000070018,0.0
I1,10,N9,0.0,0.0,0.0,52.20000000063834,0.0
I1,11,N1,0.0,0.0,0.0,52.69224705091312,0.0
I1,11,N2,0.0,0.0,0.0,52.199999999598916,0.0
I1,11,N3,0.0,0.0,0.0,51.854226459772164,0.0
I1,11,N4,0.0,0.0,0.0,52.6922470509583,0.0
I1,11,N5,0.0,0.0,0.0,52.52216168816733,0.0
I1,11,N6,0.0,0.0,0.0,51.51405573402888,0.0
I1,11,N7,0.0,0.0,0.0,52.19999999972687,0.0
I1,11,N8,0.0,0.0,0.0,52.055927690041315,0.0
I1,11,N9,0.0,0.0,0.0,51.85422645977207,0.0
I1,12,N1,0.0,0.0,0.0,52.17566527161719,0.0
I1,12,N2,0.0,0.0,0.0,52.19999999877921,0.0
I1,12,N3,0.0,0.0,0.0,52.05161500792382,0.0
I1,12,N4,0.0,0.0,0.0,52.17566527165931,0.0
I1,12,N5,0.0,0.0,0.0,52.18407361277096,0.0
I1,12,N6,0.0,0.0,0.0,52.06843168986212,0.0
I1,12,N7,0.0,0.0,0.0,52.19999999884533,0.0
I1,12,N8,0.0,0.0,0.0,52.04164370427531,0.0
I1,12,N9,0.0,0.0,0.0,52.051615007902484,0.0
I1,13,N1,0.0,0.0,0.0,51.87684356523185,0.0
I1,13,N2,0.0,0.0,0.0,52.19999999826248,0.0
I1,13,N3,0.0,0.0,0.0,51.5326685545113,0.0
I1,13,N4,0.0,0.0,0.0,51.87684356527706,0.0
I1,13,N5,0.0,0.0,0.0,51.988503308798,0.0
I1,13,N6,0.0,0.0,0.0,51.755988041097325,0.0
I1,13,N7,0.0,0.0,0.0,52.19999999831246,0.0
I1,13,N8,0.0,0.0,0.0,51.40025323474065,0.0
I1,13,N9,0.0,0.0,0.0,51.532668554467875,0.0
I1,14,N1,0.0,0.0,0.0,52.2235912394254,0.0
I1,14,N2,0.0,0.0,0.0,52.19999999752065,0.0
I1,14,N3,0.0,0.0,0.0,51.871723149257974,0.0
I1,14,N4,0.0,0.0,0.0,52.22359123947675,0.0
I1,14,N5,0.0,0.0,0.0,52.215439794492376,0.0
I1,14,N6,0.0,0.0,0.0,51.85542025874226,0.0
I1,14,N7,0.0,0.0,0.0,52.19999999755753,0.0
I1,14,N8,0.0,0.0,0.0,51.88138980374501,0.0
I1,14,N9,0.0,0.0,0.0,51.87172314921501,0.0
I1,15,N1,0.0,0.0,0.0,51.96834788576653,0.0
I1,15,N2,0.0,0.0,0.0,52.199999996600226,0.0
I1,15,N3,0.0,0.0,0.0,51.5667377228511,0.0
I1,15,N4,0.0,0.0,0.0,51.968347885827235,0.0
I1,15,N5,0.0,0.0,0.0,52.04839028223692,0.0
I1,15,N6,0.0,0.0,0.0,51.726822515069394,0.0
I1,15,N7,0.0,0.0,0.0,52.19999999662803,0.0
I1,15,N8,0.0,0.0,0.0,51.47181685739524,0.0
I1,15,N9,0.0,0.0,0.0,51.5667377228079,0.0
I1,16,N1,0.0,0.0,0.0,52.29750768832184,0.0
I1,16,N2,0.0,0.0,0.0,52.19999999714461,0.0
I1,16,N3,0.0,0.0,0.0,52.13150666832783,0.0
I1,16,N4,0.0,0.0,0.0,52.29750768839205,0.0
I1,16,N5,0.0,0.0,0.0,52.26381600689238,0.0
I1,16,N6,0.0,0.0,0.0,52.0641233048552,0.0
I1,16,N7,0.0,0.0,0.0,52.19999999717716,0.0
I1,16,N8,0.0,0.0,0.0,52.171461039094844,0.0
I1,16,N9,0.0,0.0,0.0,52.13150666832783,0.0
I1,17,N1,0.0,0.0,0.0,52.200000001824016,0.0
I1,17,N2,0.0,0.0,0.0,52.20000000036084,0.0
I1,17,N3,0.0,0.0,0.0,52.19999999985419,0.0
I1,17,N4,0.0,0.0,0.0,52.2000000019039,0.0
I1,17,N5,0.0,0.0,0.0,52.20000000192121,0.0
I1,17,N6,0.0,0.0,0.0,52.1999999997142,0.0
I1,17,N7,0.0,0.0,0.0,52.200000000642625,0.0
I1,17,N8,0.0,0.0,0.0,52.1999999998844,0.0
I1,17,N9,0.0,0.0,0.0,52.19999999985419,0.0
I1,18,N1,0.0,0.0,0.0,59.99999999916039,0.0
I1,18,N2,0.0,0.0,0.0,59.999999997809816,0.0
I1,18,N3,0.0,0.0,0.0,59.99999999865151,0.0
I1,18,N4,0.0,0.0,0.0,59.99999999934843,0.0
I1,18,N5,0.0,0.0,0.0,59.999999999604825,0.0
I1,18,N6,0.0,0.0,0.0,59.999999998848125,0.0
I1,18,N7,0.0,0.0,0.0,59.99999999858903,0.0
I1,18,N8,0.0,0.0,0.0,59.99999999848369,0.0
I1,18,N9,0.0,0.0,0.0,59.99999999865151,0.0
I1,19,N1,0.0,0.0,0.0,60.000000009008204,0.0
I1,19,N2,0.0,0.0,0.0,60.000000009415245,0.0
I1,19,N3,0.0,0.0,0.0,60.00000001029868,0.0
I1,19,N4,0.0,0.0,0.0,60.000000010043124,0.0
I1,19,N5,0.0,0.0,0.0,60.00000001089418,0.0
I1,19,N6,0.0,0.0,0.0,60.000000010208986,0.0
I1,19,N7,0.0,0.0,0.0,60.00000001019446,0.0
I1,19,N8,0.0,0.0,0.0,60.000000010327135,0.0
I1,19,N9,0.0,0.0,0.0,60.00000001029868,0.0
I1,20,N1,0.0,0.0,0.0,67.14880807049832,0.0
I1,20,N2,0.0,0.0,0.0,67.14880807127192,0.0
I1,20,N3,0.0,0.0,0.0,67.1488080721649,0.0
I1,20,N4,0.0,0.0,0.0,67.14880807180936,0.0
I1,20,N5,0.0,0.0,0.0,67.1488080727199,0.0
I1,20,N6,0.0,0.0,0.0,67.14880807203888,0.0
I1,20,N7,0.0,0.0,0.0,67.14880807205114,0.0
I1,20,N8,0.0,0.0,0.0,67.14880807223396,0.0
I1,20,N9,0.0,0.0,0.0,67.14880807216767,0.0
I1,21,N1,0.0,0.0,0.0,60.00000002684854,0.0
I1,21,N2,0.0,0.0,0.0,60.000000027521764,0.0
I1,21,N3,0.0,0.0,0.0,60.00000002853748,0.0
I1,21,N4,0.0,0.0,0.0,60.00000002814346,0.0
I1,21,N5,0.0,0.0,0.0,60.000000028885516,0.0
I1,21,N6,0.0,0.0,0.0,60.000000028431614,0.0
I1,21,N7,0.0,0.0,0.0,60.00000002830099,0.0
I1,21,N8,0.0,0.0,0.0,60.00000002858215,0.0
I1,21,N9,0.0,0.0,0.0,60.00000002853748,0.0
I1,22,N1,0.0,0.0,0.0,59.99999999878752,0.0
I1,22,N2,0.0,0.0,0.0,59.999999997649375,0.0
I1,22,N3,0.0,0.0,0.0,59.99999999843047,0.0
I1,22,N4,0.0,0.0,0.0,59.99999999898144,0.0
I1,22,N5,0.0,0.0,0.0,59.999999999197655,0.0
I1,22,N6,0.0,0.0,0.0,59.99999999867432,0.0
I1,22,N7,0.0,0.0,0.0,59.9999999984286,0.0
I1,22,N8,0.0,0.0,0.0,59.999999998477435,0.0
I1,22,N9,0.0,0.0,0.0,59.99999999847123,0.0
I1,23,N1,0.0,0.0,0.0,59.999999998479126,0.0
I1,23,N2,0.0,0.0,0.0,59.99999999735109,0.0
I1,23,N3,0.0,0.0,0.0,59.99999999813343,0.0
I1,23,N4,0.0,0.0,0.0,59.999999998661615,0.0
I1,23,N5,0.0,0.0,0.0,59.99999999880352,0.0
I1,23,N6,0.0,0.0,0.0,59.99999999853679,0.0
I1,23,N7,0.0,0.0,0.0,59.99999999813031,0.0
I1,23,N8,0.0,0.0,0.0,59.99999999827736,0.0
I1,23,N9,0.0,0.0,0.0,59.99999999817638,0.0
I1,24,N1,0.0,0.0,0.0,59.999999997178634,0.0
I1,24,N2,0.0,0.0,0.0,59.99999999603401,0.0
I1,24,N3,0.0,0.0,0.0,59.99999999702221,0.0
I1,24,N4,0.0,0.0,0.0,59.99999999733912,0.0
I1,24,N5,0.0,0.0,0.0,59.99999999743857,0.0
I1,24,N6,0.0,0.0,0.0,59.99999999726844,0.0
I1,24,N7,0.0,0.0,0.0,59.99999999681324,0.0
I1,24,N8,0.0,0.0,0.0,59.99999999702281,0.0
I1,24,N9,0.0,0.0,0.0,59.999999997024716,0.0
I2,1,N1,0.0,0.0,0.0,59.99999999788284,0.0
I2,1,N2,0.0,0.0,0.0,59.99999999677804,0.0
I2,1,N3,0.0,0.0,0.0,59.99999999791502,0.0
I2,1,N4,0.0,0.0,0.0,59.99999999804713,0.0
I2,1,N5,0.0,0.0,0.0,59.99999999813305,0.0
I2,1,N6,0.0,0.0,0.0,59.99999999804954,0.0
I2,1,N7,0.0,0.0,0.0,59.99999999755726,0.0
I2,1,N8,0.0,0.0,0.0,59.99999999784827,0.0
I2,1,N9,0.0,0.0,0.0,59.9999999979254,0.0
I2,2,N1,0.0,0.0,0.0,59.999999997133855,0.0
I2,2,N2,0.0,0.0,0.0,59.999999996030915,0.0
I2,2,N3,0.0,0.0,0.0,59.999999997243705,0.0
I2,2,N4,0.0,0.0,0.0,59.99999999729311,0.0
I2,2,N5,0.0,0.0,0.0,59.99999999736335,0.0
I2,2,N6,0.0,0.0,0.0,59.999999997322526,0.0
I2,2,N7,0.0,0.0,0.0,59.99999999681014,0.0
I2,2,N8,0.0,0.0,0.0,59.999999997158554,0.0
I2,2,N9,0.0,0.0,0.0,59.999999997243705,0.0
I2,3,N1,0.0,0.0,0.0,59.99999999154419,0.0
I2,3,N2,0.0,0.0,0.0,59.99999999039532,0.0
I2,3,N3,0.0,0.0,0.0,59.99999999165425,0.0
I2,3,N4,0.0,0.0,0.0,59.999999991683254,0.0
I2,3,N5,0.0,0.0,0.0,59.9999999917326,0.0
I2,3,N6,0.0,0.0,0.0,59.999999991699625,0.0
I2,3,N7,0.0,0.0,0.0,59.99999999117454,0.0
I2,3,N8,0.0,0.0,0.0,59.9999999915244,0.0
I2,3,N9,0.0,0.0,0.0,59.99999999161457,0.0
I2,4,N1,0.0,0.0,0.0,59.99999989935413,0.0
I2,4,N2,0.0,0.0,0.0,59.99999989818289,0.0
I2,4,N3,0.0,0.0,0.0,59.999999899405296,0.0
I2,4,N4,0.0,0.0,0.0,59.99999989948355,0.0
I2,4,N5,0.0,0.0,0.0,59.99999989952274,0.0
I2,4,N6,0.0,0.0,0.0,59.99999989949341,0.0
I2,4,N7,0.0,0.0,0.0,59.999999898962116,0.0
I2,4,N8,0.0,0.0,0.0,59.999999899312215,0.0
I2,4,N9,0.0,0.0,0.0,59.999999899405296,0.0
I2,5,N1,0.0,0.0,0.0,59.99999999503477,0.0
I2,5,N2,0.0,0.0,0.0,59.999999993908276,0.0
I2,5,N3,0.0,0.0,0.0,59.99999999512423,0.0
I2,5,N4,0.0,0.0,0.0,59.99999999518364,0.0
I2,5,N5,0.0,0.0,0.0,59.99999999524325,0.0
I2,5,N6,0.0,0.0,0.0,59.99999999520634,0.0
I2,5,N7,0.0,0.0,0.0,59.99999999468749,0.0
I2,5,N8,0.0,0.0,0.0,59.99999999503623,0.0
I2,5,N9,0.0,0.0,0.0,59.99999999512415,0.0
I2,6,N1,0.0,0.0,0.0,59.99999999840195,0.0
I2,6,N2,0.0,0.0,0.0,59.99999999735676,0.0
I2,6,N3,0.0,0.0,0.0,59.99999999850558,0.0
I2,6,N4,0.0,0.0,0.0,59.99999999858163,0.0
I2,6,N5,0.0,0.0,0.0,59.99999999869723,0.0
I2,6,N6,0.0,0.0,0.0,59.999999998545185,0.0
I2,6,N7,0.0,0.0,0.0,59.99999999813598,0.0
I2,6,N8,0.0,0.0,0.0,59.999999998454086,0.0
I2,6,N9,0.0,0.0,0.0,59.99999999850558,0.0
I2,7,N1,0.0,0.0,0.0,59.9999999985579,0.0
I2,7,N2,0.0,0.0,0.0,59.99999999739676,0.0
I2,7,N3,0.0,0.0,0.0,59.99999999825968,0.0
I2,7,N4,0.0,0.0,0.0,59.99999999872211,0.0
I2,7,N5,0.0,0.0,0.0,59.999999998892505,0.0
