iteration,investor,proximal_coefficient_eur_per_mw2_day,unpenalized_profit_eur_per_day,proximal_penalty_eur_per_day,strategic_epsilon_penalty,epsilon_penalty_eur_per_day,penalized_objective_eur_per_day
62,I1,0.0,-0.00010319913641637941,0.0,0.0001,1.0304780871781636e-05,-0.00011350391728816105
62,I2,0.0,-5.5304428984082473e-05,0.0,0.0001,9.818359174878289e-06,-6.512278815896076e-05
62,I3,0.0,133359.1853348151,0.0,0.0001,0.00047532573867437267,133359.18485948935
62,I4,0.0,208743.93869143492,0.0,0.0001,0.018857010682352873,208743.91983442425
63,I1,0.0,-5.690613004899452e-05,0.0,0.0001,9.818361381499695e-06,-6.672449143049422e-05
63,I2,0.0,-5.5343560572541316e-05,0.0,0.0001,9.818369358110888e-06,-6.51619299306522e-05
63,I3,0.0,133319.1095258705,0.0,0.0001,0.0023677530941552064,133319.1071581174
63,I4,0.0,208693.59846474696,0.0,0.0001,0.9917536691940008,208692.60671107777
64,I1,0.0,-5.676096661133757e-05,0.0,0.0001,9.818387213271626e-06,-6.657935382460919e-05
64,I2,0.0,-7.559618203169735e-05,0.0,0.0001,9.8525243815177e-06,-8.544870641321505e-05
64,I3,0.0,133467.19761443342,0.0,0.0001,0.00042158978192553804,133467.19719284363
64,I4,0.0,208849.2326314464,0.0,0.0001,0.01919861567559448,208849.2134328307
65,I1,0.0,-0.0001114225852699525,0.0,0.0001,9.815124995451874e-06,-0.00012123771026540437
65,I2,0.0,-7.205879375307177e-05,0.0,0.0001,9.819204121200325e-06,-8.187799787427209e-05
65,I3,0.0,133426.28966828252,0.0,0.0001,0.023380652156774828,133426.26628763037
65,I4,0.0,208827.32073381552,0.0,0.0001,0.022308841670751367,208827.29842497385
66,I1,0.0,-5.659890047322485e-05,0.0,0.0001,9.818349557964671e-06,-6.641725003118952e-05
66,I2,0.0,-5.199413632899378e-05,0.0,0.0001,9.81883100747458e-06,-6.181296733646836e-05
66,I3,0.0,131937.4226339455,0.0,0.0001,0.002527965271397359,131937.42010598024
66,I4,0.0,208691.07773853856,0.0,0.0001,0.029173203852871213,208691.0485653347
67,I1,0.0,-8.524613124653567e-05,0.0,0.0001,9.826473972442187e-06,-9.507260521897785e-05
67,I2,0.0,-7.782425370200131e-05,0.0,0.0001,9.824293166640943e-06,-8.764854686864225e-05
67,I3,0.0,131964.69072764047,0.0,0.0001,0.016434886648109395,131964.67429275383
67,I4,0.0,207287.73378939403,0.0,0.0001,0.16648305361910443,207287.5673063404
68,I1,0.0,-5.7338454657469956e-05,0.0,0.0001,9.818502197742894e-06,-6.715695685521285e-05
68,I2,0.0,-0.00010201052923613351,0.0,0.0001,9.824626240643633e-06,-0.00011183515547677714
68,I3,0.0,133586.5889912499,0.0,0.0001,0.015565361919472971,133586.573425888
68,I4,0.0,208439.66273084524,0.0,0.0001,0.021697066076010133,208439.64103377916
69,I1,0.0,-6.325198409987906e-05,0.0,0.0001,9.818810466669706e-06,-7.307079456654876e-05
69,I2,0.0,-0.0001555827079693779,0.0,0.0001,1.2421356805322538e-05,-0.00016800406477470044
69,I3,0.0,132429.97903894956,0.0,0.0001,0.021262229174675518,132429.95777672037
69,I4,0.0,208535.643258874,0.0,0.0001,0.02107668948819671,208535.62218218454
70,I1,0.0,-5.4850469311781465e-05,0.0,0.0001,9.818603811183477e-06,-6.466907312296495e-05
70,I2,0.0,-9.771731767290312e-05,0.0,0.0001,1.019922374577052e-05,-0.00010791654141867364
70,I3,0.0,133593.37700943975,0.0,0.0001,0.001444312169552854,133593.3755651276
70,I4,0.0,208611.41299269526,0.0,0.0001,0.020536437843208587,208611.39245625742
71,I1,0.0,-5.5569555547065114e-05,0.0,0.0001,9.818497288283643e-06,-6.538805283534876e-05
71,I2,0.0,-7.688850190120702e-05,0.0,0.0001,9.826314339052468e-06,-8.671481624025949e-05
71,I3,0.0,133396.92045601513,0.0,0.0001,0.028102682678555427,133396.89235333246
71,I4,0.0,208276.34065812788,0.0,0.0001,0.030665835123785543,208276.30999229275
