investor,node,x_power_mw,x_energy_mwh,ratio_hours,share_of_node_limit,last_best_response_access_shadow_price_eur_per_mw_day
I1,N1,0.0,0.0,0.0,0.0,0.0
I1,N2,0.0,0.0,0.0,0.0,0.0
I1,N3,0.0,0.0,0.0,0.0,0.0
I1,N4,0.0,0.0,0.0,0.0,0.0
I1,N5,0.0,0.0,0.0,0.0,0.0
I1,N6,0.0,0.0,0.0,0.0,0.0
I1,N7,0.0,0.0,0.0,0.0,0.0
I1,N8,0.0,0.0,0.0,0.0,0.0
I1,N9,0.0,0.0,0.0,0.0,0.0
I2,N1,0.0,0.0,0.0,0.0,0.0
I2,N2,0.0,0.0,0.0,0.0,0.0
I2,N3,0.0,0.0,0.0,0.0,0.0
I2,N4,0.0,0.0,0.0,0.0,0.0
I2,N5,0.0,0.0,0.0,0.0,0.0
I2,N6,0.0,0.0,0.0,0.0,0.0
I2,N7,0.0,0.0,0.0,0.0,0.0
I2,N8,0.0,0.0,0.0,0.0,0.0
I2,N9,0.0,0.0,0.0,0.0,0.0
I3,N1,0.0,0.0,0.0,0.0,0.0
I3,N2,0.0,0.0,0.0,0.0,0.0
I3,N3,0.03926948635015233,0.0785407475804713,2.0000451974377973,0.00019634743175076164,4.988769125289621e-07
I3,N4,0.0,0.0,0.0,0.0,0.0
I3,N5,0.0,0.0,0.0,0.0,0.0
I3,N6,9.370942209728032,18.74189043946282,2.00000064241211,0.04685471104864016,-1.2009979750659508e-07
I3,N7,0.0,0.0,0.0,0.0,0.0
I3,N8,8.719151564980173,17.438307319141938,2.0000004804574805,0.04359575782490086,-2.023387141770043e-07
I3,N9,9.073241621003962,18.146487572511692,2.0000004772829763,0.04536620810501981,-1.748907005758604e-07
I4,N1,0.0,0.0,0.0,0.0,0.0
I4,N2,0.0,0.0,0.0,0.0,0.0
I4,N3,29.03507829807703,98.7679676208868,3.401677329984267,0.14517539149038514,-1.5129233880123997e-08
I4,N4,0.0,0.0,0.0,0.0,0.0
I4,N5,0.0,0.0,0.0,0.0,0.0
I4,N6,44.1859919550694,160.8149679817543,3.6395011374935136,0.220929959775347,1.4998425816256362e-08
I4,N7,0.0,0.0,0.0,0.0,0.0
I4,N8,57.51061500218171,133.60914461112003,2.3232084130216912,0.28755307501090854,2.418338486805975e-08
I4,N9,29.401843532707872,100.33437463606455,3.4125198484390373,0.14700921766353936,-1.681346638407807e-08
