hour,lambda_system,system_net_injection_residual_mw
1,60.000000476669975,-4.343747583845925e-15
2,60.00000021833812,-3.400058012914542e-15
3,59.99999871381913,5.09731146181025e-14
4,59.99992072424952,9.13852327144582e-15
5,59.99999966194552,-2.3502033652533783e-14
6,60.00000050103978,-3.166911177743259e-14
7,60.00000058039873,3.582550922587302e-14
8,60.00000058725645,1.7416623698807143e-14
9,60.0000004383526,-4.6983250623355843e-14
10,52.200000636517366,-4.649058915617843e-16
11,60.00000042768509,2.4501234374696423e-14
12,59.963161194820344,-3.402139681085714e-14
13,52.23612854248942,-9.756084828893563e-15
14,52.13946462129071,4.21399026784286e-14
15,52.17954647155106,5.1313120419393954e-14
16,59.99999583213663,-4.6899983896508957e-14
17,52.20000058542106,5.517114542996637e-14
18,60.00000038798828,4.638650574761982e-14
19,60.000000631218526,9.370282327836321e-14
20,60.00000072595437,-7.839562332634387e-14
21,60.00000066339549,-8.70692407062279e-14
22,60.000000603946056,-5.2860493759965266e-14
23,60.00000057356485,-1.990074771640593e-14
24,60.00000053835497,1.1754486273218845e-14
