iteration,investor,proximal_coefficient_eur_per_mw2_day,unpenalized_profit_eur_per_day,proximal_penalty_eur_per_day,strategic_epsilon_penalty,epsilon_penalty_eur_per_day,penalized_objective_eur_per_day
72,I1,0.0,-9.264026546554464e-05,0.0,0.0,0.0,-9.264026546554464e-05
72,I2,0.0,-9.129683031848228e-05,0.0,0.0,0.0,-9.129683031848228e-05
72,I3,0.0,126169.68806034481,0.0,0.0,0.0,126169.68806034481
72,I4,0.0,184169.8260569134,0.0,0.0,0.0,184169.8260569134
73,I1,0.0,-6.2566516465046e-05,0.0,0.0,0.0,-6.2566516465046e-05
73,I2,0.0,-8.414638106881508e-05,0.0,0.0,0.0,-8.414638106881508e-05
73,I3,0.0,126169.68925616035,0.0,0.0,0.0,126169.68925616035
73,I4,0.0,184169.6163719848,0.0,0.0,0.0,184169.6163719848
74,I1,0.0,-8.564075539064293e-05,0.0,0.0,0.0,-8.564075539064293e-05
74,I2,0.0,-8.467599808148875e-05,0.0,0.0,0.0,-8.467599808148875e-05
74,I3,0.0,126169.69182939098,0.0,0.0,0.0,126169.69182939098
74,I4,0.0,184169.78141675022,0.0,0.0,0.0,184169.78141675022
75,I1,0.0,-8.292985920946821e-05,0.0,0.0,0.0,-8.292985920946821e-05
75,I2,0.0,-0.00016732149818594346,0.0,0.0,0.0,-0.00016732149818594346
75,I3,0.0,126169.69330718147,0.0,0.0,0.0,126169.69330718147
75,I4,0.0,184169.82722067615,0.0,0.0,0.0,184169.82722067615
76,I1,0.0,-0.00016968161734405682,0.0,0.0,0.0,-0.00016968161734405682
76,I2,0.0,-8.272630494557794e-05,0.0,0.0,0.0,-8.272630494557794e-05
76,I3,0.0,126169.69168137894,0.0,0.0,0.0,126169.69168137894
76,I4,0.0,184169.826783394,0.0,0.0,0.0,184169.826783394
77,I1,0.0,-7.562762240001887e-05,0.0,0.0,0.0,-7.562762240001887e-05
77,I2,0.0,-0.0001275392297868715,0.0,0.0,0.0,-0.0001275392297868715
77,I3,0.0,126169.68277372507,0.0,0.0,0.0,126169.68277372507
77,I4,0.0,184169.8094229003,0.0,0.0,0.0,184169.8094229003
78,I1,0.0,-7.417582437271544e-05,0.0,0.0,0.0,-7.417582437271544e-05
78,I2,0.0,-0.00013167908207547676,0.0,0.0,0.0,-0.00013167908207547676
78,I3,0.0,126169.69103288576,0.0,0.0,0.0,126169.69103288576
78,I4,0.0,184169.683154953,0.0,0.0,0.0,184169.683154953
79,I1,0.0,-8.892653818951975e-05,0.0,0.0,0.0,-8.892653818951975e-05
79,I2,0.0,-7.785224971200774e-05,0.0,0.0,0.0,-7.785224971200774e-05
79,I3,0.0,126169.69194427622,0.0,0.0,0.0,126169.69194427622
79,I4,0.0,184170.53336537667,0.0,0.0,0.0,184170.53336537667
80,I1,0.0,-8.816914194103525e-05,0.0,0.0,0.0,-8.816914194103525e-05
80,I2,0.0,-8.75900477506745e-05,0.0,0.0,0.0,-8.75900477506745e-05
80,I3,0.0,126169.69206159555,0.0,0.0,0.0,126169.69206159555
80,I4,0.0,184169.8107728939,0.0,0.0,0.0,184169.8107728939
81,I1,0.0,-7.992874734438447e-05,0.0,0.0,0.0,-7.992874734438447e-05
81,I2,0.0,-8.467260951937755e-05,0.0,0.0,0.0,-8.467260951937755e-05
81,I3,0.0,126169.68685607644,0.0,0.0,0.0,126169.68685607644
81,I4,0.0,184169.8240272573,0.0,0.0,0.0,184169.8240272573
82,I1,0.0,-8.86247439205531e-05,0.0,0.0,0.0,-8.86247439205531e-05
82,I2,0.0,-8.15163483094785e-05,0.0,0.0,0.0,-8.15163483094785e-05
82,I3,0.0,126169.680502747,0.0,0.0,0.0,126169.680502747
82,I4,0.0,184169.78498991235,0.0,0.0,0.0,184169.78498991235
83,I1,0.0,-8.99428160945735e-05,0.0,0.0,0.0,-8.99428160945735e-05
83,I2,0.0,-0.00017927935662558872,0.0,0.0,0.0,-0.00017927935662558872
83,I3,0.0,126169.67056993414,0.0,0.0,0.0,126169.67056993414
83,I4,0.0,184170.53928366932,0.0,0.0,0.0,184170.53928366932
84,I1,0.0,-7.994551355707757e-05,0.0,0.0,0.0,-7.994551355707757e-05
84,I2,0.0,-7.949803670894814e-05,0.0,0.0,0.0,-7.949803670894814e-05
84,I3,0.0,126169.68668886217,0.0,0.0,0.0,126169.68668886217
84,I4,0.0,184169.9071166317,0.0,0.0,0.0,184169.9071166317
85,I1,0.0,-8.423775408783672e-05,0.0,0.0,0.0,-8.423775408783672e-05
85,I2,0.0,-8.065255711361289e-05,0.0,0.0,0.0,-8.065255711361289e-05
85,I3,0.0,126169.61923418999,0.0,0.0,0.0,126169.61923418999
85,I4,0.0,184169.7397899747,0.0,0.0,0.0,184169.7397899747
86,I1,0.0,-9.299237337687772e-05,0.0,0.0,0.0,-9.299237337687772e-05
86,I2,0.0,-0.00010454505001373563,0.0,0.0,0.0,-0.00010454505001373563
86,I3,0.0,126169.47560830579,0.0,0.0,0.0,126169.47560830579
86,I4,0.0,184169.64408110766,0.0,0.0,0.0,184169.64408110766
