unit,hour,node,soc_start_mwh,soc_end_mwh,p_charge_mw,p_discharge_mw,net_injection_mw,lambda_eur_per_mwh,spot_revenue_eur,degradation_cost_eur,rho_charge_dual,sigma_discharge_dual,gamma_soc_transition_dual
I4,1,N1,1.129747088748247e-06,1.1294143230851587e-06,0.0,0.0,0.0,60.00000058984083,0.0,0.0,-9419.08731279648,-0.03550693193650561,-3881.0419181441116
I4,2,N1,1.1294143230851587e-06,1.1290908157403531e-06,0.0,0.0,0.0,60.000000589460655,0.0,0.0,-9419.08441800162,-0.06358731736166102,-3881.041694345826
I4,3,N1,1.1290908157403531e-06,1.1287618262405753e-06,0.0,0.0,0.0,60.000000587604376,0.0,0.0,-9419.08068295385,-0.046917268903992344,-3881.041479477404
I4,4,N1,1.1287618262405753e-06,1.128495415163201e-06,0.0,0.0,0.0,60.00000054040686,0.0,0.0,-9419.056580253593,-0.26101731828352837,-3881.041201791382
I4,5,N1,1.128495415163201e-06,1.128165189726223e-06,0.0,0.0,0.0,60.000000588723395,0.0,0.0,-9419.08274837549,-0.04320744937831167,-3881.041099869239
I4,6,N1,1.128165189726223e-06,1.1278598422925271e-06,0.0,0.0,0.0,60.000000589880166,0.0,0.0,-9419.088746132315,-0.12113564868548037,-3881.04090482384
I4,7,N1,1.1278598422925271e-06,1.1275302454001923e-06,0.0,0.0,0.0,60.000000589989725,0.0,0.0,-9419.097944845957,-0.045150743283485555,-3881.0408051716136
I4,8,N1,1.1275302454001923e-06,1.1272016921471955e-06,0.0,0.0,0.0,60.000000590003296,0.0,0.0,-9419.07628225034,-0.048336513787111034,-3881.040612573932
I4,9,N1,1.1272016921471955e-06,1.1268709363322309e-06,0.0,0.0,0.0,60.000000589899386,0.0,0.0,-9419.174478954166,-0.0417169451299937,-3881.0403361386207
I4,10,N1,1.1268709363322309e-06,1.128083904847536e-06,0.0,0.0,0.0,52.200000512162205,0.0,0.0,-9413.95768593686,-0.008150469072737278,-3881.0399277721963
I4,11,N1,1.128083904847536e-06,1.1277603077151871e-06,0.0,0.0,0.0,60.00000058973854,0.0,0.0,-9419.144238134739,-0.06351640130254035,-3881.0397178693283
I4,12,N1,1.1277603077151871e-06,1.1275100740152014e-06,0.0,0.0,0.0,60.000000584404,0.0,0.0,-9418.97842931304,-0.008961225147331098,-3881.039446376937
I4,13,N1,1.1275100740152014e-06,1.1287277058256745e-06,0.0,0.0,0.0,52.200000527000014,0.0,0.0,-9411.867722636238,-0.4221976063213874,-3881.039214244115
I4,14,N1,1.1287277058256745e-06,1.1299430505786892e-06,0.0,0.0,0.0,52.20000051988776,0.0,0.0,-9412.198312416587,-0.008011642450704775,-3881.0391175224067
I4,15,N1,1.1299430505786892e-06,1.131156014345632e-06,0.0,0.0,0.0,52.20000051022687,0.0,0.0,-9412.237201031632,-0.008002375721215788,-3881.039241793159
I4,16,N1,1.131156014345632e-06,1.1308504048681733e-06,0.0,0.0,0.0,60.000000589209606,0.0,0.0,-9419.5107509038,-0.12047033295638564,-3881.0395970745785
I4,17,N1,1.1308504048681733e-06,1.1320633700529233e-06,0.0,0.0,0.0,52.20000051209525,0.0,0.0,-9412.363177030535,-0.007979977233058756,-3881.0400155939715
I4,18,N1,1.1320633700529233e-06,1.1317594537067104e-06,0.0,0.0,0.0,60.00000058984656,0.0,0.0,-9419.044881989748,-0.1259679261100523,-3881.0406798795707
I4,19,N1,1.1317594537067104e-06,1.1314224484687838e-06,0.0,0.0,0.0,60.000000590069746,0.0,0.0,-9419.005099744778,-0.02261809334659151,-3881.0414123154287
I4,20,N1,1.1314224484687838e-06,1.1310855136983413e-06,0.0,0.0,0.0,60.000000590278994,0.0,0.0,-9418.992103114091,-0.022802292483585222,-3881.041789176762
