hour,node,lambda_joint_eur_per_mwh
1,N1,59.999999993553324
1,N2,59.99999998840204
1,N3,59.99999999441433
1,N4,59.99999999451446
1,N5,59.99999999503085
1,N6,59.99999999476001
1,N7,59.99999999229771
1,N8,59.99999999402411
1,N9,59.99999999441433
2,N1,59.99999998564812
2,N2,59.99999998013311
2,N3,59.99999998619592
2,N4,59.99999998644402
2,N5,59.99999998679471
2,N6,59.999999986590595
2,N7,59.99999998402875
2,N8,59.99999998576684
2,N9,59.99999998619592
3,N1,59.99999995772443
3,N2,59.99999995198068
3,N3,59.9999999580761
3,N4,59.999999958419735
3,N5,59.99999995866623
3,N6,59.9999999585016
3,N7,59.999999955876454
3,N8,59.999999957623054
3,N9,59.99999995807611
4,N1,59.99999949678226
4,N2,59.99999949092671
4,N3,59.99999949703805
4,N4,59.99999949742924
4,N5,59.99999949762521
4,N6,59.99999949747873
4,N7,59.99999949482239
4,N8,59.999999496572705
4,N9,59.99999949703805
5,N1,59.999999975094575
5,N2,59.99999996946489
5,N3,59.999999975544696
5,N4,59.9999999758397
5,N5,59.99999997613823
5,N6,59.99999997595483
5,N7,59.999999973360566
5,N8,59.999999975103904
5,N9,59.999999975544696
6,N1,59.9999999953855
6,N2,59.99999999048386
6,N3,59.99999999645501
6,N4,59.99999999646393
6,N5,59.999999997095976
6,N6,59.999999996849716
6,N7,59.99999999437953
6,N8,59.9999999960935
6,N9,59.99999999645501
7,N1,59.07203112997289
7,N2,59.07203112268851
7,N3,59.072031126991924
7,N4,59.07203113045516
7,N5,59.07203113093058
7,N6,59.07203112735781
7,N7,59.072031126584186
7,N8,59.072031126531286
7,N9,59.072031126991924
8,N1,59.75115918943719
8,N2,59.75115917979388
8,N3,59.75115918298482
8,N4,59.751159189836564
8,N5,59.75115919016297
8,N6,59.75115918235482
8,N7,59.751159183689545
8,N8,59.75115918254773
8,N9,59.75115918298482
9,N1,59.999999995297735
9,N2,59.999999988286504
9,N3,59.99999999272891
9,N4,59.999999996183234
9,N5,59.99999999729472
9,N6,59.99999999582905
9,N7,59.99999999218217
9,N8,59.99999999165089
9,N9,59.99999999272891
10,N1,52.20000001547129
10,N2,52.20000000494992
10,N3,52.20000000319139
10,N4,52.20000001573574
10,N5,52.20000001515746
10,N6,52.200000003754816
10,N7,52.2000000069719
10,N8,52.200000003500506
10,N9,52.20000000319137
11,N1,59.99999995098837
11,N2,52.19999999708247
11,N3,46.72097562953346
11,N4,59.999999951266865
11,N5,57.30487801826449
11,N6,41.33073176309968
11,N7,52.19999999761789
11,N8,49.91707316947991
11,N9,46.72097562953346
12,N1,59.50166435834014
12,N2,52.19999999389675
12,N3,19.290183151725163
12,N4,59.501664358550904
12,N5,56.978731551826144
12,N6,14.244317538193556
12,N7,52.1999999942273
12,N8,22.28208464483549
12,N9,19.290183151725124
13,N1,59.999996590849086
13,N2,52.19999999119673
13,N3,16.034383473722855
13,N4,59.99999659107575
13,N5,57.304875816775805
13,N6,10.644141923775527
13,N7,52.199999991443825
13,N8,19.230479639317853
13,N9,16.034383473722862
14,N1,44.06967525161174
14,N2,52.19999998760459
14,N3,3.567146394829177
14,N4,44.06967525186845
14,N5,46.87893380080377
14,N6,9.185663491206084
14,N7,52.19999998778901
14,N8,0.23569625743652398
14,N9,3.5671463948291717
15,N1,56.57610282913905
15,N2,52.199999983003
15,N3,17.368122150886407
15,N4,56.57610282944254
15,N5,55.06403477480018
15,N6,14.34398603951592
15,N7,52.19999998314201
15,N8,19.161256974324047
15,N9,17.368122150886403
16,N1,59.999999564689865
16,N2,52.19999998464732
16,N3,17.58668761673729
16,N4,59.999999565047204
16,N5,57.30487776099116
16,N6,12.196444006189992
16,N7,52.199999984799746
16,N8,20.78278500441534
16,N9,17.586687616737287
17,N1,52.20000000911906
17,N2,52.20000000180397
17,N3,52.19999999927103
17,N4,52.200000009518426
17,N5,52.20000000960498
17,N6,52.19999999857115
17,N7,52.20000000321276
17,N8,52.199999999421756
17,N9,52.19999999927103
18,N1,59.999999998204345
18,N2,59.99999999148851
18,N3,59.999999995635285
18,N4,59.99999999909724
18,N5,60.000000000373845
18,N6,59.999999996502964
18,N7,59.99999999538705
18,N8,59.99999999486966
18,N9,59.99999999563815
19,N1,59.99999999873653
19,N2,59.9999999936163
19,N3,59.9999999973259
19,N4,60.00000000020916
19,N5,60.00000000245161
19,N6,59.99999999737234
19,N7,59.99999999751197
19,N8,59.99999999710555
19,N9,59.9999999973259
20,N1,62.6876598356947
20,N2,62.68765983989531
20,N3,62.6876598442914
20,N4,62.687659842249225
20,N5,62.687659847143486
20,N6,62.68765984331413
20,N7,62.687659843790975
20,N8,62.68765984479988
20,N9,62.6876598442914
21,N1,60.00000000970037
21,N2,60.00000000976353
21,N3,60.00000001475756
21,N4,60.000000013752896
21,N5,60.000000016732294
21,N6,60.000000014732045
21,N7,60.0000000136592
21,N8,60.00000001462683
21,N9,60.000000014757866
22,N1,60.0000000042646
22,N2,60.0000000026935
22,N3,60.00000000823897
22,N4,60.00000000721468
22,N5,60.000000009283106
22,N6,60.00000000815715
22,N7,60.00000000658916
22,N8,60.00000000816569
22,N9,60.00000000823926
23,N1,59.99999999968065
23,N2,59.999999996003346
23,N3,60.00000000181324
23,N4,60.000000001384926
23,N5,60.00000000256503
23,N6,60.00000000197352
23,N7,59.99999999989902
23,N8,60.00000000156439
23,N9,60.00000000181324
24,N1,59.999999996791836
24,N2,59.9999999921704
24,N3,59.999999998109004
24,N4,59.99999999800646
24,N5,59.99999999876353
24,N6,59.99999999838578
24,N7,59.99999999606607
24,N8,59.99999999777168
24,N9,59.999999998109004
