unit,hour,node,p_charge_mw,p_discharge_mw,net_injection_mw,lambda_joint_eur_per_mwh,spot_revenue_eur
I1,1,N1,0.0,0.0,0.0,59.999999993553324,0.0
I1,1,N2,0.0,0.0,0.0,59.99999998840204,0.0
I1,1,N3,0.0,0.0,0.0,59.99999999441433,0.0
I1,1,N4,0.0,0.0,0.0,59.99999999451446,0.0
I1,1,N5,0.0,0.0,0.0,59.99999999503085,0.0
I1,1,N6,0.0,4.6993978094345485e-06,4.6993978094345485e-06,59.99999999476001,0.0002819638685414481
I1,1,N7,0.0,0.0,0.0,59.99999999229771,0.0
I1,1,N8,0.0,4.506692242022689e-06,4.506692242022689e-06,59.99999999402411,0.0002704015344944298
I1,1,N9,0.0,0.0,0.0,59.99999999441433,0.0
I1,2,N1,0.0,0.0,0.0,59.99999998564812,0.0
I1,2,N2,0.0,0.0,0.0,59.99999998013311,0.0
I1,2,N3,0.0,0.0,0.0,59.99999998619592,0.0
I1,2,N4,0.0,0.0,0.0,59.99999998644402,0.0
I1,2,N5,0.0,0.0,0.0,59.99999998679471,0.0
I1,2,N6,0.0,4.683141330409571e-06,4.683141330409571e-06,59.999999986590595,0.0002809884797617761
I1,2,N7,0.0,0.0,0.0,59.99999998402875,0.0
I1,2,N8,0.0,4.563676265717518e-06,4.563676265717518e-06,59.99999998576684,0.00027382057587809557
I1,2,N9,0.0,0.0,0.0,59.99999998619592,0.0
I1,3,N1,0.0,0.0,0.0,59.99999995772443,0.0
I1,3,N2,0.0,0.0,0.0,59.99999995198068,0.0
I1,3,N3,0.0,0.0,0.0,59.9999999580761,0.0
I1,3,N4,0.0,0.0,0.0,59.999999958419735,0.0
I1,3,N5,0.0,0.0,0.0,59.99999995866623,0.0
I1,3,N6,0.0,4.667890378677499e-06,4.667890378677499e-06,59.9999999585016,0.0002800734225269399
I1,3,N7,0.0,0.0,0.0,59.999999955876454,0.0
I1,3,N8,0.0,4.50100083784817e-06,4.50100083784817e-06,59.999999957623054,0.00027006005008015153
I1,3,N9,0.0,0.0,0.0,59.99999995807611,0.0
I1,4,N1,0.0,0.0,0.0,59.99999949678226,0.0
I1,4,N2,0.0,0.0,0.0,59.99999949092671,0.0
I1,4,N3,0.0,0.0,0.0,59.99999949703805,0.0
I1,4,N4,0.0,0.0,0.0,59.99999949742924,0.0
I1,4,N5,0.0,0.0,0.0,59.99999949762521,0.0
I1,4,N6,0.0,4.5533843937399645e-06,4.5533843937399645e-06,59.99999949747873,0.0002732030613362254
I1,4,N7,0.0,0.0,0.0,59.99999949482239,0.0
I1,4,N8,0.0,4.560641592376052e-06,4.560641592376052e-06,59.999999496572705,0.00027363849324661167
I1,4,N9,0.0,0.0,0.0,59.99999949703805,0.0
I1,5,N1,0.0,0.0,0.0,59.999999975094575,0.0
I1,5,N2,0.0,0.0,0.0,59.99999996946489,0.0
I1,5,N3,0.0,0.0,0.0,59.999999975544696,0.0
I1,5,N4,0.0,0.0,0.0,59.9999999758397,0.0
I1,5,N5,0.0,0.0,0.0,59.99999997613823,0.0
I1,5,N6,0.0,4.635675189310363e-06,4.635675189310363e-06,59.99999997595483,0.00027814051124715617
I1,5,N7,0.0,0.0,0.0,59.999999973360566,0.0
I1,5,N8,0.0,4.38630601870056e-06,4.38630601870056e-06,59.999999975103904,0.0002631783610128317
I1,5,N9,0.0,0.0,0.0,59.999999975544696,0.0
I1,6,N1,0.0,0.0,0.0,59.9999999953855,0.0
I1,6,N2,0.0,0.0,0.0,59.99999999048386,0.0
I1,6,N3,0.0,0.0,0.0,59.99999999645501,0.0
I1,6,N4,0.0,0.0,0.0,59.99999999646393,0.0
I1,6,N5,0.0,0.0,0.0,59.999999997095976,0.0
I1,6,N6,0.0,4.623506753678485e-06,4.623506753678485e-06,59.999999996849716,0.0002774104052061438
I1,6,N7,0.0,0.0,0.0,59.99999999437953,0.0
I1,6,N8,0.0,4.409213534253175e-06,4.409213534253175e-06,59.9999999960935,0.00026455281203796593
I1,6,N9,0.0,0.0,0.0,59.99999999645501,0.0
I1,7,N1,0.0,0.0,0.0,59.07203112997289,0.0
I1,7,N2,0.0,0.0,0.0,59.07203112268851,0.0
I1,7,N3,0.0,0.0,0.0,59.072031126991924,0.0
I1,7,N4,0.0,0.0,0.0,59.07203113045516,0.0
I1,7,N5,0.0,0.0,0.0,59.07203113093058,0.0
I1,7,N6,0.0,74.68976518213914,74.68976518213914,59.07203112735781,4412.076133734369
I1,7,N7,0.0,0.0,0.0,59.072031126584186,0.0
I1,7,N8,0.0,71.4327294160487,71.4327294160487,59.072031126531286,4219.676415517916
I1,7,N9,0.0,0.0,0.0,59.072031126991924,0.0
I1,8,N1,0.0,0.0,0.0,59.75115918943719,0.0
I1,8,N2,0.0,0.0,0.0,59.75115917979388,0.0
I1,8,N3,0.0,0.0,0.0,59.75115918298482,0.0
I1,8,N4,0.0,0.0,0.0,59.751159189836564,0.0
