investor,node,x_power_mw,x_energy_mwh,ratio_hours,share_of_node_limit,last_best_response_access_shadow_price_eur_per_mw_day
I1,N1,0.0,0.0,0.0,0.0,0.0
I1,N2,0.0,0.0,0.0,0.0,0.0
I1,N3,0.0,0.0,0.0,0.0,0.0
I1,N4,0.0,0.0,0.0,0.0,0.0
I1,N5,0.0,0.0,0.0,0.0,0.0
I1,N6,0.0,0.0,0.0,0.0,0.0
I1,N7,0.0,0.0,0.0,0.0,0.0
I1,N8,0.0,0.0,0.0,0.0,0.0
I1,N9,0.0,0.0,0.0,0.0,0.0
I2,N1,0.0,0.0,0.0,0.0,0.0
I2,N2,0.0,0.0,0.0,0.0,0.0
I2,N3,0.0,0.0,0.0,0.0,0.0
I2,N4,0.0,0.0,0.0,0.0,0.0
I2,N5,0.0,0.0,0.0,0.0,0.0
I2,N6,0.0,0.0,0.0,0.0,0.0
I2,N7,0.0,0.0,0.0,0.0,0.0
I2,N8,0.0,0.0,0.0,0.0,0.0
I2,N9,0.0,0.0,0.0,0.0,0.0
I3,N1,0.0,0.0,0.0,0.0,0.0
I3,N2,0.0,0.0,0.0,0.0,0.0
I3,N3,7.759349314398676,15.518698925598304,2.000000038250753,0.03879674657199338,1.1865393805073923e-08
I3,N4,0.0,0.0,0.0,0.0,0.0
I3,N5,0.0,0.0,0.0,0.0,0.0
I3,N6,10.163141424795695,20.326283146392726,2.0000000292037003,0.050815707123978475,1.2581640966257481e-08
I3,N7,0.0,0.0,0.0,0.0,0.0
I3,N8,15.539890353816604,31.079780909649013,2.0000000129998217,0.07769945176908302,1.2255865711005867e-08
I3,N9,7.188083523414287,14.376167343629527,2.0000000412906935,0.03594041761707143,1.2923398639240043e-08
I4,N1,0.0,0.0,0.0,0.0,0.0
I4,N2,0.0,0.0,0.0,0.0,0.0
I4,N3,35.61295944131316,94.22324606032348,2.6457572619201897,0.1780647972065658,4.7916274541605094e-08
I4,N4,0.0,0.0,0.0,0.0,0.0
I4,N5,0.0,0.0,0.0,0.0,0.0
I4,N6,45.780980293764095,133.7610124363163,2.921759463821182,0.22890490146882048,-2.0987364834587427e-08
I4,N7,0.0,0.0,0.0,0.0,0.0
I4,N8,32.35431986582605,66.88137084916886,2.0671542819174413,0.16177159932913024,-3.6885760567103116e-08
I4,N9,52.89068314963949,195.44262830871637,3.695218451910817,0.2644534157481975,1.7633492893746078e-08
