investor,node,x_power_mw,x_energy_mwh,ratio_hours,share_of_node_limit,last_best_response_access_shadow_price_eur_per_mw_day
I1,N1,10.0,20.0,2.0,0.05,nan
I1,N2,10.0,20.0,2.0,0.05,nan
I1,N3,10.0,20.0,2.0,0.05,nan
I1,N4,10.0,20.0,2.0,0.05,nan
I1,N5,10.0,20.0,2.0,0.05,nan
I1,N6,10.0,20.0,2.0,0.05,nan
I1,N7,10.0,20.0,2.0,0.05,nan
I1,N8,10.0,20.0,2.0,0.05,nan
I1,N9,10.0,20.0,2.0,0.05,nan
I2,N1,10.0,20.0,2.0,0.05,nan
I2,N2,10.0,20.0,2.0,0.05,nan
I2,N3,10.0,20.0,2.0,0.05,nan
I2,N4,10.0,20.0,2.0,0.05,nan
I2,N5,10.0,20.0,2.0,0.05,nan
I2,N6,10.0,20.0,2.0,0.05,nan
I2,N7,10.0,20.0,2.0,0.05,nan
I2,N8,10.0,20.0,2.0,0.05,nan
I2,N9,10.0,20.0,2.0,0.05,nan
I3,N1,7.500099718436017,15.000200330526512,2.000000119152346,0.03750049859218008,-1.6104288447946975e-07
I3,N2,7.5000079878094725,15.000016802810151,2.0000001102920435,0.03750003993904736,2.909801120358633e-07
I3,N3,12.624162759843259,34.184796112907335,2.7078861991265843,0.06312081379921629,0.0
I3,N4,7.500117616430865,15.000236213837534,2.0000001307947226,0.037500588082154326,-7.987097982282675e-08
I3,N5,7.500117675848228,15.000236332725938,2.0000001308018787,0.03750058837924114,-7.988319332155286e-08
I3,N6,13.867804370924858,39.973524569676584,2.88246960373084,0.06933902185462429,-1.0340224156448993e-08
I3,N7,7.500114096132543,15.000229140672241,2.0000001264523637,0.037500570480662715,-8.246667013909749e-08
I3,N8,12.434616128388594,29.620499732021166,2.382100052481451,0.06217308064194297,-1.5953155695086086e-08
I3,N9,12.376807941812068,33.233622096224764,2.68515292896749,0.06188403970906034,-1.5870233957375705e-08
I4,N1,10.0,20.0,2.0,0.05,nan
I4,N2,10.0,20.0,2.0,0.05,nan
I4,N3,10.0,20.0,2.0,0.05,nan
I4,N4,10.0,20.0,2.0,0.05,nan
I4,N5,10.0,20.0,2.0,0.05,nan
I4,N6,10.0,20.0,2.0,0.05,nan
I4,N7,10.0,20.0,2.0,0.05,nan
I4,N8,10.0,20.0,2.0,0.05,nan
I4,N9,10.0,20.0,2.0,0.05,nan
