unit,soc_hour,node,soc_mwh,delta_soc_capacity_dual,rho_periodicity_dual
I3,0,N1,2.0092276424421693e-06,-0.0007796330711082316,-65.0900855980767
I3,1,N1,2.0092170340968687e-06,-0.000779597467710174,-65.0900855980767
I3,2,N1,2.0092064743591985e-06,-0.0007795780400143084,-65.0900855980767
I3,3,N1,2.0091959638391657e-06,-0.000779561193750135,-65.0900855980767
I3,4,N1,2.0091855031636944e-06,-0.0007795433764056892,-65.0900855980767
I3,5,N1,2.009175092976809e-06,-0.0007795242151783894,-65.0900855980767
I3,6,N1,2.009164733940052e-06,-0.0007795039801992075,-65.0900855980767
I3,7,N1,2.009154426732855e-06,-0.0007794828791050047,-65.0900855980767
I3,8,N1,2.0091441720526995e-06,-0.0007794607891476888,-65.0900855980767
I3,9,N1,2.0091339706156788e-06,-0.0007794373063837787,-65.0900855980767
I3,10,N1,2.009314550746291e-06,-0.0007794839995838138,-65.0900855980767
I3,11,N1,2.0094951702967483e-06,-0.0007795293135780728,-65.0900855980767
I3,12,N1,2.0096758147308414e-06,-0.0007795734663974484,-65.0900855980767
I3,13,N1,2.00985646952096e-06,-0.000779615937489712,-65.0900855980767
I3,14,N1,2.0100371201429925e-06,-0.0007796524832317748,-65.0900855980767
I3,15,N1,2.0102177520712853e-06,-0.000779695003421888,-65.0900855980767
I3,16,N1,2.0103983507736727e-06,-0.000779739546166552,-65.0900855980767
I3,17,N1,2.010578901706381e-06,-0.0007797862943666488,-65.0900855980767
I3,18,N1,2.0105686627058308e-06,-0.000779765649118614,-65.0900855980767
I3,19,N1,2.010558362087259e-06,-0.0007797467861594226,-65.0900855980767
I3,20,N1,2.0105480005506173e-06,-0.0007797282552183151,-65.0900855980767
I3,21,N1,2.010537578774564e-06,-0.0007797088126345682,-65.0900855980767
I3,22,N1,2.0105270974169096e-06,-0.0007796920266373423,-65.0900855980767
I3,23,N1,2.0105165571149956e-06,-0.000779672704360875,-65.0900855980767
I3,24,N1,2.0105059584858385e-06,-0.0007796368968290786,-65.0900855980767
I3,0,N2,4.8794200434470985e-09,-0.0659011293478042,-59.4191050334705
I3,1,N2,5.009613688786527e-09,-0.0662133255008338,-59.4191050334705
I3,2,N2,5.0363384493119e-09,-0.06630949730542622,-59.4191050334705
I3,3,N2,5.042167144247992e-09,-0.0663557837600575,-59.4191050334705
I3,4,N2,5.0435727241631375e-09,-0.0663950884726791,-59.4191050334705
I3,5,N2,5.044042810235203e-09,-0.06645100539520932,-59.4191050334705
I3,6,N2,5.044480105724902e-09,-0.06657341374806783,-59.4191050334705
I3,7,N2,5.045562064919871e-09,-0.06691479759734534,-59.4191050334705
I3,8,N2,5.049062594741192e-09,-0.06796882363060977,-59.4191050334705
I3,9,N2,5.060573999569691e-09,-0.07154344084109023,-59.4191050334705
I3,10,N2,5.401407739376174e-09,-0.08985301563073166,-59.4191050334705
I3,11,N2,5.0473993509437655e-09,-0.22250121237371293,-59.4191050334705
I3,12,N2,4.701686447411843e-09,-0.8061501985793154,-59.4191050334705
I3,13,N2,5.046104209815971e-09,-3.3714384002573494,-59.4191050334705
I3,14,N2,5.39521150159233e-09,-0.019810464794706963,-59.4191050334705
I3,15,N2,5.043330936554634e-09,-0.029547433850619573,-59.4191050334705
I3,16,N2,4.695260013275536e-09,-0.04436295368850063,-59.4191050334705
I3,17,N2,5.028728635497956e-09,-0.05573708193613136,-59.4191050334705
I3,18,N2,5.038934788011897e-09,-0.06243814400700857,-59.4191050334705
I3,19,N2,5.042254445180363e-09,-0.06507885991812867,-59.4191050334705
I3,20,N2,5.043579299144531e-09,-0.06593390808403164,-59.4191050334705
I3,21,N2,5.045249304250381e-09,-0.06614511727982622,-59.4191050334705
I3,22,N2,5.051226226432125e-09,-0.06623871622114587,-59.4191050334705
I3,23,N2,5.078366589386237e-09,-0.06633311534850059,-59.4191050334705
I3,24,N2,5.210498299587653e-09,-0.06663704516565447,-59.4191050334705
I3,0,N3,1.722517802198653e-08,-0.040346455957215574,-55.860913715634865
I3,1,N3,1.5660119366559173e-08,-0.039254436345183635,-55.860913715634865
I3,2,N3,1.5024952948164683e-08,-0.03889238684444873,-55.860913715634865
I3,3,N3,1.4793993378110299e-08,-0.03872446069133745,-55.860913715634865
I3,4,N3,1.4705005150658402e-08,-0.038595550935555105,-55.860913715634865
I3,5,N3,1.4641965975354816e-08,-0.03845286952796461,-55.860913715634865
I3,6,N3,1.4515253770105578e-08,-0.0382791194755399,-55.860913715634865
I3,7,N3,1.414374385771111e-08,-0.03807589196170658,-55.860913715634865
I3,8,N3,1.3024945566878816e-08,-0.03772693745264393,-55.860913715634865
I3,9,N3,9.817016857738624e-09,-0.03527190582816806,-55.860913715634865
I3,10,N3,1.1502230310644238e-08,-0.045869512309375776,-55.860913715634865
I3,11,N3,9.957028678583788e-09,-0.04833315566377681,-55.860913715634865
I3,12,N3,3.1761864364522073e-09,-0.09365141404632328,-55.860913715634865
I3,13,N3,3.07214380570026e-08,-1.2041803591766733,-55.860913715634865
I3,14,N3,2.1568061218865602e-08,-0.024398554210460815,-55.860913715634865
I3,15,N3,1.805113312641719e-08,-0.028049013103355676,-55.860913715634865
I3,16,N3,1.7765227344505108e-08,-0.03591270214063236,-55.860913715634865
I3,17,N3,1.996311782324215e-08,-0.04214130074000974,-55.860913715634865
I3,18,N3,1.6572614160211102e-08,-0.03981153537318398,-55.860913715634865
I3,19,N3,1.5323314514768327e-08,-0.03913132817409316,-55.860913715634865
I3,20,N3,1.488480689697927e-08,-0.0389221264180968,-55.860913715634865
I3,21,N3,1.468274377455442e-08,-0.03883753407510894,-55.860913715634865
I3,22,N3,1.443376942589197e-08,-0.03873776112171,-55.860913715634865
I3,23,N3,1.382696935366921e-08,-0.03844055286071308,-55.860913715634865
I3,24,N3,1.2300084287035203e-08,-0.0374669705821426,-55.860913715634865
I3,0,N4,2.0135038886855342e-06,-0.0007780459652603046,-65.09008452397096
I3,1,N4,2.013493297173219e-06,-0.000778011319115296,-65.09008452397096
I3,2,N4,2.013482751373539e-06,-0.0007779920597122251,-65.09008452397096
I3,3,N4,2.013472251853421e-06,-0.0007779752514680943,-65.09008452397096
I3,4,N4,2.0134617991955925e-06,-0.0007779575166642289,-65.09008452397096
I3,5,N4,2.0134513939986057e-06,-0.0007779385104994993,-65.09008452397096
I3,6,N4,2.0134410368769716e-06,-0.0007779185106188735,-65.09008452397096
I3,7,N4,2.0134307284614442e-06,-0.0007778977465446223,-65.09008452397096
