unit,soc_hour,node,soc_mwh,delta_soc_capacity_dual,rho_periodicity_dual
I1,0,N1,1.0322009757185203e-05,-0.062940211045417,-71.4375932995047
I1,1,N1,1.1903913040505375e-05,-0.06653637835153742,-71.4375932995047
I1,2,N1,1.3384866843354095e-05,-0.07025661498515925,-71.4375932995047
I1,3,N1,1.4802726766365467e-05,-0.07425343947170665,-71.4375932995047
I1,4,N1,1.618380815708687e-05,-0.07865791047416874,-71.4375932995047
I1,5,N1,1.7548915415344362e-05,-0.08368395163933155,-71.4375932995047
I1,6,N1,1.762683668800219e-05,-0.08393859921032873,-71.4375932995047
I1,7,N1,1.7704832347074093e-05,-0.08429112753605435,-71.4375932995047
I1,8,N1,1.7782923468169928e-05,-0.08465930960316173,-71.4375932995047
I1,9,N1,1.7861131193859535e-05,-0.08502901896976107,-71.4375932995047
I1,10,N1,1.793947675211179e-05,-0.08538553031639061,-71.4375932995047
I1,11,N1,1.8017981474108966e-05,-0.08564077367391437,-71.4375932995047
I1,12,N1,1.942517741786428e-05,-0.0918499591001164,-71.4375932995047
I1,13,N1,2.086303549161179e-05,-0.09906800866135655,-71.4375932995047
I1,14,N1,2.2357334677063027e-05,-0.10784468277952587,-71.4375932995047
I1,15,N1,2.3943928344451243e-05,-0.11900238760685568,-71.4375932995047
I1,16,N1,2.5680446044342495e-05,-0.13414936705303762,-71.4375932995047
I1,17,N1,2.5767350608797084e-05,-0.13437595277848166,-71.4375932995047
I1,18,N1,2.5857393629615505e-05,-0.1346842296327779,-71.4375932995047
I1,19,N1,2.574392731436216e-05,-0.13439254625263464,-71.4375932995047
I1,20,N1,9.961753605409564e-06,-0.06203198576286124,-71.4375932995047
I1,21,N1,1.005561657818328e-05,-0.06263208647111249,-71.4375932995047
I1,22,N1,1.01468922958012e-05,-0.06279018784151799,-71.4375932995047
I1,23,N1,1.0235664015425474e-05,-0.0629126948655378,-71.4375932995047
I1,24,N1,1.0322009757185203e-05,-0.06305769748996155,-71.4375932995047
I1,0,N2,0.21906905963409767,-1.691113859788902e-06,-72.11537925023075
I1,1,N2,0.32518058327136407,-1.8743567552849257e-06,-72.11537925023075
I1,2,N2,0.41995391847233776,-2.0735627727044116e-06,-72.11537925023075
I1,3,N2,0.50511086655996,-2.2931998863427855e-06,-72.11537925023075
I1,4,N2,0.5854572088844219,-2.5481339057306954e-06,-72.11537925023075
I1,5,N2,0.6638017502218935,-2.858024001889913e-06,-72.11537925023075
I1,6,N2,0.6638018574504122,-2.8580245634185802e-06,-72.11537925023075
I1,7,N2,0.6638019646789274,-2.8580251249427384e-06,-72.11537925023075
I1,8,N2,0.6638020719074438,-2.8580256864731282e-06,-72.11537925023075
I1,9,N2,0.6638021791359631,-2.858026248057485e-06,-72.11537925023075
I1,10,N2,0.663802286364486,-2.8580268097165913e-06,-72.11537925023075
I1,11,N2,0.6638023935930147,-2.8580273714595313e-06,-72.11537925023075
I1,12,N2,0.7445486458732493,-3.268147371389797e-06,-72.11537925023075
I1,13,N2,0.8284589022098232,-3.83977427076956e-06,-72.11537925023075
I1,14,N2,0.9191692056181556,-4.732316712268096e-06,-72.11537925023075
I1,15,N2,1.0235963067258267,-6.451515101277115e-06,-72.11537925023075
I1,16,N2,1.1633493897845115,-1.2421341183381579e-05,-72.11537925023075
I1,17,N2,1.163349497013602,-1.2421351961897844e-05,-72.11537925023075
I1,18,N2,1.1633496042429903,-1.2421362834359739e-05,-72.11537925023075
I1,19,N2,0.9152574910176622,-4.803940752010187e-06,-72.11537925023075
I1,20,N2,0.21906863071680507,-1.6911130425255211e-06,-72.11537925023075
I1,21,N2,0.21906873794638096,-1.6911132491227913e-06,-72.11537925023075
I1,22,N2,0.2190688451757917,-1.6911134542537303e-06,-72.11537925023075
I1,23,N2,0.21906895240503035,-1.6911136578837182e-06,-72.11537925023075
I1,24,N2,0.21906905963409767,-1.6911138600133764e-06,-72.11537925023075
I1,0,N3,1.6457806672050665e-05,-0.0845504334980535,-64.5852303296019
I1,1,N3,1.655899831098539e-05,-0.08489395992373908,-64.5852303296019
I1,2,N3,1.6660128342161985e-05,-0.08521705601154904,-64.5852303296019
I1,3,N3,1.6761232160370966e-05,-0.08554464712580868,-64.5852303296019
I1,4,N3,1.6862345168096215e-05,-0.0858801984902644,-64.5852303296019
I1,5,N3,1.6963502778690375e-05,-0.0862257565839494,-64.5852303296019
I1,6,N3,1.689112291440223e-05,-0.08597055183935436,-64.5852303296019
I1,7,N3,1.6818787576003577e-05,-0.0857225353843747,-64.5852303296019
I1,8,N3,1.6746476131091915e-05,-0.08547799857711987,-64.5852303296019
I1,9,N3,1.667416796102542e-05,-0.08523559727573063,-64.5852303296019
I1,10,N3,1.6601842449447316e-05,-0.08499404461719415,-64.5852303296019
I1,11,N3,1.652947896886824e-05,-0.08474969396054918,-64.5852303296019
I1,12,N3,1.6630664765439986e-05,-0.08508918245381508,-64.5852303296019
I1,13,N3,1.673181401998236e-05,-0.08542746761652416,-64.5852303296019
I1,14,N3,1.683296216303998e-05,-0.08576823623930396,-64.5852303296019
I1,15,N3,1.6934144621517037e-05,-0.08611393557308926,-64.5852303296019
I1,16,N3,1.7035396864557536e-05,-0.08646900024711218,-64.5852303296019
I1,17,N3,1.6963114533651826e-05,-0.08621395994187052,-64.5852303296019
I1,18,N3,1.6890897233216847e-05,-0.08596616358783654,-64.5852303296019
I1,19,N3,1.681872435957689e-05,-0.08572232691642621,-64.5852303296019
I1,20,N3,1.674657534104199e-05,-0.08548370464510444,-64.5852303296019
I1,21,N3,1.6674429623018486e-05,-0.08524731624874085,-64.5852303296019
I1,22,N3,1.660226665315463e-05,-0.08501717632491537,-64.5852303296019
I1,23,N3,1.6530065866611125e-05,-0.08479860726597321,-64.5852303296019
I1,24,N3,1.6457806672050665e-05,-0.08460899015283092,-64.5852303296019
I1,0,N4,1.0322783403259253e-05,-0.06293127019956447,-71.43771617636098
I1,1,N4,1.1904860872504074e-05,-0.06652679895494322,-71.43771617636098
I1,2,N4,1.3385974515486199e-05,-0.07024663819392328,-71.43771617636098
I1,3,N4,1.4803985769162281e-05,-0.07424319576429389,-71.43771617636098
I1,4,N4,1.618521370198424e-05,-0.07864747537660591,-71.43771617636098
I1,5,N4,1.7550465511519793e-05,-0.08367342992794398,-71.43771617636098
I1,6,N4,1.7628389467801032e-05,-0.08392815708325835,-71.43771617636098
I1,7,N4,1.7706387807345373e-05,-0.08428065491410197,-71.43771617636098
I1,8,N4,1.7784481603146236e-05,-0.08464875036776463,-71.43771617636098
I1,9,N4,1.7862691995143925e-05,-0.0850183139353711,-71.43771617636098
I1,10,N4,1.7941040208660728e-05,-0.08537455901629594,-71.43771617636098
I1,11,N4,1.8019547572211306e-05,-0.08562927982816673,-71.43771617636098
I1,12,N4,1.942689282918039e-05,-0.0918382718460721,-71.43771617636098
I1,13,N4,2.0864903929153468e-05,-0.09905610983118979,-71.43771617636098
I1,14,N4,2.2359363380888745e-05,-0.1078328200465566,-71.43771617636098
I1,15,N4,2.3946129773710042e-05,-0.11899178005120592,-71.43771617636098
I1,16,N4,2.5682841870685613e-05,-0.13414476049846383,-71.43771617636098
I1,17,N4,2.5769748633206794e-05,-0.1343685444311405,-71.43771617636098
I1,18,N4,2.5859793704782268e-05,-0.1346762540940828,-71.43771617636098
I1,19,N4,2.574632901930964e-05,-0.13438565875491526,-71.43771617636098
I1,20,N4,9.96251894061402e-06,-0.06202297322622905,-71.43771617636098
I1,21,N4,1.0056383797159177e-05,-0.0626228934683505,-71.43771617636098
I1,22,N4,1.0147661533759722e-05,-0.06278098319127075,-71.43771617636098
I1,23,N4,1.023643539848778e-05,-0.06290352377132041,-71.43771617636098
I1,24,N4,1.0322783403259253e-05,-0.06304865998541657,-71.43771617636098
I1,0,N5,1.1588205620916908e-05,-0.05526995215380114,-71.63136718709676
I1,1,N5,1.3748869290751423e-05,-0.0589394929651276,-71.63136718709676
I1,2,N5,1.574116632638491e-05,-0.0626813017350384,-71.63136718709676
I1,3,N5,1.763231866703812e-05,-0.0666673824444933,-71.63136718709676
I1,4,N5,1.9465855200124313e-05,-0.07105496081391849,-71.63136718709676
I1,5,N5,2.1274711344443642e-05,-0.07610391769683607,-71.63136718709676
I1,6,N5,2.1359094685817062e-05,-0.07625515380533347,-71.63136718709676
I1,7,N5,2.1443545775507837e-05,-0.07653398255822244,-71.63136718709676
I1,8,N5,2.1528080808400774e-05,-0.07684232454969622,-71.63136718709676
I1,9,N5,2.1612716023428187e-05,-0.07715308191498192,-71.63136718709676
I1,10,N5,2.169746771564728e-05,-0.07743835343805672,-71.63136718709676
I1,11,N5,2.1782352246780913e-05,-0.07759264256766213,-71.63136718709676
I1,12,N5,2.365090140840882e-05,-0.08390489557939272,-71.63136718709676
I1,13,N5,2.5565577383574254e-05,-0.09135841337031764,-71.63136718709676
I1,14,N5,2.7567921559231743e-05,-0.10068773297119916,-71.63136718709676
I1,15,N5,2.9719027781610828e-05,-0.11311706462818087,-71.63136718709676
I1,16,N5,3.2126497703737534e-05,-0.13130285444827847,-71.63136718709676
I1,17,N5,3.22195070086093e-05,-0.13123904890480081,-71.63136718709676
I1,18,N5,3.231568824799337e-05,-0.13134912137598512,-71.63136718709676
I1,19,N5,3.2088426790701584e-05,-0.1305343059829462,-71.63136718709676
I1,20,N5,1.1203020107471609e-05,-0.054213506196582044,-71.63136718709676
I1,21,N5,1.1303074820150275e-05,-0.05497751699900285,-71.63136718709676
I1,22,N5,1.1400573632226925e-05,-0.05516284142853651,-71.63136718709676
I1,23,N5,1.1495593202498355e-05,-0.055277185832725305,-71.63136718709676
I1,24,N5,1.1588205620916908e-05,-0.055393323772307386,-71.63136718709676
I1,0,N6,1.5081570574575604e-05,-0.08080886468051109,-68.82569179796313
I1,1,N6,1.5398545966910872e-05,-0.0819667113452731,-68.82569179796313
I1,2,N6,1.5714147293323123e-05,-0.08313269789481874,-68.82569179796313
I1,3,N6,1.602875564665974e-05,-0.08433075289109203,-68.82569179796313
I1,4,N6,1.6342743669152104e-05,-0.08556545724929916,-68.82569179796313
I1,5,N6,1.6656478704558955e-05,-0.08684298756935817,-68.82569179796313
I1,6,N6,1.666902431443494e-05,-0.08690501260665902,-68.82569179796313
I1,7,N6,1.668159546990309e-05,-0.08697676524842733,-68.82569179796313
I1,8,N6,1.6694195120859743e-05,-0.08705159478169504,-68.82569179796313
I1,9,N6,1.670682622166582e-05,-0.08712736664910792,-68.82569179796313
I1,10,N6,1.6719491734137557e-05,-0.08720201415493593,-68.82569179796313
I1,11,N6,1.6732194629689462e-05,-0.08726858503632783,-68.82569179796313
I1,12,N6,1.7047025259759756e-05,-0.08859251311829967,-68.82569179796313
I1,13,N6,1.7362426517480552e-05,-0.08994231695436582,-68.82569179796313
I1,14,N6,1.7678772756612727e-05,-0.09132359397010002,-68.82569179796313
I1,15,N6,1.799644651380037e-05,-0.09273591121464204,-68.82569179796313
I1,16,N6,1.8315842036593985e-05,-0.0941769590103562,-68.82569179796313
I1,17,N6,1.8329908501167735e-05,-0.09415610489961591,-68.82569179796313
I1,18,N6,1.8344395541682066e-05,-0.09408657446782255,-68.82569179796313
I1,19,N6,1.8222291081436203e-05,-0.09354587406932256,-68.82569179796313
I1,20,N6,1.5023952180982585e-05,-0.08085163295744316,-68.82569179796313
I1,21,N6,1.5038894031368069e-05,-0.08081639078653591,-68.82569179796313
I1,22,N6,1.505347528216367e-05,-0.08078193362085023,-68.82569179796313
I1,23,N6,1.5067699604409201e-05,-0.0807993179374369,-68.82569179796313
I1,24,N6,1.5081570574575604e-05,-0.0808711538081947,-68.82569179796313
I1,0,N7,0.06910980287725811,-6.591042625482629e-06,-72.11534890927443
I1,1,N7,0.09455010531041855,-7.268461958844533e-06,-72.11534890927443
I1,2,N7,0.11678188795971604,-7.985456752433524e-06,-72.11534890927443
I1,3,N7,0.13717129543906265,-8.779741460154522e-06,-72.11534890927443
I1,4,N7,0.1566096585749183,-9.699464197013883e-06,-72.11534890927443
I1,5,N7,0.17567106269956467,-1.0809735383034746e-05,-72.11534890927443
I1,6,N7,0.1756711699262731,-1.0809745864110367e-05,-72.11534890927443
I1,7,N7,0.17567127715298936,-1.080975632757759e-05,-72.11534890927443
I1,8,N7,0.17567138437971827,-1.0809766774732397e-05,-72.11534890927443
I1,9,N7,0.17567149160646142,-1.0809777206633177e-05,-72.11534890927443
I1,10,N7,0.1756715988332198,-1.080978762431777e-05,-72.11534890927443
I1,11,N7,0.17567170605999535,-1.0809798028840204e-05,-72.11534890927443
I1,12,N7,0.19548346004282752,-1.2268890656454188e-05,-72.11534890927443
I1,13,N7,0.21597666590974757,-1.4259063881921939e-05,-72.11534890927443
I1,14,N7,0.23791908956601354,-1.7254599638015936e-05,-72.11534890927443
I1,15,N7,0.2626910129082475,-2.2616390182206347e-05,-72.11534890927443
I1,16,N7,0.29389497407240156,-3.7179988936192245e-05,-72.11534890927443
I1,17,N7,0.29389508130096886,-3.718007890200327e-05,-72.11534890927443
I1,18,N7,0.29389518853037633,-3.718017113975844e-05,-72.11534890927443
I1,19,N7,0.2522423513648745,-1.9894680642338873e-05,-72.11534890927443
I1,20,N7,0.06910937396023523,-6.5910309793949595e-06,-72.11534890927443
I1,21,N7,0.06910948119028458,-6.591033463489551e-06,-72.11534890927443
I1,22,N7,0.06910958841980822,-6.591036205510901e-06,-72.11534890927443
I1,23,N7,0.06910969564879912,-6.591039205113735e-06,-72.11534890927443
I1,24,N7,0.06910980287725811,-6.591042462285087e-06,-72.11534890927443
I1,0,N8,1.644418725629286e-05,-0.0852850614347528,-64.17114489149665
I1,1,N8,1.653304924801848e-05,-0.08559684198080635,-64.17114489149665
I1,2,N8,1.662187576709376e-05,-0.0858851684107744,-64.17114489149665
I1,3,N8,1.6710696156017463e-05,-0.08617622555072457,-64.17114489149665
I1,4,N8,1.679953978697845e-05,-0.0864740412457761,-64.17114489149665
I1,5,N8,1.688843605503792e-05,-0.08678096572397614,-64.17114489149665
I1,6,N8,1.680544794291245e-05,-0.08648527893628151,-64.17114489149665
I1,7,N8,1.6722510271693372e-05,-0.08619719652314028,-64.17114489149665
I1,8,N8,1.6639597686431568e-05,-0.0859130632362861,-64.17114489149665
I1,9,N8,1.6556684850584336e-05,-0.08563157183966093,-64.17114489149665
I1,10,N8,1.647374642752369e-05,-0.08535152756793132,-64.17114489149665
I1,11,N8,1.6390757059273415e-05,-0.08506951998406677,-64.17114489149665
I1,12,N8,1.6479651427171075e-05,-0.08537086474428934,-64.17114489149665
I1,13,N8,1.656849261586616e-05,-0.08567218937925405,-64.17114489149665
I1,14,N8,1.6657310019842493e-05,-0.08597867662841002,-64.17114489149665
I1,15,N8,1.674613300862549e-05,-0.08629578936527693,-64.17114489149665
I1,16,N8,1.6834990958210877e-05,-0.08663415767133613,-64.17114489149665
I1,17,N8,1.675195107881727e-05,-0.08638815352112833,-64.17114489149665
I1,18,N8,1.666894530094264e-05,-0.08618468901604931,-64.17114489149665
I1,19,N8,1.6665980570669395e-05,-0.0862755858702704,-64.17114489149665
I1,20,N8,1.6775983367028585e-05,-0.08613356919924393,-64.17114489149665
I1,21,N8,1.6693035564863453e-05,-0.08594939591257654,-64.17114489149665
I1,22,N8,1.6610103842467084e-05,-0.08575702213483494,-64.17114489149665
I1,23,N8,1.6527162856739538e-05,-0.08554214739297948,-64.17114489149665
I1,24,N8,1.644418725629286e-05,-0.0853353599847545,-64.17114489149665
I1,0,N9,1.645790760189186e-05,-0.08454995363862688,-64.58523065032455
I1,1,N9,1.6559099256403442e-05,-0.08489346291410936,-64.58523065032455
I1,2,N9,1.6660229303875607e-05,-0.08521654951805074,-64.58523065032455
I1,3,N9,1.6761333138685028e-05,-0.08554413267428392,-64.58523065032455
