hour,node,demand_mw,generation_mw,p_charge_mw,p_discharge_mw,storage_net_injection_mw,load_shed_mw,net_injection_mw,lambda_eur_per_mwh
1,N1,0.0,267.7971270325684,6.120418481113484e-07,1.4712005163123615e-07,-4.649217964801123e-07,0.0,267.79712656764667,60.00152071035247
1,N2,0.0,0,1.260798927972952,1.0106927410774021e-07,-1.260798826903678,0.0,-1.2607988269036778,60.00152072025705
1,N3,0.0,1.1382156709711397e-07,4.450434531767072e-07,1.709308865090544e-07,-2.741125666676528e-07,0.0,-1.6029099957053883e-07,60.001520714399724
1,N4,0.0,0,6.120409709425189e-07,1.4712004789322305e-07,-4.649209230492958e-07,0.0,-4.6492092304929586e-07,60.00152071584124
1,N5,371.25,1.5294966105100835e-08,9.516495161823339e-07,1.2824884807561127e-07,-8.234006681067226e-07,0.0,-371.2500008081057,60.00152072100687
1,N6,35.64,0,4.997572709806641e-07,1.6080747132584527e-07,-3.389497996548188e-07,0.0,-35.6400003389498,60.00152071606955
1,N7,0.0,0,0.04632732491850206,1.0108722836085638e-07,-0.0463272238312737,0.0,-0.046327223831273696,60.00152072025703
1,N8,39.6,180.00000178552654,4.30313210451241e-07,1.7425488962655857e-07,-2.560583208246824e-07,0.0,140.4000015294682,60.001520713000744
1,N9,0.0,0,4.450434534974131e-07,1.7093088654514574e-07,-2.7411256695226737e-07,0.0,-2.7411256695226737e-07,60.001520714399724
2,N1,0.0,241.52559970098412,6.120181761287879e-07,1.4712237584545945e-07,-4.648958002833285e-07,0.0,241.5255992360883,60.00000062273339
2,N2,0.0,0,2.7900125128640316,1.010690449249592e-07,-2.790012411794987,0.0,-2.7900124117949865,60.00000063101378
2,N3,0.0,1.1382149268254793e-07,4.4504178038544914e-07,1.7093131481545467e-07,-2.741104655699945e-07,0.0,-1.6028897288744655e-07,60.000000624921114
2,N4,0.0,0,6.120175028429266e-07,1.4712235562653116e-07,-4.648951472163955e-07,0.0,-4.648951472163955e-07,60.00000062709745
2,N5,354.375,1.529496299816669e-08,9.515267980771245e-07,1.2825317670037351e-07,-8.23273621376751e-07,0.0,-354.37500080797867,60.00000063161156
2,N6,34.02,0,4.997498018741255e-07,1.6080872186633533e-07,-3.3894108000779015e-07,0.0,-34.02000033894109,60.00000062695785
2,N7,0.0,0,0.04058648363945824,1.0109117258305128e-07,-0.04058638254828566,0.0,-0.04058638254828566,60.0000006309779
