investor,hour,node,lambda_best_response_eur_per_mwh,lambda_joint_eur_per_mwh,difference_eur_per_mwh
I1,1,N1,60.00000058975291,59.999999999708166,5.900447419548982e-07
I1,1,N2,60.00000058962474,59.99999999959541,5.900293302829596e-07
I1,1,N3,60.00000058975845,59.99999999970706,5.900513926349049e-07
I1,1,N4,60.00000058977232,59.99999999972343,5.90048891524475e-07
I1,1,N5,60.000000589782765,59.99999999973162,5.900511439449474e-07
I1,1,N6,60.000000589771474,59.99999999971951,5.900519610690935e-07
I1,1,N7,60.000000589715995,59.99999999967333,5.900426671701098e-07
I1,1,N8,60.00000058975147,59.999999999701615,5.900498578625957e-07
I1,1,N9,60.000000589759054,59.99999999970785,5.900512007883663e-07
I1,2,N1,60.00000058914351,59.99999999875384,5.903896678205456e-07
I1,2,N2,60.00000058900728,59.99999999863574,5.903715418753563e-07
I1,2,N3,60.00000058914225,59.99999999874961,5.903926449946084e-07
I1,2,N4,60.00000058915939,59.99999999876673,5.903926592054631e-07
I1,2,N5,60.00000058916607,59.99999999877204,5.903940305529431e-07
I1,2,N6,60.000000589156194,59.99999999876222,5.903939737095243e-07
I1,2,N7,60.00000058909853,59.999999998713655,5.903848787625066e-07
I1,2,N8,60.000000589134316,59.99999999874307,5.90391245225419e-07
I1,2,N9,60.000000589142815,59.99999999875026,5.903925526240528e-07
I1,3,N1,60.00000058179854,59.999999991384534,5.904140039092454e-07
I1,3,N2,60.00000058166011,59.99999999126624,5.903938671281139e-07
I1,3,N3,60.00000058179894,59.9999999913848,5.904141460177925e-07
I1,3,N4,60.00000058181333,59.99999999139713,5.904161994862989e-07
I1,3,N5,60.00000058181827,59.999999991401324,5.904169455561714e-07
I1,3,N6,60.00000058181151,59.99999999139548,5.904160360614696e-07
I1,3,N7,60.000000581751365,59.99999999134417,5.904071969098368e-07
I1,3,N8,60.0000005817894,59.99999999137661,5.904127888811672e-07
I1,3,N9,60.000000581799235,59.99999999138506,5.90414174439502e-07
I1,4,N1,60.00000042810144,59.99999985207051,5.760309278457498e-07
I1,4,N2,60.00000042796391,59.999999851953085,5.760108265917552e-07
I1,4,N3,60.00000042810671,59.999999852075014,5.760316952319045e-07
I1,4,N4,60.00000042811646,59.999999852083334,5.760331234228033e-07
I1,4,N5,60.00000042812097,59.999999852087186,5.760337842275476e-07
I1,4,N6,60.000000428117275,59.999999852084024,5.760332513204958e-07
I1,4,N7,60.000000428055166,59.999999852031,5.760241634789054e-07
I1,4,N8,60.00000042809591,59.99999985206578,5.760301320378858e-07
I1,4,N9,60.00000042810674,59.999999852075035,5.760317023373318e-07
I1,5,N1,60.00000058656777,59.99999999592258,5.906451931991796e-07
I1,5,N2,60.00000058642977,59.99999999580443,5.906253406351425e-07
I1,5,N3,60.00000058656608,59.99999999592067,5.906454134674277e-07
I1,5,N4,60.00000058658285,59.99999999593533,5.906475166739256e-07
I1,5,N5,60.00000058658851,59.999999995940094,5.906484190632e-07
I1,5,N6,60.0000005865797,59.999999995932306,5.906473958816605e-07
I1,5,N7,60.000000586521026,59.999999995882355,5.906386704168654e-07
