unit,hour,node,soc_start_mwh,soc_end_mwh,p_charge_mw,p_discharge_mw,net_injection_mw,lambda_eur_per_mwh,spot_revenue_eur,degradation_cost_eur,rho_charge_dual,sigma_discharge_dual,gamma_soc_transition_dual
I3,1,N1,7.811992437216717e-06,7.78138299657932e-06,4.731911412921594e-08,7.010652304875373e-08,2.278740891953779e-08,67.15000063184267,1.53017452334502e-06,8.806922788347725e-07,-0.11454380222716583,-0.11508585126068552,-65.10469874160002
I3,2,N1,7.78138299657932e-06,7.750773174420262e-06,4.73189990962127e-08,7.010677937307271e-08,2.2787780276860013e-08,67.15000062129229,1.5301994597490222e-06,8.806933385196406e-07,-0.114538009498759,-0.11509249763572968,-65.10464478468178
I3,3,N1,7.750773174420262e-06,7.720153521619432e-06,4.7316035251401866e-08,7.011338424118912e-08,2.279734898978725e-08,67.15000060550592,1.5308419984681436e-06,8.807206461944323e-07,-0.11453517755950862,-0.1150957690819822,-65.1043035863229
I3,4,N1,7.720153521619432e-06,7.689514582694413e-06,4.7310222398210944e-08,7.012634343600186e-08,2.2816121037790917e-08,67.15000058784416,1.5321025410999837e-06,8.80774243756596e-07,-0.11453287146494287,-0.1150984562099661,-65.10365935219346
I3,5,N1,7.689514582694413e-06,7.658846888701657e-06,4.730155983092336e-08,7.014566893885236e-08,2.2844109107929005e-08,67.15000061046216,1.5339819405428968e-06,8.808542157733179e-07,-0.11452982427267301,-0.11510201410849756,-65.10269985180848
I3,6,N1,7.658846888701657e-06,7.6281409531727664e-06,4.7290047347657414e-08,7.017137697613475e-08,2.288132962847733e-08,67.15000063389785,1.5364812990566784e-06,8.809606824284412e-07,-0.11452467076701356,-0.11510801257225162,-65.10140921491706
I3,7,N1,7.6281409531727664e-06,7.597387264996371e-06,4.727568425422555e-08,7.020349000549613e-08,2.2927805751270585e-08,67.15000065029568,1.539602171107673e-06,8.810938069479126e-07,-0.11451519731401888,-0.11511899846682883,-65.09976071452341
I3,8,N1,7.597387264996371e-06,7.566576282103682e-06,4.725846964893667e-08,7.024203621311112e-08,2.298356656417445e-08,67.1500006548043,1.5433465098340525e-06,8.812537939653584e-07,-0.11449727138595707,-0.11513972700002051,-65.09770522934824
I3,9,N1,7.566576282103682e-06,7.535698425222106e-06,4.723840246878062e-08,7.028704949044472e-08,2.30486470216641e-08,67.15000064225998,1.547716662307968e-06,8.814408896941901e-07,-0.11446283469782348,-0.11517949356031629,-65.09514967615053
I3,10,N1,7.535698425222106e-06,7.597221188888345e-06,1.075978652390859e-07,3.668075255290117e-08,-7.091711268618473e-08,60.000000619872054,-4.255026805130621e-06,1.082089633439903e-06,-0.11525785855149741,-0.1147924843056313,-65.09191418255325
