unit,soc_hour,node,soc_mwh,delta_soc_capacity_dual,rho_periodicity_dual
I3,0,N1,1.3846685898364238e-05,-0.04048930696021346,-65.0980371745942
I3,1,N1,1.3821523269095638e-05,-0.04043455358639503,-65.0980371745942
I3,2,N1,1.3796360569516593e-05,-0.040372750163666926,-65.0980371745942
I3,3,N1,1.3771196043071866e-05,-0.04031028267346275,-65.0980371745942
I3,4,N1,1.3746027932907557e-05,-0.040247934342636134,-65.0980371745942
I3,5,N1,1.372085448093937e-05,-0.04018593301594732,-65.0980371745942
I3,6,N1,1.3695673928951778e-05,-0.04012407154274868,-65.0980371745942
I3,7,N1,1.3670484517691262e-05,-0.04006236136672675,-65.0980371745942
I3,8,N1,1.3645284486508814e-05,-0.04000083138395599,-65.0980371745942
I3,9,N1,1.3620072072391829e-05,-0.03993953659112419,-65.0980371745942
I3,10,N1,1.3670453676807508e-05,-0.04006230476844538,-65.0980371745942
I3,11,N1,1.3720820142635136e-05,-0.040185951901688485,-65.0980371745942
I3,12,N1,1.3771176485944668e-05,-0.04031033219779175,-65.0980371745942
I3,13,N1,1.3821527719045278e-05,-0.040435464281711624,-65.0980371745942
I3,14,N1,1.3871878852278265e-05,-0.040561369497213534,-65.0980371745942
I3,15,N1,1.3922234895946439e-05,-0.040688025857581245,-65.0980371745942
I3,16,N1,1.3972600862019371e-05,-0.04081546874762377,-65.0980371745942
I3,17,N1,1.4022981766546273e-05,-0.04094359420800625,-65.0980371745942
I3,18,N1,1.3997768720845092e-05,-0.04087947229052996,-65.0980371745942
I3,19,N1,1.3972567919016103e-05,-0.04081548957150049,-65.0980371745942
I3,20,N1,1.394737759648549e-05,-0.04075161349105988,-65.0980371745942
I3,21,N1,1.3922195991237969e-05,-0.04068795263770849,-65.0980371745942
I3,22,N1,1.3897021345217548e-05,-0.04062450603485905,-65.0980371745942
I3,23,N1,1.3871851900120547e-05,-0.04056211667645893,-65.0980371745942
I3,24,N1,1.3846685898364238e-05,-0.04050715004998367,-65.0980371745942
I3,0,N2,1.2523115607827524e-05,-0.04624540051001895,-68.35808537374542
I3,1,N2,1.2529588459600573e-05,-0.04626458982877102,-68.35808537374542
I3,2,N2,1.2536061323496745e-05,-0.046281274058411426,-68.35808537374542
I3,3,N2,1.2542534668086766e-05,-0.04629711170972643,-68.35808537374542
I3,4,N2,1.2549008961970495e-05,-0.04631205144239131,-68.35808537374542
I3,5,N2,1.2555484673254877e-05,-0.046325514336352604,-68.35808537374542
I3,6,N2,1.256196227073159e-05,-0.04633521349789976,-68.35808537374542
I3,7,N2,1.2568442223326921e-05,-0.046333993707057486,-68.35808537374542
I3,8,N2,1.2574925000095807e-05,-0.04629681528097808,-68.35808537374542
I3,9,N2,1.2581411069929486e-05,-0.046132012865150854,-68.35808537374542
I3,10,N2,1.2718672563469172e-05,-0.04590480846019633,-68.35808537374542
I3,11,N2,1.2693805973572726e-05,-0.04656494327216781,-68.35808537374542
I3,12,N2,1.2612855429563467e-05,-0.04632111402545592,-68.35808537374542
I3,13,N2,1.2531918203136416e-05,-0.045771267799716644,-68.35808537374542
I3,14,N2,1.2446318721951898e-05,-0.0465361931787158,-68.35808537374542
I3,15,N2,1.2365366963178104e-05,-0.04606588743059924,-68.35808537374542
I3,16,N2,1.2340500631292439e-05,-0.046554250522004265,-68.35808537374542
I3,17,N2,1.2477763426981082e-05,-0.046402196904347916,-68.35808537374542
I3,18,N2,1.2484249773334886e-05,-0.04623974057071165,-68.35808537374542
I3,19,N2,1.2490732849445287e-05,-0.04620186191816633,-68.35808537374542
I3,20,N2,1.2497213125154471e-05,-0.046200305531104637,-68.35808537374542
I3,21,N2,1.2503691070415547e-05,-0.04620993282428559,-68.35808537374542
I3,22,N2,1.2510167153574965e-05,-0.04622358284529617,-68.35808537374542
I3,23,N2,1.2516641843184113e-05,-0.04623931874257139,-68.35808537374542
I3,24,N2,1.2523115607827524e-05,-0.04625812050267596,-68.35808537374542
I3,0,N3,0.00017072692373715966,-0.004588400343145661,-55.88581399092118
I3,1,N3,0.00015725701954312772,-0.004257222511632876,-55.88581399092118
I3,2,N3,0.00014377791021524987,-0.0039706106669200065,-55.88581399092118
I3,3,N3,0.00013008916316040937,-0.0037176224866755465,-55.88581399092118
I3,4,N3,0.0001159574202851595,-0.0034902316731490806,-55.88581399092118
I3,5,N3,0.00010106880239601174,-0.0032821775165923655,-55.88581399092118
I3,6,N3,8.493198362339895e-05,-0.0030881399755549386,-55.88581399092118
I3,7,N3,6.662076647247555e-05,-0.002902946270235497,-55.88581399092118
I3,8,N3,4.379932927291178e-05,-0.0027203288628661958,-55.88581399092118
I3,9,N3,4.752507789405886e-06,-0.0025295308426726815,-55.88581399092118
I3,10,N3,4.695144126407721e-06,-0.0025293936534383837,-55.88581399092118
I3,11,N3,4.8023937138457534e-06,-0.0025295236730241027,-55.88581399092118
I3,12,N3,6.966788099251891e-05,-0.003209099359458204,-55.88581399092118
I3,13,N3,0.00011366307931634304,-0.004228319425389674,-55.88581399092118
I3,14,N3,0.00025172856418547996,-0.0061834520056958985,-55.88581399092118
I3,15,N3,0.00031099869265648956,-0.013725219070657393,-55.88581399092118
I3,16,N3,0.0003111059033991405,-0.013751326610827537,-55.88581399092118
I3,17,N3,0.000311048528828594,-0.01373888720504734,-55.88581399092118
I3,18,N3,0.0002716932695845681,-0.009910200455451854,-55.88581399092118
I3,19,N3,0.00024867930677826194,-0.008043818919675011,-55.88581399092118
I3,20,N3,0.00023020396401998467,-0.00688632363617751,-55.88581399092118
I3,21,N3,0.00021391264662901517,-0.006076489203327924,-55.88581399092118
I3,22,N3,0.00019887089044024904,-0.005466800492877054,-55.88581399092118
I3,23,N3,0.00018458189838958702,-0.004984350669841253,-55.88581399092118
I3,24,N3,0.00017072692373715966,-0.004588396192093284,-55.88581399092118
I3,0,N4,1.385459493324195e-05,-0.040467177238897326,-65.09802916451156
I3,1,N4,1.3829432080975988e-05,-0.040412526190515975,-65.09802916451156
I3,2,N4,1.380426915845143e-05,-0.04035084561651865,-65.09802916451156
I3,3,N4,1.3779104411003457e-05,-0.040288449887091266,-65.09802916451156
I3,4,N4,1.3753936083681074e-05,-0.040226216445642955,-65.09802916451156
I3,5,N4,1.3728762420351573e-05,-0.04016422739798094,-65.09802916451156
I3,6,N4,1.3703581664729756e-05,-0.04010243336710375,-65.09802916451156
I3,7,N4,1.3678392059462773e-05,-0.040040811010997074,-65.09802916451156
I3,8,N4,1.3653191845785514e-05,-0.03997938448990377,-65.09802916451156
I3,9,N4,1.3627979262584542e-05,-0.03991802277702957,-65.09802916451156
I3,10,N4,1.3678361252069766e-05,-0.0400406452183918,-65.09802916451156
