hour,lambda_system,system_net_injection_residual_mw
1,67.15000065550522,-2.5016414947312976e-14
2,67.15000065314983,1.613407498172022e-14
3,67.15000064903379,-1.808317991749794e-14
4,67.1500006436054,-4.569274818086742e-15
5,67.150000650376,-1.7218443837303008e-14
6,67.15000065585322,-2.868613268186695e-14
7,67.15000065907451,-4.2646965420041154e-14
8,67.15000065991627,-2.5960243275310573e-14
9,67.15000065774298,-2.21254234399812e-14
10,60.00000059400998,-1.7680100956743066e-14
11,60.00000058961612,1.6490103158153082e-14
12,60.000000588632375,2.2186663961358765e-14
13,60.00000058794237,3.297970141518643e-14
14,60.00000058708597,1.0017556946430736e-14
15,60.00000058605242,-1.064576842614096e-14
16,60.00000058833543,-4.0468474612938095e-14
17,60.00000059122434,-7.80839086091248e-14
18,67.1500006552355,4.987434682197467e-14
19,67.15000062655704,-8.403321124151683e-15
20,67.15000062993545,-3.597231886143575e-14
21,67.15000065939623,-4.003391138831653e-14
22,67.15000065899994,-9.19874941917026e-15
23,67.15000065749228,-2.950345610690139e-14
24,67.15000065632172,4.927562350929802e-14
