hour,generator,dispatch_mw,capacity_mw,marginal_cost_eur_per_mwh,nu_gen_dual
1,G_IEEE1,270.0000026153863,270.0,60.0,-7.150000041883797
1,G_IEEE3,58.2795806319015,290.0,67.15,0.0
1,RES_Wind_N1,94.50000093644591,94.5,0.0,-67.15000063604508
1,RES_PV_N6,0.0,0.0,0.0,
1,RES_PV_N8,0.0,0.0,0.0,
1,G_PEAKER_N5,1.1723081048906525e-08,200.0,95.0,0.0
2,G_IEEE1,270.0000026153863,270.0,60.0,-7.150000033818303
2,G_IEEE3,34.89640910022231,290.0,67.15,0.0
2,RES_Wind_N1,98.43750097582092,98.4375,0.0,-67.15000062772351
2,RES_PV_N6,0.0,0.0,0.0,
2,RES_PV_N8,0.0,0.0,0.0,
2,G_PEAKER_N5,1.1723081042256412e-08,200.0,95.0,0.0
3,G_IEEE1,270.0000026153863,270.0,60.0,-7.150000021101508
3,G_IEEE3,18.890527511238197,290.0,67.15,0.0
3,RES_Wind_N1,102.37500101519592,102.375,0.0,-67.15000061477035
3,RES_PV_N6,0.0,0.0,0.0,
3,RES_PV_N8,0.0,0.0,0.0,
3,G_PEAKER_N5,1.172308103000772e-08,200.0,95.0,0.0
4,G_IEEE1,270.0000026153863,270.0,60.0,-7.150000006095986
4,G_IEEE3,11.242617141752417,290.0,67.15,0.0
4,RES_Wind_N1,105.00000104144591,105.0,0.0,-67.15000059961709
4,RES_PV_N6,0.0,0.0,0.0,
4,RES_PV_N8,0.0,0.0,0.0,
4,G_PEAKER_N5,1.1723081012630736e-08,200.0,95.0,0.0
5,G_IEEE1,270.0000026153863,270.0,60.0,-7.1500000251642
5,G_IEEE3,22.918188690306877,290.0,67.15,0.0
5,RES_Wind_N1,102.37500101519592,102.375,0.0,-67.15000061883303
5,RES_PV_N6,0.0,0.0,0.0,
5,RES_PV_N8,0.0,0.0,0.0,
5,G_PEAKER_N5,1.172308103468007e-08,200.0,95.0,0.0
6,G_IEEE1,270.0000026153863,270.0,60.0,-7.150000043364661
6,G_IEEE3,65.7100200905908,290.0,67.15,0.0
6,RES_Wind_N1,94.50000093644591,94.5,0.0,-67.15000063752595
6,RES_PV_N6,0.0,0.0,0.0,
6,RES_PV_N8,0.0,0.0,0.0,
6,G_PEAKER_N5,1.1723081050443639e-08,200.0,95.0,0.0
7,G_IEEE1,270.0000026153863,270.0,60.0,-7.150000055279628
7,G_IEEE3,139.43119232120716,290.0,67.15,0.0
7,RES_Wind_N1,81.37500080519592,81.375,0.0,-67.15000065047349
7,RES_PV_N6,4.795875039067591,4.795875,0.0,-67.15000077996693
7,RES_PV_N8,8.90662508017509,8.906625,0.0,-67.15000072650034
