hour,node,lambda_joint_eur_per_mwh
1,N1,67.14999962068273
1,N2,67.14999995775682
1,N3,67.14999988332504
1,N4,67.14999986487337
1,N5,67.14999996249763
1,N6,67.14999988688943
1,N7,67.14999995775682
1,N8,67.14999993181222
1,N9,67.14999989068387
2,N1,67.14999946748921
2,N2,67.14999983144935
2,N3,67.1499997746152
2,N4,67.14999974368762
2,N5,67.14999983381372
2,N6,67.1499997709357
2,N7,67.14999983144935
2,N8,67.14999981166727
2,N9,67.1499997791552
3,N1,67.14999918899666
3,N2,67.14999959211518
3,N3,67.14999954664842
3,N4,67.14999950630926
3,N5,67.1499995927417
3,N6,67.14999953775036
3,N7,67.14999959211518
3,N8,67.14999957657047
3,N9,67.14999954929903
4,N1,67.14999880212902
4,N2,67.14999923949247
4,N3,67.14999919949065
4,N4,67.14999915403516
4,N5,67.14999923915194
4,N6,67.14999918786809
4,N7,67.14999923949247
4,N8,67.14999922621382
4,N9,67.14999920123054
5,N1,67.14999927889336
5,N2,67.14999968338961
5,N3,67.14999963400763
5,N4,67.14999959620596
5,N5,67.14999968497861
5,N6,67.14999962646392
5,N7,67.14999968338961
5,N8,67.1499996659624
5,N9,67.14999963718087
6,N1,67.14999964409816
6,N2,67.14999998539362
6,N3,67.14999990235893
6,N4,67.14999988828878
6,N5,67.1499999920813
6,N6,67.14999990843121
6,N7,67.14999998539362
6,N8,67.14999995514664
6,N9,67.14999991077235
7,N1,67.14999984526423
7,N2,67.1500001626054
7,N3,67.14999999538082
7,N4,67.15000002012476
7,N5,67.1500001809403
7,N6,67.15000002490804
7,N7,67.1500001626054
7,N8,67.15000009766457
7,N9,67.15000001461605
8,N1,67.14999989589475
8,N2,67.15000025411275
8,N3,67.15000000862734
8,N4,67.1500000308018
8,N5,67.15000029737087
8,N6,67.1500000311608
8,N7,67.15000025411275
8,N8,67.15000012441651
8,N9,67.15000003097164
9,N1,67.14999971776545
9,N2,67.15000005094038
9,N3,67.14999982636917
9,N4,67.1499998266429
9,N5,67.15000009605004
9,N6,67.14999981967348
9,N7,67.15000005094038
9,N8,67.14999986789516
9,N9,67.14999983308066
10,N1,60.0000002140526
10,N2,60.00000042298458
10,N3,60.00000023779019
10,N4,60.00000027643467
10,N5,60.00000044291552
10,N6,60.000000240182295
10,N7,60.00000042298458
10,N8,60.000000235922215
10,N9,60.00000023779019
11,N1,59.99999997423327
11,N2,83.91530094229816
11,N3,34.52923220861537
11,N4,59.99999999396793
11,N5,68.26341704688367
11,N6,51.05606618141298
11,N7,83.91530094229816
11,N8,24.72979182376591
11,N9,34.52923220861537
12,N1,59.99999991440027
12,N2,90.42466529252906
12,N3,27.596494185438416
12,N4,59.99999992738159
12,N5,70.51258760649995
12,N6,48.6216694226358
12,N7,90.42466529252906
12,N8,15.129802037033063
12,N9,27.59649418494348
13,N1,59.99999987120581
13,N2,90.42468013074247
13,N3,27.596478249871986
13,N4,59.99999988232717
13,N5,70.51259269937657
13,N6,48.62166376205607
13,N7,90.42468013074247
13,N8,15.129779969766165
13,N9,27.596478244689624
14,N1,59.99999981740071
14,N2,90.73217228466078
14,N3,27.268986458345193
14,N4,59.99999982758485
14,N5,70.61883995045842
