investor,hour,node,installed_power_mw,charge_offer_mw,charge_bid_price_eur_per_mwh,accepted_charge_mw,discharge_offer_mw,discharge_offer_price_eur_per_mwh,accepted_discharge_mw,joint_lambda_eur_per_mwh
I1,1,N1,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999904037441
I1,1,N2,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999937262647
I1,1,N3,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999931053717
I1,1,N4,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999928456236
I1,1,N5,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999937825955
I1,1,N6,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999930843169
I1,1,N7,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999937262647
I1,1,N8,6.046972100665361e-05,3.006377226471536e-05,-7.5,4.859894415269551e-07,3.018158601751855e-05,7.5,1.6210952608389728e-06,67.14999934481477
I1,1,N9,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999931410772
I1,2,N1,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999893841632
I1,2,N2,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999930023801
I1,2,N3,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999924934413
I1,2,N4,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.1499992146147
I1,2,N5,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999930300162
I1,2,N6,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999924283931
I1,2,N7,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999930023826
I1,2,N8,6.046972100665361e-05,3.0063885554600752e-05,-7.5,4.860427755835452e-07,3.0181583186863873e-05,7.5,1.6204854607566835e-06,67.1499992795974
I1,2,N9,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999925198168
I1,3,N1,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999872794033
I1,3,N2,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999913036634
I1,3,N3,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999908715635
I1,3,N4,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999904525293
I1,3,N5,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999913111852
I1,3,N6,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999907705175
I1,3,N7,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999913036634
I1,3,N8,6.046972100665361e-05,3.0063959300290937e-05,-7.5,4.871931054618802e-07,3.0181579597141496e-05,7.5,1.6020318094721596e-06,67.14999911453836
I1,3,N9,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999908891956
I1,4,N1,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999871632617
I1,4,N2,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999915286614
I1,4,N3,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999911467095
I1,4,N4,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.1499990682323
I1,4,N5,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999915266738
I1,4,N6,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999910252371
I1,4,N7,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999915286614
I1,4,N8,6.046972100665361e-05,3.006403000764415e-05,-7.5,4.896177604664744e-07,3.0181575477795938e-05,7.5,1.5625264165877299e-06,67.1499991392457
I1,4,N9,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999911627828
I1,5,N1,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999918752041
I1,5,N2,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999958957809
I1,5,N3,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999954586986
I1,5,N4,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999950483306
I1,5,N5,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.149999591572
I1,5,N6,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999953630054
I1,5,N7,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999958957809
I1,5,N8,6.046972100665361e-05,3.006411728404965e-05,-7.5,4.937032849894305e-07,3.018157145108144e-05,7.5,1.4948205228993916e-06,67.14999957115674
I1,5,N9,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999954808562
I1,6,N1,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.1499995249026
I1,6,N2,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999986289014
I1,6,N3,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999978811814
I1,6,N4,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999976909327
I1,6,N5,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999987017119
I1,6,N6,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999979035211
I1,6,N7,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999986289014
I1,6,N8,6.046972100665361e-05,3.006422769660122e-05,-7.5,5.001222368581763e-07,3.0181568478640244e-05,7.5,1.3863460237205018e-06,67.14999983143346
I1,6,N9,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999979387876
I1,7,N1,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999981081657
I1,7,N2,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.15000012059919
I1,7,N3,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999996769197
I1,7,N4,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999998567708
I1,7,N5,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.15000013992015
I1,7,N6,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999999172632
I1,7,N7,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.15000012059919
I1,7,N8,6.046972100665361e-05,3.0064366719501502e-05,-7.5,5.099440847448022e-07,3.0181568046230233e-05,7.5,1.2179045874586828e-06,67.15000005335857
I1,7,N9,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.1499999831313
I1,8,N1,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999986833914
I1,8,N2,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.15000021669482
I1,8,N3,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999998325109
I1,8,N4,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.1500000032462
I1,8,N5,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.1500002583514
I1,8,N6,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.15000000323344
I1,8,N7,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.15000021669482
I1,8,N8,6.046972100665361e-05,3.0064530556482403e-05,-7.5,5.246969460865236e-07,3.0181572922406187e-05,7.5,9.721724070276562e-07,67.15000008441405
I1,8,N9,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.15000000190277
I1,9,N1,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.1499996177641
I1,9,N2,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999994041432
I1,9,N3,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999972058901
I1,9,N4,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999972664154
I1,9,N5,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999997983212
I1,9,N6,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999971733232
I1,9,N7,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999994041432
I1,9,N8,6.046972100665361e-05,3.006470088545934e-05,-7.5,5.457890877720181e-07,3.018158957016622e-05,7.5,7.370534434560475e-07,67.14999975010934
I1,9,N9,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999972535472
I1,10,N1,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,60.00000021405273
I1,10,N2,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,60.00000042298473
