hour,node,lambda_joint_eur_per_mwh
1,N1,67.1499974145038
1,N2,67.14999774408302
1,N3,67.14999768635428
1,N4,67.14999765869437
1,N5,67.14999775011331
1,N6,67.14999768364609
1,N7,67.14999774408325
1,N8,67.14999771515141
1,N9,67.14999769033328
2,N1,67.1499895125786
2,N2,67.14998987225704
2,N3,67.14998982788521
2,N4,67.14998978877708
2,N5,67.1499898753717
2,N6,67.14998981802484
2,N7,67.14998987225701
2,N8,67.14998985071564
2,N9,67.14998982808594
3,N1,67.14999693801977
3,N2,67.14999734419798
3,N3,67.1499972939833
3,N4,67.14999725533235
3,N5,67.14999734419546
3,N6,67.14999728526726
3,N7,67.14999734419798
3,N8,67.14999732985166
3,N9,67.14999729539869
4,N1,67.14999777418276
4,N2,67.14999821414835
4,N3,67.14999816717668
4,N4,67.14999812608892
4,N5,67.14999821330031
4,N6,67.1499981585442
4,N7,67.14999821414835
4,N8,67.14999820190583
4,N9,67.1499981706678
5,N1,67.1499981486958
5,N2,67.1499985567169
5,N3,67.149998498484
5,N4,67.1499984660084
5,N5,67.1499985575909
5,N6,67.14999849463841
5,N7,67.1499985567169
5,N8,67.14999854063221
5,N9,67.14999850379286
6,N1,67.1499993162833
6,N2,67.14999964993568
6,N3,67.14999958288116
6,N4,67.14999956047392
6,N5,67.14999965782027
6,N6,67.14999958326447
6,N7,67.14999964993568
6,N8,67.1499996167579
6,N9,67.14999958826952
7,N1,67.14999981725158
7,N2,67.150000117788
7,N3,67.1499999776417
7,N4,67.14999999211211
7,N5,67.15000013771565
7,N6,67.1499999995647
7,N7,67.150000117788
7,N8,67.15000004735039
7,N9,67.14999999257549
8,N1,67.14999991477977
8,N2,67.15000028466736
8,N3,67.15000002581542
8,N4,67.15000004968684
8,N5,67.1500003293852
8,N6,67.15000005031601
8,N7,67.15000028466736
8,N8,67.15000015753587
8,N9,67.15000005109141
9,N1,67.1499998256115
9,N2,67.15000018539892
9,N3,67.14999994572062
9,N4,67.14999993448896
9,N5,67.15000024209411
9,N6,67.14999993242208
9,N7,67.15000018539891
9,N8,67.15000001246227
9,N9,67.1499999568817
10,N1,60.00000021405276
10,N2,60.00000042298478
10,N3,60.00000023779041
10,N4,60.000000276434854
10,N5,60.00000044291574
10,N6,60.0000002401825
10,N7,60.00000042298478
10,N8,60.00000023592246
10,N9,60.000000237790424
11,N1,59.999999974233276
11,N2,61.97649395851542
11,N3,57.89495346776609
11,N4,59.99999999396795
11,N5,60.68293495899126
11,N6,59.2608232647789
11,N7,61.97649395851543
11,N8,57.08507301773492
11,N9,57.894953467766136
12,N1,59.99999991527897
12,N2,63.407757015247554
12,N3,56.370599758983644
12,N4,59.99999992831923
12,N5,61.177477023500046
12,N6,58.72555382774855
12,N7,63.40775701524755
12,N8,54.97425051393957
12,N9,56.37059975812717
13,N1,59.999999871208686
13,N2,64.58446753757977
13,N3,55.11735507867728
13,N4,59.999999882330236
13,N5,61.58406395783854
13,N6,58.285483105863584
13,N7,64.58446753757977
13,N8,53.238841468976396
13,N9,55.11735507157951
14,N1,59.999999817405126
14,N2,64.51293781264276
14,N3,55.19353699488374
14,N4,59.99999982758936
14,N5,61.55934836460147
14,N6,58.312233947763396
14,N7,64.51293781264276
14,N8,53.34433309129228
14,N9,55.19353698707218
15,N1,59.99999975971089
15,N2,63.407597599009016
15,N3,56.370769111299836
15,N4,59.99999976984399
15,N5,61.177421830228
15,N6,58.72561312481469
15,N7,63.407597599009016
15,N8,54.97448510384924
15,N9,56.37076910845965
16,N1,59.999999891382714
16,N2,61.976494614493824
16,N3,57.894952524856
16,N4,59.999999906402415
16,N5,60.682935120282465
16,N6,59.26082284475093
16,N7,61.976494614493824
16,N8,57.085071764566194
16,N9,57.894952524856
17,N1,60.000000067944555
17,N2,60.00000025164989
17,N3,60.000000052072316
17,N4,60.00000011887483
17,N5,60.00000026061942
17,N6,60.00000006905405
17,N7,60.00000025164969
17,N8,60.000000040734314
17,N9,60.000000052072316
18,N1,67.14999963426384
18,N2,67.1500001115117
18,N3,67.14999986671806
18,N4,67.14999979082025
18,N5,67.15000019622279
18,N6,67.14999981220257
18,N7,67.1500001115117
18,N8,67.14999993080995
18,N9,67.14999987295047
19,N1,67.1499976282494
19,N2,67.15000205157021
19,N3,67.15000009022737
19,N4,67.14999780310994
19,N5,67.15000354309878
19,N6,67.14999861988574
19,N7,67.15000205157021
19,N8,67.15000116775872
19,N9,67.15000012631792
20,N1,67.14999950180946
20,N2,67.15000084760717
20,N3,67.15000011551058
20,N4,67.14999969938306
20,N5,67.15000119164374
20,N6,67.14999986547085
20,N7,67.15000084760719
20,N8,67.15000048747936
20,N9,67.15000015498232
21,N1,67.15000050529355
21,N2,67.15000196841179
21,N3,67.15000064861265
21,N4,67.1500007164098
21,N5,67.15000201977345
21,N6,67.15000071993431
21,N7,67.15000196841179
21,N8,67.15000183921757
21,N9,67.15000070888371
22,N1,67.14999988943516
