unit,hour,node,p_charge_mw,p_discharge_mw,net_injection_mw,lambda_joint_eur_per_mwh,spot_revenue_eur
I2,1,N1,9.875491108620016e-07,5.491955577608461e-07,-4.383535531011555e-07,67.14999789918377,-2.9435440169842336e-05
I2,1,N2,1.200081723206451e-06,4.972939047137059e-07,-7.02787818492745e-07,67.14999822645397,-4.7192200765361284e-05
I2,1,N3,1.1084498186538026e-06,5.146333296067832e-07,-5.938164890470195e-07,67.14999817539407,-3.9874776156026275e-05
I2,1,N4,9.872020957402138e-07,5.492892949731536e-07,-4.3791280076706015e-07,67.14999814337453,-2.940584375846803e-05
I2,1,N5,1.2117731140347238e-06,4.991783352016685e-07,-7.125947788330553e-07,67.14999823274417,-4.7850738139302384e-05
I2,1,N6,1.0009711820183462e-06,5.453719011611219e-07,-4.555992808572243e-07,67.14999816932222,-3.059349087550713e-05
I2,1,N7,1.2002042148964158e-06,4.972769830044574e-07,-7.029272318919584e-07,67.14999822644461,-4.7201562374864624e-05
I2,1,N8,1.3245807640264887e-06,4.985470045628409e-07,-8.260337594636478e-07,67.14999819642736,-5.5468165458172064e-05
I2,1,N9,1.1072528584050211e-06,5.149765254475901e-07,-5.92276332957431e-07,67.14999817688637,-3.9771354678304436e-05
I2,2,N1,9.822766786422439e-07,5.510967050811979e-07,-4.31179973561046e-07,67.14999909124896,-2.895373483278899e-05
I2,2,N2,1.1873565480533612e-06,4.998708263262486e-07,-6.874857217271125e-07,67.14999952196102,-4.6164665885330634e-05
I2,2,N3,1.099431521763802e-06,5.169014523148667e-07,-5.825300694489352e-07,67.14999946327718,-3.911689385083882e-05
I2,2,N4,9.819327050684303e-07,5.511913909987053e-07,-4.30741314069725e-07,67.14999942900242,-2.8924278993829788e-05
I2,2,N5,1.1997332380074043e-06,5.015887661751083e-07,-6.98144471832296e-07,67.14999952386513,-4.688040095112775e-05
I2,2,N6,9.955228198282743e-07,5.472546041521182e-07,-4.4826821567615603e-07,67.14999945720584,-3.0101210439336508e-05
I2,2,N7,1.1874773310454028e-06,4.998535751907638e-07,-6.87623755854639e-07,67.14999952195818,-4.61739348769261e-05
I2,2,N8,1.3215633222744856e-06,4.990484371052803e-07,-8.225148851692053e-07,67.14999950422492,-5.523187413132975e-05
I2,2,N9,1.0982654091164748e-06,5.172443957614743e-07,-5.810210133550005e-07,67.14999946624283,-3.901556073666416e-05
I2,3,N1,9.772688018700188e-07,5.529301318237882e-07,-4.2433867004623063e-07,67.14999725800068,-2.8494340530068043e-05
I2,3,N2,1.1753747826968294e-06,5.023826695546061e-07,-6.729921131422233e-07,67.14999765816265,-4.519141882146223e-05
I2,3,N3,1.0909309039534285e-06,5.190943785006009e-07,-5.718365254528276e-07,67.14999762046236,-3.839882132345084e-05
I2,3,N4,9.769277456659429e-07,5.530257409192211e-07,-4.2390200474672174e-07,67.14999757531209,-2.8465018590912297e-05
I2,3,N5,1.188312612028523e-06,5.039530635251744e-07,-6.843595485033486e-07,67.14999765928573,-4.59547420801097e-05
I2,3,N6,9.903494581731404e-07,5.490702920625191e-07,-4.412791661106214e-07,67.14999760832866,-2.963189494893349e-05
I2,3,N7,1.1754938497213788e-06,5.023651283466479e-07,-6.731287213747309e-07,67.1499976581637,-4.520059206395591e-05
I2,3,N8,1.3185775495137392e-06,4.995477437987516e-07,-8.190298057149876e-07,67.1499976413592,-5.4997849521964306e-05
I2,3,N9,1.0897920197326785e-06,5.194374295827925e-07,-5.70354590149886e-07,67.14999762124005,-3.8299309371828184e-05
I2,4,N1,9.725109133992192e-07,5.546962419147787e-07,-4.178146714844405e-07,67.14999715225618,-2.805625400035103e-05
I2,4,N2,1.164067679599273e-06,5.04831697668116e-07,-6.59235981931157e-07,67.14999758787265,-4.426769459651605e-05
I2,4,N3,1.0829090638733898e-06,5.212130255433779e-07,-5.61696038330012e-07,67.14999755256163,-3.771788759914387e-05
I2,4,N4,9.721725603717013e-07,5.547927895541988e-07,-4.1737977081750253e-07,67.14999750416256,-2.8027050568683235e-05
I2,4,N5,1.1774575434523319e-06,5.062729086442545e-07,-6.711846348080774e-07,67.14999758781931,-4.507004660834378e-05
I2,4,N6,9.8543554336283e-07,5.508194628248888e-07,-4.3461608053794113e-07,67.14999753898103,-2.9184468738524328e-05
I2,4,N7,1.1641850217584354e-06,5.04813905381922e-07,-6.593711163765134e-07,67.14999758787074,-4.427676887419451e-05
I2,4,N8,1.3156223511250261e-06,5.00045071383907e-07,-8.155772797411191e-07,67.14999757384334,-5.47660123558979e-05
I2,4,N9,1.0817939767555266e-06,5.215564387346296e-07,-5.60237538020897e-07,67.14999755318227,-3.761994930730409e-05
I2,5,N1,9.679899215267728e-07,5.563952763035888e-07,-4.1159464522318403e-07,67.1499973997325,-2.763857935648063e-05
I2,5,N2,1.1533766534287805e-06,5.072203749204662e-07,-6.461562785083143e-07,67.14999780020855,-4.338939268042425e-05
I2,5,N3,1.0753323583513022e-06,5.232585273558699e-07,-5.520738309954323e-07,67.14999776099698,-3.7071756515248305e-05
I2,5,N4,9.676539525465617e-07,5.564928259151059e-07,-4.1116112663145575e-07,67.14999771704545,-2.7609468714640088e-05
I2,5,N5,1.1671219439765929e-06,5.085500998431114e-07,-6.585718441334815e-07,67.1499978024327,-4.422309788630733e-05
I2,5,N6,9.807669645322484e-07,5.525025621754406e-07,-4.282644023568078e-07,67.14999774934631,-2.8757953654384786e-05
I2,5,N7,1.1534922525524492e-06,5.072023718181599e-07,-6.462898807342892e-07,67.14999780022386,-4.339836406961446e-05
I2,5,N8,1.3126977674778358e-06,5.005403826759027e-07,-8.121573848019331e-07,67.14999778111554,-5.4536366587366414e-05
