hour,lambda_system,system_net_injection_residual_mw
1,67.15000058718887,-6.495713600114239e-15
2,67.15000044534597,-1.0525167891654504e-15
3,67.15000044826542,-2.7087170935300733e-14
4,67.15000043426643,-3.123617595994228e-14
5,67.15000050814304,-1.003200208253145e-14
6,67.15000051530158,-4.134459988283897e-14
7,67.15000065627312,-9.435234860345744e-14
8,67.15000065883667,-3.440019368041691e-14
9,67.15000065331853,1.2205426783509029e-14
10,60.00000059738252,1.3907759936304152e-15
11,60.00000058932501,-1.620522037178842e-14
12,60.000000588698185,-3.14198224570208e-14
13,60.000000586156055,8.647598175488164e-15
14,60.0000005845999,3.478738228405614e-15
15,60.000000584290035,2.519208453146306e-15
16,60.00000058702447,-3.919498557744809e-14
17,60.00000059230839,-2.0995327643916967e-15
18,67.1500006513741,8.029440933517585e-14
19,60.0075572955181,1.3155830469292047e-13
20,67.1500000053967,2.8798193198982203e-14
21,67.15000068508533,3.438547372017512e-14
22,67.15000065912315,-3.338672353682236e-14
23,67.15000065529934,-6.892880774650272e-15
24,67.15000065323214,-1.979682158300591e-14
