unit,soc_hour,node,soc_mwh,delta_soc_capacity_dual,rho_periodicity_dual
I3,0,N1,6.439565754118704e-05,-0.026376606084030047,-64.73001711617228
I3,1,N1,6.433932218532656e-05,-0.026349731873289952,-64.73001711617228
I3,2,N1,6.428298793359595e-05,-0.02632291394559792,-64.73001711617228
I3,3,N1,6.422665162919493e-05,-0.026296146821713502,-64.73001711617228
I3,4,N1,6.4170313462589e-05,-0.02626942517323925,-64.73001711617228
I3,5,N1,6.411397258249017e-05,-0.026242744013403787,-64.73001711617228
I3,6,N1,6.40576280605122e-05,-0.02621609888761255,-64.73001711617228
I3,7,N1,6.400127899894382e-05,-0.0261894860414304,-64.73001711617228
I3,8,N1,6.394492435949881e-05,-0.02616290256794643,-64.73001711617228
I3,9,N1,6.388856326671019e-05,-0.026136346520649122,-64.73001711617228
I3,10,N1,6.40012612720161e-05,-0.0261892472956843,-64.73001711617228
I3,11,N1,6.411395131884942e-05,-0.026242339079812025,-64.73001711617228
I3,12,N1,6.422663604175699e-05,-0.026295629461025656,-64.73001711617228
I3,13,N1,6.43393180767984e-05,-0.026349126803672726,-64.73001711617228
I3,14,N1,6.445200005974176e-05,-0.02640284001061723,-64.73001711617228
I3,15,N1,6.456468462635103e-05,-0.026456778252097007,-64.73001711617228
I3,16,N1,6.467737441141129e-05,-0.026510950679340096,-64.73001711617228
I3,17,N1,6.479007205110672e-05,-0.026565366135561895,-64.73001711617228
I3,18,N1,6.473371027996473e-05,-0.02653797062177541,-64.73001711617228
I3,19,N1,6.467736765965572e-05,-0.02651066004517494,-64.73001711617228
I3,20,N1,6.462102077530216e-05,-0.02648342752473431,-64.73001711617228
I3,21,N1,6.456467545676748e-05,-0.02645605643862597,-64.73001711617228
I3,22,N1,6.450833369685521e-05,-0.0264289781606542,-64.73001711617228
I3,23,N1,6.445199470558912e-05,-0.026401971235291335,-64.73001711617228
I3,24,N1,6.439565754118704e-05,-0.026375031289524283,-64.73001711617228
I3,0,N2,6.374379323108851e-05,-0.026676575964473464,-65.29505570516366
I3,1,N2,6.370337089113369e-05,-0.02664376810072185,-65.29505570516366
I3,2,N2,6.366294968127032e-05,-0.026611091842916514,-65.29505570516366
I3,3,N2,6.362252661852285e-05,-0.026578548231039462,-65.29505570516366
I3,4,N2,6.358210224357568e-05,-0.026546135337734655,-65.29505570516366
I3,5,N2,6.354167598268101e-05,-0.026513847994399337,-65.29505570516366
I3,6,N2,6.350124720039863e-05,-0.026481677746293158,-65.29505570516366
I3,7,N2,6.346081528457338e-05,-0.026449613054669432,-65.29505570516366
I3,8,N2,6.342037951113786e-05,-0.026417639776836536,-65.29505570516366
I3,9,N2,6.33799392898829e-05,-0.02638574192259008,-65.29505570516366
I3,10,N2,6.3518742488461e-05,-0.026437630331314587,-65.29505570516366
I3,11,N2,6.358478656385728e-05,-0.026489724477545912,-65.29505570516366
I3,12,N2,6.365005694237526e-05,-0.026541991634956186,-65.29505570516366
I3,13,N2,6.371532634788132e-05,-0.026594424308974185,-65.29505570516366
I3,14,N2,6.376395692788865e-05,-0.02663548750810876,-65.29505570516366
I3,15,N2,6.382922743834899e-05,-0.026688191783382963,-65.29505570516366
I3,16,N2,6.389527164406138e-05,-0.026741053839450593,-65.29505570516366
I3,17,N2,6.40340750290039e-05,-0.026794085771663978,-65.29505570516366
I3,18,N2,6.399363450745433e-05,-0.026760915989322787,-65.29505570516366
I3,19,N2,6.395319121658127e-05,-0.02672778614856672,-65.29505570516366
I3,20,N2,6.391275764713902e-05,-0.026694705157214317,-65.29505570516366
I3,21,N2,6.386506808489048e-05,-0.026778223632126737,-65.29505570516366
I3,22,N2,6.382464147346575e-05,-0.026745008972881727,-65.29505570516366
I3,23,N2,6.378421674092872e-05,-0.026711904403799714,-65.29505570516366
I3,24,N2,6.374379323108851e-05,-0.0266789182259456,-65.29505570516366
I3,0,N3,6.0391994802006516e-05,-0.02834481241658692,-64.26767206156097
I3,1,N3,6.031436831077923e-05,-0.027637619694260672,-64.26767206156097
I3,2,N3,6.023673599954261e-05,-0.02704055905702195,-64.26767206156097
I3,3,N3,6.015909472407042e-05,-0.02654129641847072,-64.26767206156097
I3,4,N3,6.0081442297882404e-05,-0.026133763888279468,-64.26767206156097
I3,5,N3,6.0003776010237224e-05,-0.025815200618901617,-64.26767206156097
I3,6,N3,5.992609328311529e-05,-0.02558386038240372,-64.26767206156097
I3,7,N3,5.9848392051914635e-05,-0.02543723255052152,-64.26767206156097
I3,8,N3,5.9770670705067174e-05,-0.025371031765862063,-64.26767206156097
I3,9,N3,5.969292881679472e-05,-0.02537696781559851,-64.26767206156097
I3,10,N3,5.977416699523085e-05,-0.02600401574848657,-64.26767206156097
I3,11,N3,5.994568952906208e-05,-0.02671119140792032,-64.26767206156097
I3,12,N3,6.011675552362659e-05,-0.027401472774858625,-64.26767206156097
I3,13,N3,6.028699815254651e-05,-0.028114595507835873,-64.26767206156097
I3,14,N3,6.0498009214623546e-05,-0.028842286357166298,-64.26767206156097
I3,15,N3,6.067081864997763e-05,-0.02971943140448735,-64.26767206156097
I3,16,N3,6.085002239599739e-05,-0.031814927367634256,-64.26767206156097
I3,17,N3,6.09355640708615e-05,-0.03197593684301121,-64.26767206156097
I3,18,N3,6.0857826800136544e-05,-0.03191936729508558,-64.26767206156097
I3,19,N3,6.078011530268317e-05,-0.03169028183028564,-64.26767206156097
I3,20,N3,6.070242545337232e-05,-0.031302293289828906,-64.26767206156097
I3,21,N3,6.062475789045139e-05,-0.030754455861480342,-64.26767206156097
I3,22,N3,6.0547109227087486e-05,-0.03005665300605731,-64.26767206156097
I3,23,N3,6.046952399302991e-05,-0.028906382327422427,-64.26767206156097
I3,24,N3,6.0391994802006516e-05,-0.028618074820076667,-64.26767206156097
I3,0,N4,6.439566755068271e-05,-0.02637661460800702,-64.72131385071323
I3,1,N4,6.433933218825932e-05,-0.026349748095707243,-64.72131385071323
I3,2,N4,6.428299792986304e-05,-0.026322937654164786,-64.72131385071323
I3,3,N4,6.422666161864914e-05,-0.026296177902140408,-64.72131385071323
I3,4,N4,6.417032344509748e-05,-0.026269463612897264,-64.72131385071323
I3,5,N4,6.411398255817168e-05,-0.026242789898228848,-64.72131385071323
I3,6,N4,6.40576380296239e-05,-0.02621615239256533,-64.72131385071323
I3,7,N4,6.400128896172429e-05,-0.026189547415384148,-64.72131385071323
I3,8,N4,6.394493431606886e-05,-0.02616297211412926,-64.72131385071323
I3,9,N4,6.388857321713373e-05,-0.026136424574191006,-64.72131385071323
I3,10,N4,6.400127123546063e-05,-0.026189303423516434,-64.72131385071323
I3,11,N4,6.411396129557678e-05,-0.026242373507099757,-64.72131385071323
I3,12,N4,6.422664603174549e-05,-0.0262956423603335,-64.72131385071323
I3,13,N4,6.433932808002045e-05,-0.026349118285733057,-64.72131385071323
I3,14,N4,6.445201007617039e-05,-0.026402810105511824,-64.72131385071323
I3,15,N4,6.456469465596974e-05,-0.026456726895602526,-64.72131385071323
I3,16,N4,6.467738445418626e-05,-0.026510877704974917,-64.72131385071323
I3,17,N4,6.479008210680289e-05,-0.02656527127277106,-64.72131385071323
I3,18,N4,6.47337203291581e-05,-0.02653788636899462,-64.72131385071323
I3,19,N4,6.467737770229932e-05,-0.026510586113210683,-64.72131385071323
I3,20,N4,6.46210308113532e-05,-0.026483363551545267,-64.72131385071323
I3,21,N4,6.456468548622716e-05,-0.026456002027396817,-64.72131385071323
I3,22,N4,6.450834371967928e-05,-0.02642893289524824,-64.72131385071323
I3,23,N4,6.445200472174941e-05,-0.026401934708210496,-64.72131385071323
I3,24,N4,6.439566755068271e-05,-0.026375003124903602,-64.72131385071323
I3,0,N5,6.438743792588538e-05,-0.026379215624966337,-64.90212728541466
I3,1,N5,6.433703266580048e-05,-0.02635244162653737,-64.90212728541466
I3,2,N5,6.4286628562077e-05,-0.026325588974333097,-64.90212728541466
I3,3,N5,6.423622250617931e-05,-0.02629865387913116,-64.90212728541466
I3,4,N5,6.418581484290525e-05,-0.02627164038768506,-64.90212728541466
I3,5,N5,6.413540483228818e-05,-0.02624455978377572,-64.90212728541466
I3,6,N5,6.408499166365982e-05,-0.02621742970448233,-64.90212728541466
I3,7,N5,6.403457455264406e-05,-0.026190273009524496,-64.90212728541466
I3,8,N5,6.398415258731715e-05,-0.026163116466854822,-64.90212728541466
I3,9,N5,6.393372500489328e-05,-0.02613598930025617,-64.90212728541466
I3,10,N5,6.405544171168323e-05,-0.026189036581604777,-64.90212728541466
I3,11,N5,6.41507143520305e-05,-0.026242334009550526,-64.90212728541466
I3,12,N5,6.424566097436826e-05,-0.02629591955778277,-64.90212728541466
I3,13,N5,6.434060565043835e-05,-0.026349825347428944,-64.90212728541466
I3,14,N5,6.442842994839953e-05,-0.026400298497266324,-64.90212728541466
I3,15,N5,6.452337645571231e-05,-0.026454903772689223,-64.90212728541466
I3,16,N5,6.461864886072917e-05,-0.026509889714725055,-64.90212728541466
I3,17,N5,6.474036515100391e-05,-0.026565263335275646,-64.90212728541466
I3,18,N5,6.468993684412404e-05,-0.026538240050957736,-64.90212728541466
I3,19,N5,6.463949914985562e-05,-0.026511390622250986,-64.90212728541466
I3,20,N5,6.458907812395726e-05,-0.02648469009966478,-64.90212728541466
I3,21,N5,6.453866415881112e-05,-0.02645793649157358,-64.90212728541466
I3,22,N5,6.448825326116757e-05,-0.026431382340504093,-64.90212728541466
I3,23,N5,6.44378447907626e-05,-0.026404827782267045,-64.90212728541466
I3,24,N5,6.438743792588538e-05,-0.026378238590293666,-64.90212728541466
I3,0,N6,6.440588580606796e-05,-0.0263757990692304,-64.53838038890984
I3,1,N6,6.434231401413821e-05,-0.026348851925322995,-64.53838038890984
I3,2,N6,6.427874329415105e-05,-0.02632196486378087,-64.53838038890984
I3,3,N6,6.421517039024829e-05,-0.026295137601548547,-64.53838038890984
I3,4,N6,6.415159530566769e-05,-0.02626836939730208,-64.53838038890984
I3,5,N6,6.408801703963367e-05,-0.026241658932670487,-64.53838038890984
I3,6,N6,6.402443450603649e-05,-0.026215004253319008,-64.53838038890984
I3,7,N6,6.39608466535193e-05,-0.026188402764614004,-64.53838038890984
I3,8,N6,6.389725227474732e-05,-0.026161851297769382,-64.53838038890984
I3,9,N6,6.383365034161277e-05,-0.02613534623688335,-64.53838038890984
