hour,generator,dispatch_mw,capacity_mw,marginal_cost_eur_per_mwh,nu_gen_dual
1,G_IEEE1,270.0000023645653,270.0,60.0,-7.149999721827147
1,G_IEEE3,9.201717945676574,290.0,67.15,0.0
1,RES_Wind_N1,94.50000091078978,94.5,0.0,-67.15000033231344
1,RES_PV_N6,0.0,0.0,0.0,
1,RES_PV_N8,0.0,0.0,0.0,
1,G_PEAKER_N5,7.61585684055043e-08,200.0,95.0,-1.9975821563936333e-09
2,G_IEEE1,270.0000023645654,270.0,60.0,-7.149999715393942
2,G_IEEE3,9.289553743328398,290.0,67.15,0.0
2,RES_Wind_N1,98.4375009501648,98.4375,0.0,-67.15000032477523
2,RES_PV_N6,0.0,0.0,0.0,
2,RES_PV_N8,0.0,0.0,0.0,
2,G_PEAKER_N5,7.615857222870697e-08,200.0,95.0,-1.997582156274304e-09
3,G_IEEE1,270.00000236456543,270.0,60.0,-7.1499997192868605
3,G_IEEE3,9.848396021808494,290.0,67.15,0.0
3,RES_Wind_N1,102.3750009895398,102.375,0.0,-67.15000032764128
3,RES_PV_N6,0.0,0.0,0.0,
3,RES_PV_N8,0.0,0.0,0.0,
3,G_PEAKER_N5,7.615857731269422e-08,200.0,95.0,-1.997582155949309e-09
4,G_IEEE1,270.00000236456543,270.0,60.0,-7.149999762342991
4,G_IEEE3,12.323134277509132,290.0,67.15,0.0
4,RES_Wind_N1,105.00000101578979,105.0,0.0,-67.15000037005188
4,RES_PV_N6,0.0,0.0,0.0,
4,RES_PV_N8,0.0,0.0,0.0,
4,G_PEAKER_N5,7.615857538382712e-08,200.0,95.0,-1.9975821557159792e-09
5,G_IEEE1,270.00000236456515,270.0,60.0,-7.149999889329155
5,G_IEEE3,28.917946871092123,290.0,67.15,0.0
5,RES_Wind_N1,102.37500098953979,102.375,0.0,-67.15000049768358
5,RES_PV_N6,0.0,0.0,0.0,
5,RES_PV_N8,0.0,0.0,0.0,
5,G_PEAKER_N5,7.615855761607379e-08,200.0,95.0,-1.997582154573809e-09
6,G_IEEE1,270.00000236456543,270.0,60.0,-7.1499999381875075
6,G_IEEE3,39.17612038308258,290.0,67.15,0.0
6,RES_Wind_N1,94.5000009107898,94.5,0.0,-67.1500005486738
6,RES_PV_N6,0.0,0.0,0.0,
6,RES_PV_N8,0.0,0.0,0.0,
6,G_PEAKER_N5,7.615857609189222e-08,200.0,95.0,-1.9975821535682755e-09
7,G_IEEE1,270.00000236456526,270.0,60.0,-7.150000003937536
7,G_IEEE3,92.29688197862812,290.0,67.15,-2.1237184634552215e-09
7,RES_Wind_N1,81.37500077953979,81.375,0.0,-67.15000061881705
7,RES_PV_N6,4.795875013748539,4.795875,0.0,-67.15000114818469
7,RES_PV_N8,8.906625054856033,8.906625,0.0,-67.15000093046169
7,G_PEAKER_N5,7.615856549425995e-08,200.0,95.0,-1.9975821527052246e-09
8,G_IEEE1,270.0000023645653,270.0,60.0,-7.150000022540219
8,G_IEEE3,111.3351578819045,290.0,67.15,-3.5095886768978613e-09
8,RES_Wind_N1,68.25000064828978,68.25,0.0,-67.15000064338811
8,RES_PV_N6,23.97937520558354,23.979375,0.0,-67.1500007528662
8,RES_PV_N8,44.533125411121034,44.533125,0.0,-67.15000071891843
8,G_PEAKER_N5,7.615856815626254e-08,200.0,95.0,-1.9975821525441117e-09
9,G_IEEE1,270.0000023645653,270.0,60.0,-7.149999956473768
9,G_IEEE3,27.634824744763446,290.0,67.15,0.0
9,RES_Wind_N1,55.12500051703979,55.125,0.0,-67.15000058599033
9,RES_PV_N6,67.1422506372123,67.14225,0.0,-67.15000061110757
9,RES_PV_N8,124.69275121271728,124.69275,0.0,-67.15000059861957
9,G_PEAKER_N5,7.615856902119468e-08,200.0,95.0,-1.9975821530683565e-09
10,G_IEEE1,234.052503303102,270.0,60.0,-5.6750593078601795e-08
10,G_IEEE3,3.25596548615397e-07,290.0,67.15,0.0
10,RES_Wind_N1,45.93750042074432,45.9375,0.0,-60.000000693000814
10,RES_PV_N6,115.10100111237931,115.101,0.0,-60.000000671784775
10,RES_PV_N8,213.7590020989593,213.759,0.0,-60.0000006566845
10,G_PEAKER_N5,5.8557606645938525e-08,200.0,95.0,-1.9975821499631234e-09
11,G_IEEE1,110.05399070600184,270.0,60.0,-5.002040512541723e-09
11,G_IEEE3,2.458430225727484e-07,290.0,67.15,0.0
11,RES_Wind_N1,39.37500035511931,39.375,0.0,-60.000000635742595
11,RES_PV_N6,163.05975159143168,163.05975,0.0,-59.11009684016188
11,RES_PV_N8,302.8252529874271,302.82525,0.0,-56.490684579723016
11,G_PEAKER_N5,6.000387282221231e-08,200.0,95.0,-1.9975821515958584e-09
12,G_IEEE1,69.43787003264896,270.0,60.0,-1.9639552500127883e-09
12,G_IEEE3,2.4225915451215847e-07,290.0,67.15,0.0
12,RES_Wind_N1,36.75000032886932,36.75,0.0,-60.0000006234422
12,RES_PV_N6,203.82468949904987,203.8246875,0.0,-59.06179337887702
12,RES_PV_N8,378.5315662443566,378.5315625,0.0,-56.30020119169412
12,G_PEAKER_N5,6.009227416502798e-08,200.0,95.0,-1.9975821646534122e-09
13,G_IEEE1,53.248193570227976,270.0,60.0,-1.0703408887469081e-09
13,G_IEEE3,2.422054895368231e-07,290.0,67.15,0.0
13,RES_Wind_N1,39.37500035511932,39.375,0.0,-60.0000006072623
13,RES_PV_N6,227.80406473884312,227.8040625,0.0,-59.06108244595017
13,RES_PV_N8,423.0646916896857,423.0646875,0.0,-56.29739771902101
13,G_PEAKER_N5,6.009362089726042e-08,200.0,95.0,-1.9975821613469906e-09
14,G_IEEE1,40.90104940980731,270.0,60.0,-4.737140484990864e-10
14,G_IEEE3,2.1642717396834474e-07,290.0,67.15,0.0
14,RES_Wind_N1,44.62500040761932,44.625,0.0,-60.000000585493666
14,RES_PV_N6,234.99787731051032,234.997875,0.0,-58.6807229161797
14,RES_PV_N8,436.42462932210236,436.424625,0.0,-54.797458253472676
14,G_PEAKER_N5,6.08205978706375e-08,200.0,95.0,-1.997582115168731e-09
15,G_IEEE1,31.766638066812714,270.0,60.0,-7.212573690495825e-11
15,G_IEEE3,2.422180254130166e-07,290.0,67.15,0.0
15,RES_Wind_N1,52.500000486369316,52.5,0.0,-60.00000055977103
15,RES_PV_N6,215.8143771189464,215.814375,0.0,-59.061247979247334
15,RES_PV_N8,400.7981289670206,400.798125,0.0,-56.29805064542231
15,G_PEAKER_N5,6.00933076705953e-08,200.0,95.0,-1.9975821627084604e-09
16,G_IEEE1,59.85672596035551,270.0,60.0,-1.418478680152874e-09
16,G_IEEE3,2.45843250229497e-07,290.0,67.15,0.0
16,RES_Wind_N1,60.375000565119315,60.375,0.0,-60.0000005910626
