hour,node,lambda_reference_eur_per_mwh
1,N1,55.00000001520056
1,N2,55.00000004729677
1,N3,55.000000061761455
1,N4,55.00000006688619
1,N5,55.000000085945224
2,N1,54.999999963840615
2,N2,54.9999999982166
2,N3,55.000000011205444
2,N4,55.00000001368656
2,N5,55.00000002910543
3,N1,54.99999992732528
3,N2,54.99999996453785
3,N3,54.99999997675155
3,N4,54.99999997754928
3,N5,54.99999999216182
4,N1,54.999999892394044
4,N2,54.99999993185043
4,N3,54.9999999439236
4,N4,54.99999994441826
4,N5,54.99999996100797
5,N1,54.99999994223003
5,N2,54.99999997962736
5,N3,54.99999999258738
5,N4,54.999999995137614
5,N5,55.00000001378936
6,N1,55.000000094000285
6,N2,55.00000012677698
6,N3,55.00000014263723
6,N4,55.00000015027351
6,N5,55.00000017537243
7,N1,74.99999995216248
7,N2,74.99999997799495
7,N3,74.99999999052224
7,N4,74.99999997958773
7,N5,74.99999997395932
8,N1,75.00000000115884
8,N2,75.00000002995716
8,N3,75.0000000415629
8,N4,75.00000001645037
8,N5,75.00000001049769
9,N1,74.99999996697262
9,N2,74.99999999521576
9,N3,75.00000000596737
9,N4,74.99999999182401
9,N5,74.99999996393518
10,N1,55.00000020784728
10,N2,55.00000026919575
10,N3,55.0000002924514
10,N4,55.0000003276098
10,N5,55.000000171527425
11,N1,30.00000010850627
11,N2,48.43294467246466
11,N3,55.51749274897759
11,N4,74.99999993197333
11,N5,16.328065202496404
12,N1,29.999999986775965
12,N2,48.432944589297875
12,N3,55.517492683313954
12,N4,74.99999992479363
12,N5,16.328064488520642
13,N1,29.999999966473503
13,N2,48.432944518356756
13,N3,55.51749259372487
13,N4,74.99999979031976
13,N5,4.023326786221996e-07
14,N1,29.999999934127178
14,N2,48.43294434207948
14,N3,55.51749236239224
14,N4,74.99999940958237
14,N5,1.204230838479222e-07
15,N1,29.99999986182722
15,N2,48.43294446241507
15,N3,55.51749255662151
15,N4,74.99999980356338
15,N5,10.431135778531736
16,N1,29.999999994969336
16,N2,48.43294458221136
16,N3,55.51749266961068
16,N4,74.99999988802459
16,N5,16.32806505634132
17,N1,41.12345678698767
17,N2,54.99999995659706
17,N3,60.333333264432945
17,N4,74.99999982816632
17,N5,30.831059177717684
18,N1,74.99999993640981
18,N2,74.99999997007284
18,N3,74.99999998271032
18,N4,74.99999997431364
18,N5,74.99999993588948
19,N1,75.00000061626545
19,N2,75.00000066724144
19,N3,75.00000068499985
19,N4,75.00000062000592
19,N5,75.0000006281568
20,N1,75.00685743233123
20,N2,75.00685749161715
20,N3,75.00685751268529
20,N4,75.00685743332068
20,N5,75.00685744753201
21,N1,75.00000015869857
21,N2,75.00000020292939
21,N3,75.00000021960291
21,N4,75.00000017153367
21,N5,75.00000018814328
22,N1,74.99999997593244
22,N2,75.0000000073934
22,N3,75.00000002116226
22,N4,75.00000000410948
22,N5,75.00000001443199
23,N1,74.99999988142123
23,N2,74.99999991072812
23,N3,74.99999992547471
23,N4,74.9999999239032
23,N5,74.99999992902426
24,N1,55.00000038169159
24,N2,55.00000041523306
24,N3,55.0000004320426
24,N4,55.00000044082605
24,N5,55.00000046767805
