hour,node,shed_mw,bound_mw,marginal_wtp_eur_per_mwh,xi_shed_dual
1,N1,-9.279891171221684e-09,41.94,499.9999960987331,2.101810792275353e-09
1,N2,-9.279891181687868e-09,251.64,499.9999993497888,8.683635132064634e-09
1,N3,-9.279891181654646e-09,251.64,499.9999993497888,8.683635132064634e-09
1,N4,-9.279891181615818e-09,251.64,499.9999993497888,8.683635132064634e-09
1,N5,-9.279891170891613e-09,41.94,499.9999960987331,2.101810792275351e-09
2,N1,-9.279891170805533e-09,40.44,499.9999959540273,1.8088512519242887e-09
2,N2,-9.279891181691179e-09,242.64,499.99999932567124,8.63480854200754e-09
2,N3,-9.279891181671944e-09,242.64,499.99999932567124,8.63480854200754e-09
2,N4,-9.279891181648534e-09,242.64,499.99999932567124,8.63480854200754e-09
2,N5,-9.279891170601936e-09,40.44,499.9999959540273,1.8088512519242895e-09
3,N1,-9.279891170501486e-09,39.54,499.9999958619339,1.6224062880041635e-09
3,N2,-9.279891181648376e-09,237.24,499.9999993103223,8.603734381355114e-09
3,N3,-9.279891181635205e-09,237.24,499.9999993103223,8.603734381355114e-09
3,N4,-9.279891181617604e-09,237.24,499.9999993103223,8.603734381355114e-09
3,N5,-9.279891170349838e-09,39.54,499.9999958619339,1.6224062880041637e-09
4,N1,-9.279891169877134e-09,37.8,499.9999956714515,1.2367710218891058e-09
4,N2,-9.279891181543913e-09,226.8,499.9999992785753,8.539461837004591e-09
4,N3,-9.279891181530176e-09,226.8,499.9999992785753,8.539461837004591e-09
4,N4,-9.279891181511712e-09,226.8,499.9999992785753,8.539461837004591e-09
4,N5,-9.279891169727489e-09,37.8,499.9999956714515,1.2367710218891052e-09
5,N1,-9.279891170161959e-09,38.58,499.99999575896493,1.4139436139848424e-09
5,N2,-9.279891181585053e-09,231.48,499.99999929316084,8.568990602352957e-09
5,N3,-9.279891181564334e-09,231.48,499.99999929316084,8.568990602352957e-09
5,N4,-9.279891181541421e-09,231.48,499.99999929316084,8.568990602352957e-09
5,N5,-9.279891169966339e-09,38.58,499.99999575896493,1.4139436139848424e-09
6,N1,-9.279891171374379e-09,42.36,499.9999961374142,2.1801214501436355e-09
6,N2,-9.279891181752721e-09,254.16,499.9999993562357,8.696686908375643e-09
6,N3,-9.27989118171641e-09,254.16,499.9999993562357,8.696686908375643e-09
6,N4,-9.279891181683804e-09,254.16,499.9999993562357,8.696686908375643e-09
6,N5,-9.279891171066376e-09,42.36,499.9999961374142,2.1801214501436355e-09
7,N1,-9.279891173889248e-09,51.9,499.99999684741556,3.6175326518133863e-09
7,N2,12.30764264666337,311.4,1196.8631116912127,8.885540557159913e-09
7,N3,8.684141667616212,311.4,991.6991952559631,8.900000816161172e-09
7,N4,-7.186365684959025e-09,311.4,499.99999959310543,8.936255441544916e-09
7,N5,-9.211309379916879e-09,51.9,499.9999968707143,3.617532651804952e-09
8,N1,-9.211309380370418e-09,59.7,499.99999727956566,4.451422858112763e-09
8,N2,33.42745920747629,358.2,2145.390524920591,8.966745202317598e-09
8,N3,27.035793144459888,358.2,1830.7753244870642,8.988913373416548e-09
8,N4,9.458711471319546,358.2,965.5835233024843,9.045244360376933e-09
8,N5,-9.211309381365743e-09,59.7,499.99999727956566,4.451422858112763e-09
