hour,node,demand_mw,generation_mw,p_charge_mw,p_discharge_mw,storage_net_injection_mw,load_shed_mw,net_injection_mw,lambda_eur_per_mwh
1,N1,79.2,660.0000065992772,0.0,0.0,0.0,0.0,580.800006586574,54.94614453801483
1,N2,221.76,131.99999345642212,0.0,0.0,0.0,0.0,-89.7600065546243,55.01320053943398
1,N3,237.6,9.777392279871033e-09,0.0,0.0,0.0,0.0,-237.60000000001833,55.02798453882297
1,N4,174.24,0.0,0.0,0.0,0.0,0.0,-174.24000001920788,55.02164853882838
1,N5,79.2,9.777328912931519e-09,0.0,0.0,0.0,0.0,-79.2000000127235,55.01214453884575
2,N1,75.6,675.000006749277,0.0,0.0,0.0,0.0,599.4000067365607,54.93509253782258
2,N2,211.68,80.99999330594143,0.0,0.0,0.0,0.0,-130.68000670495127,55.008100539281756
2,N3,226.8,9.777351191480802e-09,0.0,0.0,0.0,0.0,-226.79999999984042,55.01771253865141
2,N4,166.32,0.0,0.0,0.0,0.0,0.0,-166.32000001903512,55.01166453864889
2,N5,75.6,9.777290683308444e-09,0.0,0.0,0.0,0.0,-75.60000001273391,55.00259253865926
3,N1,73.2,690.0000068992767,0.0,0.0,0.0,0.0,616.8000068865495,54.92622453759893
3,N2,204.96,41.99999315581607,0.0,0.0,0.0,0.0,-162.96000685502713,55.00420053909901
3,N3,219.6,9.777319788961012e-09,0.0,0.0,0.0,0.0,-219.59999999979178,55.009864538450906
3,N4,161.04,0.0,0.0,0.0,0.0,0.0,-161.04000001898825,55.0040085384415
3,N5,73.2,9.77726118566102e-09,0.0,0.0,0.0,0.0,-73.20000001274221,54.9952245384473
4,N1,72.0,700.0000069992766,0.0,0.0,0.0,0.0,628.0000069865417,54.92104053722705
4,N2,201.6,19.999993056009313,0.0,0.0,0.0,0.0,-181.60000695486403,55.00200053875498
4,N3,216.0,9.777302083126028e-09,0.0,0.0,0.0,0.0,-215.999999999868,55.00544053809552
4,N4,158.4,0.0,0.0,0.0,0.0,0.0,-158.40000001906242,54.999680538081634
4,N5,72.0,9.777244431617625e-09,0.0,0.0,0.0,0.0,-72.00000001274731,54.99104053808502
5,N1,74.4,690.0000068992767,0.0,0.0,0.0,0.0,615.6000068865475,54.92840853767226
5,N2,208.32,53.999993156533954,0.0,0.0,0.0,0.0,-154.32000685446496,55.005400539171085
5,N3,223.2,9.777329489155544e-09,0.0,0.0,0.0,0.0,-223.2000000000754,55.01228853852445
5,N4,163.68,0.0,0.0,0.0,0.0,0.0,-163.68000001926535,55.006336538517736
5,N5,74.4,9.777269930078044e-09,0.0,0.0,0.0,0.0,-74.40000001274176,54.99740853852614
6,N1,81.6,660.0000065992772,0.0,0.0,0.0,0.0,578.4000065865681,54.950512538129864
6,N2,228.48,155.99999345764593,0.0,0.0,0.0,0.0,-72.48000655367571,55.015600539547926
6,N3,244.8,9.77741166678875e-09,0.0,0.0,0.0,0.0,-244.80000000048958,55.03283253894019
6,N4,179.52,0.0,0.0,0.0,0.0,0.0,-179.5200000196793,55.026304538950086
6,N5,81.6,9.777346390447351e-09,0.0,0.0,0.0,0.0,-81.60000001272348,55.016512538973544
7,N1,96.0,610.0000060995588,0.0,1.0532816240511504e-06,1.0532816240511504e-06,0.0,514.0000071523766,74.95400073676103
7,N2,268.8,200.0000019993803,0.0,0.0,0.0,0.0,-68.79999800411477,75.01228073736478
7,N3,288.0,5.000000049834885,0.0,0.0,0.0,0.0,-282.99999995623784,75.03370073760223
7,N4,211.2,132.59998792703797,0.0,0.0,0.0,0.0,-78.60001207921349,75.01326073877327
7,N5,96.0,12.40000012383484,0.0,2.7735427995858835e-06,2.7735427995858835e-06,0.0,-83.59999711281051,75.01376073729514
8,N1,108.0,560.000005599559,0.0,20.89709725022239,20.89709725022239,0.0,472.89710284931783,74.96971252205834
8,N2,302.4,200.00000199938074,0.0,0.0,0.0,0.0,-102.39999800506949,75.027242232243
8,N3,324.0,25.000000249834905,0.0,0.0,0.0,0.0,-298.99999975731765,75.04690223245814
8,N4,237.6,203.8074615936417,0.0,0.0,0.0,0.0,-33.792538413855226,75.02038148623694
8,N5,108.0,62.00000061983484,0.0,8.295432717277723,8.295432717277723,0.0,-37.70456667307545,75.02077268905916
9,N1,111.6,510.00000509955896,0.0,2.7742418488289218,2.7742418488289218,0.0,401.1742469479243,74.96725646473543
9,N2,312.48,200.0000019993805,0.0,0.0,0.0,0.0,-112.47999800324703,75.01862188931953
9,N3,334.8,70.00000069983487,0.0,0.0,0.0,0.0,-264.79999930626195,75.0338538894836
9,N4,245.52,159.6257474115036,0.0,0.0,0.0,0.0,-85.8942525958733,75.01596331475221
9,N5,111.6,173.60000173583478,0.0,1.2318115077458349e-06,1.2318115077458349e-06,0.0,62.000002957457944,75.00117388913789
10,N1,108.0,475.00000474927776,0.0,0.0,0.0,0.0,367.0000047390412,54.970540538462565
10,N2,302.4,187.39999114695038,0.0,0.0,0.0,0.0,-115.00000886361363,55.01874054003185
10,N3,324.0,120.0000011997748,0.0,0.0,0.0,0.0,-203.99999881054612,55.027640539105775
10,N4,237.6,0.0,0.0,0.0,0.0,0.0,-237.6000000222344,55.031000539346714
