hour,node,lambda_joint_eur_per_mwh
1,N1,67.14999967612646
1,N2,67.15000001790786
1,N3,67.14999993276015
1,N4,67.14999992031707
1,N5,67.1500000215303
1,N6,67.14999994062649
1,N7,67.15000001790786
1,N8,67.14999999362995
1,N9,67.14999994248038
2,N1,67.1499995800077
2,N2,67.14999994769698
2,N3,67.1499998817221
2,N4,67.1499998562061
2,N5,67.14999994923456
2,N6,67.14999988184674
2,N7,67.14999994769698
2,N8,67.14999992932067
2,N9,67.1499998884242
3,N1,67.14999945796743
3,N2,67.1499998641438
3,N3,67.1499998107237
3,N4,67.14999977528001
3,N5,67.14999986414168
3,N6,67.14999980521578
3,N7,67.1499998641438
3,N8,67.14999984979687
3,N9,67.14999981534811
4,N1,67.14999934793408
4,N2,67.14999978790522
4,N3,67.14999974088119
4,N4,67.14999969984021
4,N5,67.14999978705599
4,N6,67.14999973229266
4,N7,67.14999978790522
4,N8,67.14999977566484
4,N9,67.14999974441362
5,N1,67.14999949466848
5,N2,67.1499999028357
5,N3,67.14999984421308
5,N4,67.14999981198108
5,N5,67.1499999036769
5,N6,67.14999984054604
5,N7,67.1499999028357
5,N8,67.1499998868047
5,N9,67.14999984963504
6,N1,67.14999970121646
6,N2,67.15000004927929
6,N3,67.14999995157146
6,N4,67.14999994540707
6,N5,67.15000005440763
6,N6,67.14999996334639
6,N7,67.15000004927929
6,N8,67.15000002131251
6,N9,67.14999996308238
7,N1,67.14999504782753
7,N2,67.14999531955726
7,N3,67.14999523319891
7,N4,67.14999522268806
7,N5,67.14999533741764
7,N6,67.14999523441297
7,N7,67.14999531955726
7,N8,67.149995232087
7,N9,67.1499952334142
8,N1,67.14999983790183
8,N2,67.15000014092085
8,N3,67.14999994587926
8,N4,67.14999997280889
8,N5,67.1500001688688
8,N6,67.1499999688459
8,N7,67.15000014092085
8,N8,67.1499999848583
8,N9,67.14999995679437
9,N1,67.14998234008313
9,N2,67.14998263991278
9,N3,67.1499824218677
9,N4,67.14998244896059
9,N5,67.14998266026203
9,N6,67.14998243188849
9,N7,67.14998263991278
9,N8,67.14998241300025
9,N9,67.14998242191169
10,N1,60.000000214052704
10,N2,60.0000004229847
10,N3,60.00000023779034
10,N4,60.00000027643478
10,N5,60.000000442915656
10,N6,60.00000024018243
10,N7,60.0000004229847
10,N8,60.00000023592238
10,N9,60.00000023779034
11,N1,59.99999997423334
11,N2,60.08277519746254
11,N3,59.911840928725155
11,N4,59.99999999396802
11,N5,60.028601240741345
11,N6,59.9690432892379
11,N7,60.08277519746254
11,N8,59.87792328810108
11,N9,59.911840928725155
12,N1,59.999999910345146
12,N2,60.084654775925415
12,N3,59.90983867199887
12,N4,59.99999992306338
12,N5,60.02925063655465
12,N6,59.96833997931874
12,N7,60.084654775925415
12,N8,59.875150833880404
12,N9,59.90983867199887
13,N1,59.99999976651242
13,N2,60.00001000421283
13,N3,59.99994078029724
13,N4,59.99999977506953
13,N5,60.00000335785238
13,N6,59.99994783865279
13,N7,60.00001000421283
13,N8,59.99993659164998
13,N9,59.99994078029724
14,N1,59.99999962812944
14,N2,60.18188605874743
14,N3,59.79545210189678
14,N4,59.9999996359475
14,N5,60.06284661689642
14,N6,59.92114596383706
14,N7,60.18188605874743
14,N8,59.72092303171463
14,N9,59.79545210189678
15,N1,59.999999599890934
15,N2,60.104310164440044
15,N3,59.88890325481764
15,N4,59.999999608512724
15,N5,60.0360419200138
15,N6,59.96098777889281
15,N7,60.104310164440044
15,N8,59.84616136807953
15,N9,59.88890325481764
16,N1,59.999999891382885
16,N2,60.08277609775387
16,N3,59.911839725612104
16,N4,59.99999990640259
16,N5,60.02860148644969
16,N6,59.96904277784107
16,N7,60.08277609775387
16,N8,59.877921674620524
16,N9,59.911839725612104
17,N1,60.00000006794453
17,N2,60.000000251649645
17,N3,60.00000005207227
17,N4,60.000000118874794
17,N5,60.00000026061938
17,N6,60.00000006905401
17,N7,60.000000251649645
17,N8,60.00000004073394
17,N9,60.00000005207227
18,N1,67.14999960604042
18,N2,67.15000006429327
18,N3,67.14999982804093
18,N4,67.14999976259703
18,N5,67.15000014119389
18,N6,67.14999978011843
18,N7,67.15000006429327
18,N8,67.14999988155299
18,N9,67.14999983304678
19,N1,67.14999847264018
19,N2,67.15000147116272
19,N3,67.15000008065711
19,N4,67.14999864750071
19,N5,67.15000243659519
19,N6,67.14999916395807
19,N7,67.15000147116272
19,N8,67.15000081750648
19,N9,67.15000011528961
20,N1,67.14853507129611
20,N2,67.15096732608953
20,N3,67.15000037857196
20,N4,67.14853526886971
20,N5,67.15186774326469
20,N6,67.14904976024347
20,N7,67.15096732608953
20,N8,67.15056447913429
20,N9,67.1500004338124
21,N1,67.15000050529841
21,N2,67.1500019684208
21,N3,67.15000064861552
21,N4,67.15000071641465
21,N5,67.15000201978127
21,N6,67.15000071993848
21,N7,67.1500019684208
21,N8,67.15000183922673
21,N9,67.15000070888661
22,N1,67.14999989840722
22,N2,67.1500003870424
22,N3,67.15000007564272
22,N4,67.150000124925
22,N5,67.15000040924514
22,N6,67.15000012642057
22,N7,67.1500003870424
22,N8,67.15000031335332
22,N9,67.15000010946947
23,N1,67.14999977600914
23,N2,67.15000016494228
23,N3,67.15000000296384
23,N4,67.15000002019977
23,N5,67.15000017715299
23,N6,67.15000002986788
23,N7,67.15000016494228
23,N8,67.15000011986253
23,N9,67.1500000225235
24,N1,67.14999970789067
24,N2,67.15000007420599
24,N3,67.1499999641124
24,N4,67.14999996193298
24,N5,67.15000008127117
24,N6,67.14999997813574
24,N7,67.15000007420599
24,N8,67.15000004264637
24,N9,67.14999997712901
