hour,generator,dispatch_mw,capacity_mw,marginal_cost_eur_per_mwh,nu_gen_dual
1,G_IEEE1,250.00000202841557,250.0,60.0,-7.14999999750028
1,G_IEEE3,91.8255708310494,270.0,67.15,-8.224617365323745e-09
1,RES_Wind_N1,94.50000089478661,94.5,0.0,-67.15000060969369
1,RES_PV_N6,0.0,0.0,0.0,
1,RES_PV_N8,0.0,0.0,0.0,
2,G_IEEE1,250.00000202841557,250.0,60.0,-7.149999970925617
2,G_IEEE3,67.86323295576774,270.0,67.15,-6.185062987645915e-09
2,RES_Wind_N1,98.43750093416162,98.4375,0.0,-67.1500005816918
2,RES_PV_N6,0.0,0.0,0.0,
2,RES_PV_N8,0.0,0.0,0.0,
3,G_IEEE1,250.00000202841557,250.0,60.0,-7.149999941091303
3,G_IEEE3,49.45637453425364,270.0,67.15,-5.009433357809435e-09
3,RES_Wind_N1,102.37500097353661,102.375,0.0,-67.15000055054004
3,RES_PV_N6,0.0,0.0,0.0,
3,RES_PV_N8,0.0,0.0,0.0,
4,G_IEEE1,250.00000202841557,250.0,60.0,-7.149999917809677
4,G_IEEE3,37.866543491708235,270.0,67.15,-4.474044845275512e-09
4,RES_Wind_N1,105.00000099978661,105.0,0.0,-67.15000052643502
4,RES_PV_N6,0.0,0.0,0.0,
4,RES_PV_N8,0.0,0.0,0.0,
5,G_IEEE1,250.00000202841557,250.0,60.0,-7.149999952496224
5,G_IEEE3,49.8966995626797,270.0,67.15,-5.477622309045658e-09
5,RES_Wind_N1,102.37500097353661,102.375,0.0,-67.15000056194496
5,RES_PV_N6,0.0,0.0,0.0,
5,RES_PV_N8,0.0,0.0,0.0,
6,G_IEEE1,250.00000202841557,250.0,60.0,-7.150000006792969
6,G_IEEE3,91.69570902933583,270.0,67.15,-9.625185292593365e-09
6,RES_Wind_N1,94.50000089478661,94.5,0.0,-67.15000061898638
6,RES_PV_N6,0.0,0.0,0.0,
6,RES_PV_N8,0.0,0.0,0.0,
7,G_IEEE1,250.00000202841557,250.0,60.0,-7.150000067831977
7,G_IEEE3,161.9563656402827,270.0,67.15,-2.505776584773594e-08
7,RES_Wind_N1,81.37500076353662,81.375,0.0,-67.15000068578034
7,RES_PV_N6,4.795874997745368,4.795875,0.0,-67.15000138949173
7,RES_PV_N8,8.906625038852868,8.906625,0.0,-67.15000109256256
8,G_IEEE1,250.00000202841554,250.0,60.0,-7.150000094176928
8,G_IEEE3,171.49095891015608,270.0,67.15,-3.493740057072346e-08
8,RES_Wind_N1,68.25000063228661,68.25,0.0,-67.1500007200937
8,RES_PV_N6,23.979375189580367,23.979375,0.0,-67.15000084141363
8,RES_PV_N8,44.53312539511787,44.533125,0.0,-67.15000080836353
9,G_IEEE1,250.00000202841554,250.0,60.0,-7.15000004525182
9,G_IEEE3,55.94147637596917,270.0,67.15,-9.418664305960307e-09
9,RES_Wind_N1,55.12500050103662,55.125,0.0,-67.15000068293146
9,RES_PV_N6,67.14225062120912,67.14225,0.0,-67.1500006940526
9,RES_PV_N8,124.69275119671411,124.69275,0.0,-67.1500006831611
10,G_IEEE1,234.0525465450498,250.0,60.0,-2.0143338234179085e-07
10,G_IEEE3,4.615844401562436e-07,270.0,67.15,-2.488254303054336e-09
10,RES_Wind_N1,45.93750040317786,45.9375,0.0,-60.00000085042745
10,RES_PV_N6,115.10100109481286,115.101,0.0,-60.00000081601316
10,RES_PV_N8,213.75900208139285,213.759,0.0,-60.000000800912545
11,G_IEEE1,110.68619019108903,250.0,60.0,-1.4468095070927323e-08
11,G_IEEE3,7.42988395781645e-08,270.0,67.15,-2.488254284331732e-09
11,RES_Wind_N1,39.375000337552855,39.375,0.0,-60.00000066004852
11,RES_PV_N6,163.05975156102565,163.05975,0.0,-44.785006416263506
11,RES_PV_N8,302.8252527959301,302.82525,0.0,-1.915738310818954e-06
12,G_IEEE1,71.0235667059077,250.0,60.0,-9.12948974942743e-09
12,G_IEEE3,7.429882994616146e-08,270.0,67.15,-2.48825428433173e-09
12,RES_Wind_N1,36.750000311302855,36.75,0.0,-60.00000064515192
12,RES_PV_N6,203.82468946867502,203.8246875,0.0,-44.785005884992536
12,RES_PV_N8,378.53156605299324,378.5315625,0.0,-1.0413023675998532e-07
13,G_IEEE1,53.245626145162866,250.0,60.0,-5.908298721674205e-09
13,G_IEEE3,6.430727796370274e-08,270.0,67.15,-2.4882542843317294e-09
13,RES_Wind_N1,39.375000337552855,39.375,0.0,-60.00000059291683
13,RES_PV_N6,227.8040647056478,227.8040625,0.0,-44.78500541144144
13,RES_PV_N8,423.06469125346,423.0646875,0.0,-3.289944756197516e-08
14,G_IEEE1,22.25015431082338,250.0,60.0,-4.8049560897218225e-09
14,G_IEEE3,5.678764253723931e-08,270.0,67.15,-2.488254283564748e-09
14,RES_Wind_N1,44.625000390052854,44.625,0.0,-60.000000518821324
14,RES_PV_N6,234.9978772746617,234.997875,0.0,-8.52072476161194e-07
14,RES_PV_N8,387.953813990322,436.424625,0.0,-2.5812421479173356e-08
15,G_IEEE1,32.080123097788636,250.0,60.0,-5.133071242248347e-09
15,G_IEEE3,7.429882654086127e-08,270.0,67.15,-2.48825428433173e-09
15,RES_Wind_N1,52.50000046880285,52.5,0.0,-60.00000053533974
15,RES_PV_N6,215.81437708857192,215.814375,0.0,-44.78500570680993
15,RES_PV_N8,400.7981287756588,400.798125,0.0,-5.592796267690982e-08
16,G_IEEE1,60.39098854799488,250.0,60.0,-7.994175069309232e-09
16,G_IEEE3,7.429884031693757e-08,270.0,67.15,-2.48825428433173e-09
16,RES_Wind_N1,60.37500054755286,60.375,0.0,-60.00000059999256
16,RES_PV_N6,172.65150165694314,172.6515,0.0,-44.78500624181487
16,RES_PV_N8,320.63850297406265,320.6385,0.0,-1.3720624688509888e-06
17,G_IEEE1,191.27254453073354,250.0,60.0,-4.7414843228040484e-08
17,G_IEEE3,4.6158442881370263e-07,270.0,67.15,-2.488254303054337e-09
17,RES_Wind_N1,68.25000062630286,68.25,0.0,-60.00000066919053
17,RES_PV_N6,119.8968761427716,119.896875,0.0,-60.00000064832071
17,RES_PV_N8,222.66562717045912,222.665625,0.0,-60.000000624837035
18,G_IEEE1,250.00000202841554,250.0,60.0,-7.150000007216445
18,G_IEEE3,43.40248057689907,270.0,67.15,-8.646960567866937e-09
18,RES_Wind_N1,76.12500071103662,76.125,0.0,-67.15000062802245
18,RES_PV_N6,67.14225062120912,67.14225,0.0,-67.15000067533609
18,RES_PV_N8,124.69275119671411,124.69275,0.0,-67.15000068641432
19,G_IEEE1,250.0000020284156,250.0,60.0,-7.150000209087325
19,G_IEEE3,212.37849090071356,270.0,67.15,-2.8538824291445404e-07
19,RES_Wind_N1,81.37500076353662,81.375,0.0,-67.1500008270357
19,RES_PV_N6,19.183500141621614,19.1835,0.0,-67.15000104899528
19,RES_PV_N8,35.62650030605162,35.6265,0.0,-67.1500011939141
20,G_IEEE1,250.0000024879343,250.0,60.0,-440.00000252958654
20,G_IEEE3,270.00000268761744,270.0,67.15,-432.8500025807006
20,RES_Wind_N1,86.62500085631696,86.625,0.0,-500.00000314502364
20,RES_PV_N6,2.397937514046322,2.3979375,0.0,-500.00000459889065
20,RES_PV_N8,4.453312534600072,4.4533125,0.0,-500.00000425903187
21,G_IEEE1,250.0000024879343,250.0,60.0,-440.0000008864093
21,G_IEEE3,270.00000268761744,270.0,67.15,-432.85000079553816
21,RES_Wind_N1,89.25000088256695,89.25,0.0,-500.00000150070156
21,RES_PV_N6,0.0,0.0,0.0,
21,RES_PV_N8,0.0,0.0,0.0,
22,G_IEEE1,250.00000202841557,250.0,60.0,-7.150000100056414
22,G_IEEE3,208.23137457444625,270.0,67.15,-5.364888476957409e-08
22,RES_Wind_N1,91.87500086853662,91.875,0.0,-67.15000071326928
22,RES_PV_N6,0.0,0.0,0.0,
22,RES_PV_N8,0.0,0.0,0.0,
23,G_IEEE1,250.00000202841557,250.0,60.0,-7.15000004024203
23,G_IEEE3,152.94498204783733,270.0,67.15,-1.9365163136368894e-08
23,RES_Wind_N1,94.50000089478661,94.5,0.0,-67.15000065243544
23,RES_PV_N6,0.0,0.0,0.0,
23,RES_PV_N8,0.0,0.0,0.0,
24,G_IEEE1,250.00000202841557,250.0,60.0,-7.150000014288179
24,G_IEEE3,115.14953930415221,270.0,67.15,-1.1541455570595227e-08
24,RES_Wind_N1,95.81250090791161,95.8125,0.0,-67.15000062599282
24,RES_PV_N6,0.0,0.0,0.0,
24,RES_PV_N8,0.0,0.0,0.0,
