hour,node,lambda_offer_reclear_eur_per_mwh
1,N1,67.14999978137305
1,N2,67.15000001836763
1,N3,67.1499999338021
1,N4,67.14999993296246
1,N5,67.15000002204273
1,N6,67.1499999475342
1,N7,67.15000001836763
1,N8,67.14999998869634
1,N9,67.14999994366077
2,N1,67.14999970452315
2,N2,67.14999994933336
2,N3,67.14999988246734
2,N4,67.14999986868516
2,N5,67.14999995127509
2,N6,67.14999988833573
2,N7,67.14999994933336
2,N8,67.14999992594898
2,N9,67.14999988943661
3,N1,67.14999961245643
3,N2,67.14999986991832
3,N3,67.1499998145829
3,N4,67.1499997912587
3,N5,67.1499998705445
3,N6,67.14999981487703
3,N7,67.14999986991832
3,N8,67.14999985078781
3,N9,67.14999981959234
4,N1,67.14999953215091
4,N2,67.14999980022938
4,N3,67.14999975073678
4,N4,67.14999972213016
4,N5,67.14999980012449
4,N6,67.14999974802843
4,N7,67.14999980022938
4,N8,67.14999978330971
4,N9,67.14999975472297
5,N1,67.14999963833475
5,N2,67.14999989710576
5,N3,67.14999983776775
5,N4,67.14999981713703
5,N5,67.14999989850227
5,N6,67.14999983960634
5,N7,67.14999989710576
5,N8,67.14999987611151
5,N9,67.14999984333893
6,N1,67.1499997992032
6,N2,67.15000004003998
6,N3,67.14999994654285
6,N4,67.1499999507926
6,N5,67.15000004520601
6,N6,67.1499999633802
6,N7,67.15000004003998
6,N8,67.15000000600695
6,N9,67.14999995755639
7,N1,67.14999995738393
7,N2,67.1500002057139
7,N3,67.15000002607287
7,N4,67.1500000774263
7,N5,67.15000021798497
7,N6,67.15000007268216
7,N7,67.1500002057139
7,N8,67.15000013489887
7,N9,67.15000004862826
8,N1,67.15000001644303
8,N2,67.15000030484987
8,N3,67.15000004567105
8,N4,67.1500001149898
8,N5,67.15000033092838
8,N6,67.15000009877262
8,N7,67.15000030484987
8,N8,67.1500001612057
8,N9,67.15000007180808
9,N1,67.14999988488903
9,N2,67.1500001645755
9,N3,67.14999991615501
9,N4,67.14999996781626
9,N5,67.15000018896272
9,N6,67.1499999415097
9,N7,67.1500001645755
9,N8,67.14999994991248
9,N9,67.14999992551485
10,N1,60.000000531211825
10,N2,60.0000007401439
10,N3,60.00000055494947
10,N4,60.00000059359392
10,N5,60.000000760074855
10,N6,60.000000557341565
10,N7,60.0000007401439
10,N8,60.00000055308151
10,N9,60.00000055494947
11,N1,59.99999998311986
11,N2,88.20976816476374
11,N3,29.955450065824934
11,N4,60.00000000296491
11,N5,69.74727767842062
11,N6,49.45000528326679
11,N7,88.20976816476374
11,N8,18.39632555355182
11,N9,29.955450065695256
12,N1,59.99999992240343
12,N2,88.20978131512716
12,N3,29.955435699014
12,N4,59.99999993558253
12,N5,69.74728217252104
12,N6,49.4500000509802
12,N7,88.20978131512716
12,N8,18.39630576712187
12,N9,29.955435698302686
13,N1,59.99999987546907
13,N2,99.82127116753924
13,N3,17.588726828402468
13,N4,59.99999988659043
13,N5,73.75938228805182
13,N6,45.1074915102499
13,N7,99.82127116753925
13,N8,1.2717180772686363
13,N9,17.58872682405946
14,N1,59.99999963133856
14,N2,100.64138850164572
14,N3,16.65305707333192
14,N4,59.999999639156535
14,N5,74.0427559996729
14,N6,44.73856968808684
14,N7,100.64138850164572
14,N8,1.641213356590113e-07
14,N9,16.653057071891652
15,N1,59.99999975924671
15,N2,88.20978321657857
15,N3,29.955433195394935
15,N4,59.99999976932112
15,N5,69.74728271400538
15,N6,49.449998978065196
15,N7,88.20978321657857
15,N8,18.396302399097266
15,N9,29.955433192902976
16,N1,59.99999989765401
16,N2,88.20976859529509
16,N3,29.955449358818186
16,N4,59.99999991276709
16,N5,69.7472777600907
16,N6,49.45000494516761
16,N7,88.20976859529509
16,N8,18.39632462759208
16,N9,29.955449358689684
17,N1,60.000000107269685
17,N2,60.00000029097489
17,N3,60.00000009139743
17,N4,60.00000015819997
17,N5,60.00000029994461
17,N6,60.00000010837918
17,N7,60.00000029097489
17,N8,60.00000008005909
17,N9,60.00000009139743
18,N1,67.14999978164592
18,N2,67.15000014269607
18,N3,67.14999989738716
18,N4,67.14999989218414
18,N5,67.15000019412975
18,N6,67.1499998873524
18,N7,67.15000014269607
18,N8,67.14999994648325
18,N9,67.14999990560946
19,N1,67.14999996411879
19,N2,67.15000092423163
19,N3,67.150000239631
19,N4,67.15000008416116
19,N5,67.15000112404577
19,N6,67.15000015443874
19,N7,67.15000092423163
19,N8,67.15000056241416
19,N9,67.15000028420667
20,N1,254.03021871598554
20,N2,254.03021979918526
20,N3,254.03021890502401
20,N4,254.03021884709057
20,N5,254.03021995185253
20,N6,254.0302188940189
20,N7,254.03021979918526
20,N8,254.03021950949392
20,N9,254.0302189635843
21,N1,54108.55672494216
21,N2,54108.55672564146
21,N3,54108.55672488442
21,N4,54108.55672507951
21,N5,54108.55672562271
21,N6,54108.55672503699
21,N7,54108.55672564146
21,N8,54108.556725517104
21,N9,54108.55672494172
22,N1,67.15000003095507
22,N2,67.15000037234982
22,N3,67.15000010044655
22,N4,67.15000017510384
22,N5,67.15000038614558
22,N6,67.1500001666056
22,N7,67.15000037234982
22,N8,67.15000028909549
22,N9,67.150000133619
23,N1,67.14999989573056
23,N2,67.15000016942984
23,N3,67.15000001281659
23,N4,67.15000004731995
23,N5,67.15000017859226
23,N6,67.1500000500475
23,N7,67.15000016942984
23,N8,67.15000011787276
23,N9,67.15000003284295
24,N1,67.14999982822886
24,N2,67.15000008147369
24,N3,67.14999997151641
24,N4,67.14999998380722
24,N5,67.15000008734027
24,N6,67.14999999382943
24,N7,67.15000008147369
24,N8,67.15000004440631
24,N9,67.14999998514936
