unit,soc_hour,node,soc_mwh,delta_soc_capacity_dual,rho_periodicity_dual
I1,0,N1,2.9164182615636375e-06,-0.10067283608266808,-76.17266044362312
I1,1,N1,3.4338219566355386e-06,-0.10376663493902484,-76.17266044362312
I1,2,N1,3.857603824257733e-06,-0.10656168587455966,-76.17266044362312
I1,3,N1,4.217624722445794e-06,-0.10907730198967866,-76.17266044362312
I1,4,N1,4.530277653396531e-06,-0.11132746609419679,-76.17266044362312
I1,5,N1,4.80568438204772e-06,-0.11332265798610676,-76.17266044362312
I1,6,N1,5.050600757855663e-06,-0.11507184647439368,-76.17266044362312
I1,7,N1,5.269792230510606e-06,-0.11658419299149013,-76.17266044362312
I1,8,N1,5.466760955297315e-06,-0.11787047869457223,-76.17266044362312
I1,9,N1,5.6441626048349004e-06,-0.11894461983476322,-76.17266044362312
I1,10,N1,1.007918690864034e-05,-0.13635415956446115,-76.17266044362312
I1,11,N1,1.369597498658669e-05,-0.15601950900261463,-76.17266044362312
I1,12,N1,1.6995247160491217e-05,-0.18043561806037997,-76.17266044362312
I1,13,N1,2.020102983576196e-05,-0.21348869612606447,-76.17266044362312
I1,14,N1,2.347934986629435e-05,-0.2635682563084318,-76.17266044362312
I1,15,N1,2.7024033861768415e-05,-0.35484635874661014,-76.17266044362312
I1,16,N1,3.116223872999377e-05,-0.603290091839701,-76.17266044362312
I1,17,N1,3.649551078254473e-05,-8.683325346671591,-76.17266044362312
I1,18,N1,3.684974345452259e-05,-36.35139728638773,-76.17266044362312
I1,19,N1,3.7000470945482107e-05,-170.37526516401135,-76.17266044362312
I1,20,N1,1.850456727764843e-05,-0.1820189948947822,-76.17266044362312
I1,21,N1,8.816609257278375e-09,-0.09089211173822516,-76.17266044362312
I1,22,N1,1.7389220094218862e-07,-0.09103219174793045,-76.17266044362312
I1,23,N1,1.98025655575131e-06,-0.09623470844409128,-76.17266044362312
I1,24,N1,2.9164182615636375e-06,-0.10018187726150449,-76.17266044362312
I1,0,N2,7.445575651475259e-06,-0.13785899042247873,-78.96136091843346
I1,1,N2,8.939836267303006e-06,-0.147749180173093,-78.96136091843346
I1,2,N2,1.0286975241815265e-05,-0.15759070990016805,-78.96136091843346
I1,3,N2,1.1538229991418653e-05,-0.16766754045258475,-78.96136091843346
I1,4,N2,1.272504078138379e-05,-0.1782388714478161,-78.96136091843346
I1,5,N2,1.3868904818831595e-05,-0.18958513067796628,-78.96136091843346
I1,6,N2,1.4985982809391561e-05,-0.2020484662548476,-78.96136091843346
I1,7,N2,1.6089567569193404e-05,-0.21608321531231633,-78.96136091843346
I1,8,N2,1.7191619352907053e-05,-0.2323340596762585,-78.96136091843346
I1,9,N2,1.8303918370825663e-05,-0.25177322692032583,-78.96136091843346
I1,10,N2,3.152852443343951e-05,-6.645081584624127,-78.96136091843346
I1,11,N2,3.063931502832119e-05,-1.2900354511544783,-78.96136091843346
I1,12,N2,2.9960230036167833e-05,-0.8039227070407716,-78.96136091843346
I1,13,N2,1.9329798745178987e-05,-0.24955432009499737,-78.96136091843346
I1,14,N2,1.904194878514149e-05,-0.25797793031297184,-78.96136091843346
I1,15,N2,1.8482806939045698e-05,-0.23097345752192977,-78.96136091843346
I1,16,N2,1.7930632510719015e-05,-0.21002385772567778,-78.96136091843346
I1,17,N2,2.8979505150121038e-05,-0.6887166821991275,-78.96136091843346
I1,18,N2,3.0418036568631836e-05,-1.1360722693649903,-78.96136091843346
I1,19,N2,3.2390416985781834e-05,-144.96522492153227,-78.96136091843346
I1,20,N2,1.6201869659824856e-05,-0.20668745146262832,-78.96136091843346
I1,21,N2,1.392868301848093e-08,-0.10372530071100027,-78.96136091843346
I1,22,N2,2.8376253950229834e-06,-0.11335000249740873,-78.96136091843346
I1,23,N2,5.41001899268953e-06,-0.12594637116275717,-78.96136091843346
I1,24,N2,7.445575651475259e-06,-0.13815566170241855,-78.96136091843346
I1,0,N3,28.7381375336449,-8.769627869611944e-08,-55.83240134466546
I1,1,N3,26.294549646673033,-7.905352572188913e-08,-55.83240134466546
I1,2,N3,24.03732006313993,-7.19245606234346e-08,-55.83240134466546
I1,3,N3,21.7882913027638,-6.587526776995056e-08,-55.83240134466546
I1,4,N3,19.393242842694423,-6.058390669138496e-08,-55.83240134466546
I1,5,N3,16.591313942559786,-5.5645465678274694e-08,-55.83240134466546
I1,6,N3,13.091014764418714,-5.086686129522379e-08,-55.83240134466546
I1,7,N3,8.714021393875099,-4.605185840250024e-08,-55.83240134466546
I1,8,N3,4.1327496855525565,-4.0904506089038697e-08,-55.83240134466546
I1,9,N3,7.281318670700376e-07,-3.4511649117481705e-08,-55.83240134466546
I1,10,N3,1.2288493843397978e-07,-3.45116485539369e-08,-55.83240134466546
I1,11,N3,1.0359618770739019,-3.701635590345119e-08,-55.83240134466546
I1,12,N3,8.006104300274643,-4.732073917773943e-08,-55.83240134466546
I1,13,N3,43.45785165604504,-8.542169421870005e-08,-55.83240134466546
I1,14,N3,55.30918618441597,-1.335752633318092e-07,-55.83240134466546
I1,15,N3,74.85936813604955,-6.588154899361655e-07,-55.83240134466546
I1,16,N3,75.75160093327702,-26.62500849375523,-55.83240134466546
I1,17,N3,75.75160032803011,-3.3843765319009513,-55.83240134466546
I1,18,N3,71.90156893857915,-4.077227634896885e-07,-55.83240134466546
I1,19,N3,50.99852764725531,-1.752147876156396e-07,-55.83240134466546
