hour,lambda_system,system_net_injection_residual_mw
1,67.15000058401296,-1.485733249516135e-14
2,67.1500005574383,-5.997199879072105e-14
3,67.15000052760399,2.338322251154435e-14
4,67.15000050432236,-6.618207388895428e-15
5,67.15000053900891,-2.6628278630248597e-14
6,67.15000059330565,-3.809140886301801e-15
7,67.15000065434467,-7.671876019453797e-14
8,67.15000068068962,-2.356264939488211e-14
9,67.1500006317645,-3.716171169404012e-14
10,60.0000007870271,2.362151506128229e-14
11,60.00000058441478,2.0932617017036513e-14
12,60.00000056340148,1.9265170509323918e-14
13,60.000000517283084,-1.4034582923713648e-14
14,60.00000045326214,-4.034614222363803e-14
15,60.000000481114434,-2.831598108386183e-14
16,60.00000055414447,1.990335361326816e-15
17,60.00000062978645,-4.92424073488451e-14
18,67.15000059372913,-2.377243018034076e-15
19,67.15000079560001,1.332599247978296e-13
20,500.0000031160992,-9.729429718483007e-14
21,500.00000147292195,5.397006965141872e-14
22,67.1500006865691,8.122667287501758e-15
23,67.15000062675472,-5.447708578595325e-14
24,67.15000060080087,2.846182088737947e-14
