unit,soc_hour,node,soc_mwh,delta_soc_capacity_dual,rho_periodicity_dual
I1,0,N1,6.464509624392434e-05,-0.05251197880977199,-64.58980166367846
I1,1,N1,6.45312767350577e-05,-0.052387293899453936,-64.58980166367846
I1,2,N1,6.441746271790187e-05,-0.05226347388861148,-64.58980166367846
I1,3,N1,6.430364856392302e-05,-0.052140263753765015,-64.58980166367846
I1,4,N1,6.418982864375088e-05,-0.05201741396733503,-64.58980166367846
I1,5,N1,6.407599732027076e-05,-0.05189467357075772,-64.58980166367846
I1,6,N1,6.396214896184176e-05,-0.0517717833431988,-64.58980166367846
I1,7,N1,6.384827793689046e-05,-0.05164846870595162,-64.58980166367846
I1,8,N1,6.373437861230006e-05,-0.05152443218401593,-64.58980166367846
I1,9,N1,6.36204453526702e-05,-0.05139934518470952,-64.58980166367846
I1,10,N1,6.378896225471401e-05,-0.05157250459745941,-64.58980166367846
I1,11,N1,6.395743950789977e-05,-0.05174524866527234,-64.58980166367846
I1,12,N1,6.412588769489894e-05,-0.05191801079421101,-64.58980166367846
I1,13,N1,6.429431739687433e-05,-0.05209120365284594,-64.58980166367846
I1,14,N1,6.446273919501952e-05,-0.05226523033405886,-64.58980166367846
I1,15,N1,6.463116365829017e-05,-0.05244049556364769,-64.58980166367846
I1,16,N1,6.479960136257391e-05,-0.05261741692525418,-64.58980166367846
I1,17,N1,6.496806288657581e-05,-0.052796436927589604,-64.58980166367846
I1,18,N1,6.485407352687213e-05,-0.052661893299982325,-64.58980166367846
I1,19,N1,6.493203100188359e-05,-0.05284326018795353,-64.58980166367846
I1,20,N1,6.510058629803341e-05,-0.053027386552111255,-64.58980166367846
I1,21,N1,6.498667738757227e-05,-0.05289571444968913,-64.58980166367846
I1,22,N1,6.487279649765166e-05,-0.05276617436801692,-64.58980166367846
I1,23,N1,6.475893799425791e-05,-0.0526383966107414,-64.58980166367846
I1,24,N1,6.464509624392434e-05,-0.052512050028799134,-64.58980166367846
I1,0,N2,4.032321221292035e-05,-0.07593646687794688,-77.6002947315698
I1,1,N2,4.107517608053163e-05,-0.07748025998680565,-77.6002947315698
I1,2,N2,4.1826307337482425e-05,-0.0790658197771382,-77.6002947315698
I1,3,N2,4.257724710608982e-05,-0.08070511787267727,-77.6002947315698
I1,4,N2,4.3328635266414996e-05,-0.08241180395733519,-77.6002947315698
I1,5,N2,4.4081114790575036e-05,-0.08420177505162887,-77.6002947315698
I1,6,N2,4.483533628234001e-05,-0.08609393454373251,-77.6002947315698
I1,7,N2,4.5591962517165686e-05,-0.08811122365807013,-77.6002947315698
I1,8,N2,4.635167322624691e-05,-0.09028206310608451,-77.6002947315698
