hour,lambda_system,system_net_injection_residual_mw
1,67.15000052850063,2.3549217027290542e-14
2,67.15000048337915,1.5950230559346274e-14
3,67.15000041748692,-5.064455809498463e-14
4,67.15000034851175,-2.3586097913840068e-14
5,67.15000043840718,1.9336366103465034e-14
6,67.1500005379405,2.325209548503206e-14
7,67.15000060869698,-3.425461142454607e-14
8,67.15000062886313,-3.716262556318087e-14
9,67.15000059096778,2.9649313526470946e-14
10,60.00000066938023,2.5193855227369515e-14
11,60.00000058125404,1.0424862233497038e-14
12,60.000000558275936,6.704122443661244e-15
13,60.0000005280191,-2.814091589080684e-14
14,60.000000452088344,-4.0064189360633864e-15
15,60.00000048343981,2.856633030057099e-14
16,60.00000055031974,-1.5333980433894007e-14
17,60.000000615196825,-6.931987641947614e-14
18,67.15000052767893,-1.1157472702750086e-14
19,60.00000116668616,-1.332646283717857e-14
20,60.0000017507111,4.627798385994782e-14
21,67.150000612793,1.7239766011982193e-14
22,67.15000060544926,-2.0425564910071502e-15
23,67.15000057114192,2.217053782881722e-14
24,67.15000054565297,-7.12075548154322e-14
