hour,generator,dispatch_mw,capacity_mw,marginal_cost_eur_per_mwh,nu_gen_dual
1,G_IEEE1,270.00000222864475,270.0,60.0,-7.149999899438089
1,G_IEEE3,12.789507295149612,290.0,67.15,-3.3803274176376166e-09
1,RES_Wind_N1,94.50000089481102,94.5,0.0,-67.15000051261929
1,RES_PV_N6,0.0,0.0,0.0,
1,RES_PV_N8,0.0,0.0,0.0,
1,G_PEAKER_N5,1.110122073535239e-07,200.0,95.0,-6.850949772959045e-09
2,G_IEEE1,270.00000222864475,270.0,60.0,-7.149999832769756
2,G_IEEE3,8.372909096836326,290.0,67.15,-2.6828698226629863e-09
2,RES_Wind_N1,98.43750093418603,98.4375,0.0,-67.15000044452442
2,RES_PV_N6,0.0,0.0,0.0,
2,RES_PV_N8,0.0,0.0,0.0,
2,G_PEAKER_N5,1.1101220634318603e-07,200.0,95.0,-6.850949772959046e-09
3,G_IEEE1,270.00000222864475,270.0,60.0,-7.149999762784451
3,G_IEEE3,8.821395354131612,290.0,67.15,-2.3750301437078462e-09
3,RES_Wind_N1,102.37500097356103,102.375,0.0,-67.15000037322231
3,RES_PV_N6,0.0,0.0,0.0,
3,RES_PV_N8,0.0,0.0,0.0,
3,G_PEAKER_N5,1.1101220579456887e-07,200.0,95.0,-6.850949772959046e-09
4,G_IEEE1,270.0000022286447,270.0,60.0,-7.149999556801056
4,G_IEEE3,6.929153241778993,290.0,67.15,-1.9865772235081888e-09
4,RES_Wind_N1,105.00000099981102,105.0,0.0,-67.15000016641592
4,RES_PV_N6,0.0,0.0,0.0,
4,RES_PV_N8,0.0,0.0,0.0,
4,G_PEAKER_N5,1.1101220494139882e-07,200.0,95.0,-6.850949772959042e-09
5,G_IEEE1,270.00000222864475,270.0,60.0,-7.149999824302798
5,G_IEEE3,10.144869698724976,290.0,67.15,-2.752674060247116e-09
5,RES_Wind_N1,102.37500097356103,102.375,0.0,-67.15000043474066
5,RES_PV_N6,0.0,0.0,0.0,
5,RES_PV_N8,0.0,0.0,0.0,
5,G_PEAKER_N5,1.1101220599901838e-07,200.0,95.0,-6.850949772959044e-09
6,G_IEEE1,270.00000222864475,270.0,60.0,-7.149999940450657
6,G_IEEE3,41.990654185496986,290.0,67.15,-4.941595236579803e-09
6,RES_Wind_N1,94.50000089481102,94.5,0.0,-67.15000055363186
6,RES_PV_N6,0.0,0.0,0.0,
6,RES_PV_N8,0.0,0.0,0.0,
6,G_PEAKER_N5,1.1101220642589038e-07,200.0,95.0,-6.850949772959046e-09
7,G_IEEE1,270.00000222864475,270.0,60.0,-7.150000015486115
7,G_IEEE3,110.41555411655114,290.0,67.15,-1.2205786583125815e-08
7,RES_Wind_N1,81.37500076356103,81.375,0.0,-67.15000063441948
7,RES_PV_N6,4.795874997769771,4.795875,0.0,-67.15000136249274
7,RES_PV_N8,8.906625038877271,8.906625,0.0,-67.15000106373127
7,G_PEAKER_N5,1.110122067694776e-07,200.0,95.0,-6.8509497729590416e-09
8,G_IEEE1,270.00000222864475,270.0,60.0,-7.150000037778737
8,G_IEEE3,133.42056930750712,290.0,67.15,-1.632925168659797e-08
