scenario,probability,hour,node,lambda_eur_per_mwh
low,0.25,1,N1,60.0
low,0.25,1,N2,60.0
low,0.25,1,N3,60.0
low,0.25,1,N4,60.0
low,0.25,1,N5,60.0
low,0.25,1,N6,60.0
low,0.25,1,N7,60.0
low,0.25,1,N8,60.0
low,0.25,1,N9,60.0
low,0.25,2,N1,60.0
low,0.25,2,N2,60.0
low,0.25,2,N3,60.0
low,0.25,2,N4,60.0
low,0.25,2,N5,60.0
low,0.25,2,N6,60.0
low,0.25,2,N7,60.0
low,0.25,2,N8,60.0
low,0.25,2,N9,60.0
low,0.25,3,N1,60.0
low,0.25,3,N2,60.0
low,0.25,3,N3,60.0
low,0.25,3,N4,60.0
low,0.25,3,N5,60.0
low,0.25,3,N6,60.0
low,0.25,3,N7,60.0
low,0.25,3,N8,60.0
low,0.25,3,N9,60.0
low,0.25,4,N1,60.0
low,0.25,4,N2,60.0
low,0.25,4,N3,60.0
low,0.25,4,N4,60.0
low,0.25,4,N5,60.0
low,0.25,4,N6,60.0
low,0.25,4,N7,60.0
low,0.25,4,N8,60.0
low,0.25,4,N9,60.0
low,0.25,5,N1,60.0
low,0.25,5,N2,60.0
low,0.25,5,N3,60.0
low,0.25,5,N4,60.0
low,0.25,5,N5,60.0
low,0.25,5,N6,60.0
low,0.25,5,N7,60.0
low,0.25,5,N8,60.0
low,0.25,5,N9,60.0
low,0.25,6,N1,60.0
low,0.25,6,N2,60.0
low,0.25,6,N3,60.0
low,0.25,6,N4,60.0
low,0.25,6,N5,60.0
low,0.25,6,N6,60.0
low,0.25,6,N7,60.0
low,0.25,6,N8,60.0
low,0.25,6,N9,60.0
low,0.25,7,N1,60.0
low,0.25,7,N2,60.0
low,0.25,7,N3,60.0
low,0.25,7,N4,60.0
low,0.25,7,N5,60.0
low,0.25,7,N6,60.0
low,0.25,7,N7,60.0
low,0.25,7,N8,60.0
low,0.25,7,N9,60.0
low,0.25,8,N1,60.0
low,0.25,8,N2,60.0
low,0.25,8,N3,60.0
low,0.25,8,N4,60.0
low,0.25,8,N5,60.0
low,0.25,8,N6,60.0
low,0.25,8,N7,60.0
low,0.25,8,N8,60.0
low,0.25,8,N9,60.0
low,0.25,9,N1,60.0
low,0.25,9,N2,60.0
low,0.25,9,N3,60.0
low,0.25,9,N4,60.0
low,0.25,9,N5,60.0
low,0.25,9,N6,60.0
low,0.25,9,N7,60.0
low,0.25,9,N8,60.0
low,0.25,9,N9,60.0
low,0.25,10,N1,60.0
low,0.25,10,N2,60.0
low,0.25,10,N3,60.0
low,0.25,10,N4,60.0
low,0.25,10,N5,60.0
low,0.25,10,N6,60.0
low,0.25,10,N7,60.0
low,0.25,10,N8,60.0
low,0.25,10,N9,60.0
low,0.25,11,N1,52.2
low,0.25,11,N2,52.2
low,0.25,11,N3,52.2
low,0.25,11,N4,52.2
low,0.25,11,N5,52.2
low,0.25,11,N6,52.2
low,0.25,11,N7,52.2
low,0.25,11,N8,52.2
low,0.25,11,N9,52.2
low,0.25,12,N1,60.0
low,0.25,12,N2,52.2
low,0.25,12,N3,46.72097560975611
low,0.25,12,N4,60.0
low,0.25,12,N5,57.30487804878049
low,0.25,12,N6,41.3307317073171
low,0.25,12,N7,52.2
low,0.25,12,N8,49.91707317073171
low,0.25,12,N9,46.72097560975611
low,0.25,13,N1,60.0
low,0.25,13,N2,52.2
low,0.25,13,N3,43.885283902439014
low,0.25,13,N4,60.0
low,0.25,13,N5,57.304878048780495
low,0.25,13,N6,38.49504
low,0.25,13,N7,52.2
low,0.25,13,N8,47.081381463414615
low,0.25,13,N9,43.885283902439014
low,0.25,14,N1,52.20000000000001
low,0.25,14,N2,52.2
low,0.25,14,N3,38.49504
low,0.25,14,N4,52.20000000000001
low,0.25,14,N5,52.20000000000002
low,0.25,14,N6,38.49504
low,0.25,14,N7,52.20000000000001
low,0.25,14,N8,38.49504
low,0.25,14,N9,38.49504
low,0.25,15,N1,60.0
low,0.25,15,N2,52.2
low,0.25,15,N3,43.885283902439014
low,0.25,15,N4,60.0
low,0.25,15,N5,57.304878048780495
low,0.25,15,N6,38.49504
low,0.25,15,N7,52.2
low,0.25,15,N8,47.081381463414615
low,0.25,15,N9,43.885283902439014
low,0.25,16,N1,52.2
low,0.25,16,N2,52.2
low,0.25,16,N3,52.2
low,0.25,16,N4,52.2
low,0.25,16,N5,52.2
low,0.25,16,N6,52.2
low,0.25,16,N7,52.2
low,0.25,16,N8,52.2
low,0.25,16,N9,52.2
low,0.25,17,N1,52.2
low,0.25,17,N2,52.2
low,0.25,17,N3,52.2
low,0.25,17,N4,52.2
low,0.25,17,N5,52.2
low,0.25,17,N6,52.2
low,0.25,17,N7,52.2
low,0.25,17,N8,52.2
low,0.25,17,N9,52.2
low,0.25,18,N1,60.0
low,0.25,18,N2,60.0
low,0.25,18,N3,60.0
low,0.25,18,N4,60.0
low,0.25,18,N5,60.0
low,0.25,18,N6,60.0
low,0.25,18,N7,60.0
low,0.25,18,N8,60.0
low,0.25,18,N9,60.0
low,0.25,19,N1,60.0
low,0.25,19,N2,60.0
low,0.25,19,N3,60.0
low,0.25,19,N4,60.0
low,0.25,19,N5,60.0
low,0.25,19,N6,60.0
low,0.25,19,N7,60.0
low,0.25,19,N8,60.0
low,0.25,19,N9,60.0
low,0.25,20,N1,60.0
low,0.25,20,N2,60.0
low,0.25,20,N3,60.0
low,0.25,20,N4,60.0
low,0.25,20,N5,60.0
low,0.25,20,N6,60.0
low,0.25,20,N7,60.0
low,0.25,20,N8,60.0
low,0.25,20,N9,60.0
low,0.25,21,N1,60.0
low,0.25,21,N2,60.0
low,0.25,21,N3,60.0
low,0.25,21,N4,60.0
low,0.25,21,N5,60.0
low,0.25,21,N6,60.0
low,0.25,21,N7,60.0
low,0.25,21,N8,60.0
low,0.25,21,N9,60.0
low,0.25,22,N1,60.0
low,0.25,22,N2,60.0
low,0.25,22,N3,60.0
low,0.25,22,N4,60.0
low,0.25,22,N5,60.0
low,0.25,22,N6,60.0
low,0.25,22,N7,60.0
low,0.25,22,N8,60.0
low,0.25,22,N9,60.0
low,0.25,23,N1,60.0
low,0.25,23,N2,60.0
low,0.25,23,N3,60.0
low,0.25,23,N4,60.0
low,0.25,23,N5,60.0
low,0.25,23,N6,60.0
low,0.25,23,N7,60.0
low,0.25,23,N8,60.0
low,0.25,23,N9,60.0
low,0.25,24,N1,60.0
low,0.25,24,N2,60.0
low,0.25,24,N3,60.0
low,0.25,24,N4,60.0
low,0.25,24,N5,60.0
low,0.25,24,N6,60.0
low,0.25,24,N7,60.0
low,0.25,24,N8,60.0
low,0.25,24,N9,60.0
base,0.5,1,N1,60.0
base,0.5,1,N2,60.0
base,0.5,1,N3,60.0
base,0.5,1,N4,60.0
base,0.5,1,N5,60.0
base,0.5,1,N6,60.0
base,0.5,1,N7,60.0
base,0.5,1,N8,60.0
base,0.5,1,N9,60.0
base,0.5,2,N1,60.0
base,0.5,2,N2,60.0
base,0.5,2,N3,60.0
base,0.5,2,N4,60.0
base,0.5,2,N5,60.0
base,0.5,2,N6,60.0
base,0.5,2,N7,60.0
base,0.5,2,N8,60.0
base,0.5,2,N9,60.0
base,0.5,3,N1,60.0
base,0.5,3,N2,60.0
base,0.5,3,N3,60.0
base,0.5,3,N4,60.0
base,0.5,3,N5,60.0
base,0.5,3,N6,60.0
base,0.5,3,N7,60.0
base,0.5,3,N8,60.0
