sweep,order,all_updates_optimal,all_audits_optimal,max_update_raw_deviation_mw,max_nash_deviation_mw,max_complementarity_violation,max_absolute_primal_dual_gap_eur_per_day,max_embedded_reclear_profit_gap_eur_per_day,max_lmp_reclear_gap_eur_per_mwh,max_profitable_deviation_eur_per_day,market_objective_eur_per_day,update_solve_seconds,audit_solve_seconds,stable_sweeps,profit_BESS_A_eur_per_day,profit_BESS_B_eur_per_day
1,BESS_A->BESS_B,True,True,5.119539157053664,2.228303958593415,1.3779117798107466e-17,0.0009665464094723575,0.015778693059701254,0.0009775984316604536,451.1431148543755,27218.98708594035,0.2777617000974715,0.24584189988672733,0,-338.3369944513599,-96.02066226898728
2,BESS_B->BESS_A,True,True,2.228303958593415,0.9766186002054056,1.8640221589726267e-16,0.0009982734227378387,0.01650709607230283,0.0009753916877173197,463.9836871815552,27218.98708594035,0.3329751000273973,0.6599588999524713,0,-338.3369944513604,-96.02066226899268
3,BESS_A->BESS_B,True,True,0.8761609486383293,0.4354754748762204,9.781527343409035e-09,0.0010712615730881225,0.014240966069849037,0.000679471732780712,472.31508189133154,27218.98710068928,0.44897440006025136,0.24124419991858304,0,-338.3255437884442,-96.00917405867187
4,BESS_B->BESS_A,True,True,0.4354754748762204,0.2191602253944005,9.342981126385926e-15,0.0011022495564247947,0.016856176277542545,0.0009736294283015923,474.03219512878525,27218.987304416107,0.24290809989906847,0.2660179000813514,0,-338.2931661112668,-95.97636601062203
5,BESS_A->BESS_B,True,True,0.17761840637258786,0.1154402998623425,5.214397120528517e-19,0.0009901778867060784,0.016913344764759586,0.0009734491190300787,436.15063480643647,27218.99739170118,0.27868800004944205,0.5697285998612642,0,-299.86709805513107,-56.976436092212
6,BESS_B->BESS_A,True,True,0.1154402998623425,0.04877356914087727,8.847859036345566e-17,0.0009907429084705655,0.014335005786676902,0.0006796442069827435,370.5789644603567,27219.367600300557,0.3766581998206675,1.0169345999602228,0,-234.8225883073515,9.309524608943264
7,BESS_A->BESS_B,True,True,0.11776380766076144,0.0751780910885067,5.969551207955321e-18,0.0011841448249469977,0.015379857518212248,0.0007398808951251112,179.9052239363641,27219.65531721661,0.7439548000693321,0.3606255000922829,0,-46.34919700493549,200.44649347180774
8,BESS_B->BESS_A,True,True,0.0751780910885067,0.04886521838502489,1.0582733267355256e-18,0.0009957419206330087,0.014342906503486574,0.000679543564089613,75.97852126918292,27219.891757806712,0.4000962001737207,0.2246451999526471,0,56.35467260027383,304.5017310313587
9,BESS_A->BESS_B,True,True,0.04886507990326905,0.02963911722549284,8.746652951257073e-17,0.0010857765009859577,0.01202969898253059,0.0005507346544817437,32.09952613983512,27220.012932076217,1.0857616998255253,0.29930590000003576,0,99.70275695101293,348.4658235337998
10,BESS_B->BESS_A,True,True,0.02963911722549284,0.02138842435330801,1.289017184868008e-19,0.0009767443225427996,0.014349438878582532,0.0006794638626814731,13.559592600120368,27220.06792375291,0.5820946001913399,0.43697209982201457,0,118.02513254007295,367.026269086318
11,BESS_A->BESS_B,True,True,0.021388399934192392,0.01390244371938465,3.1831110993224136e-19,0.0009774551435839385,0.014349756754654663,0.0006795042821892139,5.728718545262041,27220.091835624462,0.27906369999982417,0.627967500127852,0,125.76027470128838,374.87193332267594
12,BESS_B->BESS_A,True,False,0.01390244371938465,0.00027735224887237564,3.9017948834996043e-20,0.0009364202378492337,0.01179497661911455,0.0006792940563258298,2.387757847697742,27220.10205852888,0.7767745000310242,0.2115152000915259,0,129.03030954470307,378.18436154365776
13,BESS_A->BESS_B,True,True,0.009036566773282573,0.005873765534566644,1.9803197480560566e-17,0.0009774799837032333,0.014349420927203482,0.0006794855377876274,1.022594845942649,27220.10639954061,0.21585480007342994,0.3764646998606622,0,130.4109609002591,379.58475926912973
14,BESS_B->BESS_A,True,True,0.005873765534566644,0.0038179445214687746,8.240187444523693e-20,0.0011708527781593148,0.014349886651132238,0.0007398734674524121,0.4320453069709629,27220.10823737081,0.4592771001625806,0.4095325998496264,1,130.9946707588071,380.1760333973496
15,BESS_A->BESS_B,True,True,0.1713333399705519,0.06378461202489305,1.1412288608507504e-09,0.000989627562375972,0.014348950365729252,0.0006795031496693582,0.14104195660615915,27220.10914386798,0.4038289999589324,0.3709172001108527,2,131.28219149583435,380.4675068737767
